SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
TRV,USA,252.19,2025-07-17,37.84,4.97,-0.72%,1.22,5.118,3.885,"1,660",20.93%,26.30%  (  -0.76%),26.13%,"16,856",5,4,4,70,Insurance - Property & Casualty,
GE,USA,266.18,2025-07-17,71.48,5.52,32.51%,7.15,5.940,5.785,"123,472",24.87%,37.91%  (  -0.18%),35.57%,"376,019",9,5,5,80,Aerospace & Defense,"MMM, 0.8(6M)"
FITB,USA,43.05,2025-07-17,62.71,0.82,3.32%,2.10,4.432,3.088,"3,609",21.84%,25.69%  (  -4.77%),12.28%,"67,345",9,4,4,80,Banks - Regional,
CFG,USA,46.97,2025-07-17,64.88,0.96,9.37%,1.67,4.430,3.604,"4,332",22.55%,30.18%  (  +1.46%),17.07%,"86,294",9,4,4,68,Banks - Regional,
USB,USA,45.68,2025-07-17,50.32,0.88,-0.46%,1.69,3.900,3.113,"39,845",22.22%,26.17%  (  -0.95%),16.18%,"248,735",10,4,4,74,Banks - Regional,
ABT,USA,131.74,2025-07-17,42.75,2.35,5.34%,5.41,3.858,3.545,"28,671",16.72%,25.36%  (  +0.42%),39.95%,"198,295",10,5,5,80,Medical Devices,
ELV,USA,344.55,2025-07-17,37.13,10.11,-15.15%,0.43,7.043,7.736,"8,885",39.82%,45.59%  (  +1.33%),96.36%,"48,808",4,5,5,70,Healthcare Plans,
CTAS,USA,214.02,2025-07-17,41.18,3.33,2.52%,8.52,4.782,5.050,"10,181",17.33%,31.04%  (  +1.58%),60.21%,"45,822",6,4,4,80,Specialty Business Services,
IBKR,USA,59.45,2025-07-17,70.81,1.71,27.12%,2.72,6.230,5.369,"17,750",26.86%,42.07%  (  -1.38%),34.94%,"272,296",10,5,5,85,Capital Markets,
NFLX,USA,1250.31,2025-07-17,49.32,28.23,27.61%,13.34,8.268,6.412,"68,861",21.81%,40.25%  (  -1.13%),38.16%,"595,782",8,4,4,82,Entertainment,
TSM,USA,237.56,2025-07-17,69.58,5.24,23.04%,12.74,3.445,4.504,"210,809",26.43%,37.09%  (  -0.64%),13.86%,"1,787,905",10,5,5,82,Semiconductors,
ALLY,USA,39.33,2025-07-18,55.63,0.88,8.77%,0.77,6.819,5.535,"2,767",24.44%,35.18%  (  -1.10%),17.44%,"117,973",8,4,4,65,Credit Services,
SLB,,34.59,2025-07-18,46.05,1.10,-11.49%,1.30,3.439,3.658,"48,505",35.84%,35.48%  (  +0.77%),31.40%,"696,787",9,5,5,70,Oil & Gas Equipment & Services,
AXP,USA,311.90,2025-07-18,51.47,6.41,7.73%,2.90,4.528,4.035,"13,571",23.58%,29.94%  (  +0.06%),21.66%,"244,475",6,4,4,80,Credit Services,"COF, 0.82(6M)"
TFC,USA,44.36,2025-07-18,60.54,0.88,3.42%,2.41,3.580,3.177,"7,331",21.31%,28.85%  (  +0.66%),22.01%,"222,331",10,4,4,60,Banks - Regional,
SCHW,USA,91.26,2025-07-18,55.73,1.46,14.84%,6.33,4.222,4.509,"23,699",12.69%,28.27%  (  -0.34%),17.83%,"466,626",9,5,5,83,Capital Markets,"AMTD, 0.84(6M)"
MMM,USA,157.56,2025-07-18,63.79,3.09,11.78%,3.46,6.801,5.500,"12,069",19.13%,32.78%  (  +0.13%),33.12%,"204,672",6,4,4,65,Conglomerates,"GE, 0.8(6M)"
IBN,USA,33.27,2025-07-19,47.43,0.37,7.58%,3.41,0.000,4.894,977,13.04%,21.24%  (  +0.39%),39.72%,"65,148",5,4,4,,Banks - Regional,
VZ,USA,41.25,2025-07-21,35.47,0.62,-2.76%,1.29,4.111,3.980,"33,119",15.45%,22.94%  (  -0.06%),37.48%,"1,115,431",7,4,4,88,Telecom Services,"T, 0.88(6M)"
AGNC,USA,9.27,2025-07-21,49.66,0.15,-3.07%,3.35,4.008,3.553,"18,970",14.07%,23.73%  (  +2.58%),28.55%,"843,885",5,4,4,67,REIT - Mortgage,
NXPI,Netherlands,220.58,2025-07-21,51.29,6.54,3.32%,4.52,6.662,9.684,"2,363",34.03%,43.05%  (  -0.16%),25.63%,"44,417",9,5,5,65,Semiconductors,
STLD,USA,127.47,2025-07-21,41.79,3.57,-1.45%,1.10,6.518,7.657,741,26.46%,34.96%  (  +0.31%),16.59%,"33,580",8,5,5,73,Steel,
ARE,USA,78.15,2025-07-21,59.38,2.18,-16.46%,4.35,6.249,7.854,713,25.53%,32.93%  (  -2.06%),35.47%,"39,457",6,4,4,68,REIT - Office,
HAL,USA,21.24,2025-07-22,48.15,0.81,-16.28%,0.81,4.452,6.245,"20,845",46.08%,42.71%  (  unch),41.46%,"552,372",5,4,4,68,Oil & Gas Equipment & Services,
GM,USA,53.18,2025-07-22,63.91,1.15,6.74%,0.27,6.006,6.497,"16,712",26.48%,37.36%  (  -0.79%),34.34%,"539,287",8,4,4,55,Auto Manufacturers,"TSLA, 0.83(6M)"
KO,USA,69.27,2025-07-22,41.30,0.91,1.95%,6.39,2.759,3.440,"29,558",12.87%,20.55%  (  -0.16%),45.09%,"672,612",10,5,5,85,Beverages - Non-Alcoholic,"PEP, 0.89(6M)"
NOC,USA,519.70,2025-07-22,63.39,9.15,5.52%,1.85,4.796,6.281,672,22.46%,27.45%  (  -1.00%),43.54%,"27,751",7,4,4,60,Aerospace & Defense,"LMT, 0.82(6M)"
