SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
ATAT,USA,37.15,2025-08-26,63.33,1.33,26.07%,3.96,11.826,10.985,"1,090",32.90%,49.55%  (  -3.08%),19.84%,"4,552",6,4,4,80,Lodging,
BOX,USA,31.16,2025-08-26,40.96,0.64,-4.55%,4.10,9.831,10.456,"21,185",17.92%,49.62%  (  +6.27%),100.00%,"48,392",5,4,5,78,Software - Infrastructure,
NCNO,USA,28.69,2025-08-26,54.24,0.87,-5.35%,5.98,13.184,13.585,"4,198",35.95%,60.47%  (  +4.42%),83.44%,"8,038",6,4,4,75,Software - Application,
MDB,USA,214.34,2025-08-26,47.69,10.06,-6.52%,8.32,13.909,15.722,"108,078",52.89%,84.77%  (  +1.94%),100.00%,"222,789",6,5,5,90,Software - Infrastructure,
PVH,USA,82.49,2025-08-26,69.62,2.20,0.80%,0.46,11.696,12.583,"6,241",32.32%,55.15%  (  -0.78%),55.67%,"33,125",7,4,4,68,Apparel Manufacturing,
OKTA,USA,91.56,2025-08-26,45.49,3.12,-5.10%,5.98,11.907,12.860,"108,178",34.06%,68.42%  (  +3.70%),91.18%,"218,591",4,4,4,80,Software - Infrastructure,
TIGR,USA,12.82,2025-08-27,73.47,0.66,57.85%,5.01,11.319,10.147,"24,704",62.49%,77.78%  (  +1.86%),22.52%,"785,680",6,4,4,85,Capital Markets,
ANF,USA,96.74,2025-08-27,51.67,4.39,-5.84%,0.92,13.485,12.682,"29,167",49.41%,71.65%  (  -0.47%),57.42%,"130,862",7,4,4,78,Apparel Retail,
WSM,USA,197.93,2025-08-27,54.62,5.83,12.21%,3.13,12.742,10.618,"10,128",33.56%,51.33%  (  -2.48%),43.49%,"24,960",10,4,4,86,Specialty Retail,
A,USA,118.30,2025-08-27,51.07,2.69,-4.71%,5.07,7.945,7.276,883,27.78%,35.78%  (  +1.88%),40.06%,"26,336",7,4,4,88,Diagnostics & Research,
URBN,USA,76.26,2025-08-27,51.64,2.68,29.28%,1.20,10.348,10.979,"5,577",37.53%,60.80%  (  +1.08%),64.26%,"28,653",4,4,4,88,Apparel Retail,
VEEV,USA,286.54,2025-08-27,54.54,6.53,17.02%,16.40,9.051,9.730,"2,652",21.26%,44.47%  (  +0.97%),77.56%,"31,404",8,4,4,80,Health Information Services,
NVDA,USA,181.77,2025-08-27,61.29,4.63,31.45%,29.86,8.854,6.630,"1,483,862",23.47%,44.21%  (  +0.45%),28.45%,"18,849,266",9,5,5,78,Semiconductors,
CRWD,USA,417.60,2025-08-27,36.07,12.60,2.50%,25.17,8.514,7.916,"39,102",27.32%,50.57%  (  -0.56%),42.77%,"392,951",4,4,4,90,Software - Infrastructure,
COO,USA,73.66,2025-08-27,53.24,1.72,-12.25%,3.68,7.825,8.111,642,24.80%,41.46%  (  +0.91%),61.63%,"3,331",8,5,5,88,Medical Instruments & Supplies,
SNOW,USA,194.35,2025-08-27,40.33,6.20,8.85%,16.89,11.628,11.394,"41,238",38.78%,60.68%  (  -0.26%),67.82%,"456,144",5,5,5,80,Software - Application,
FIVE,USA,141.98,2025-08-27,59.23,4.32,38.57%,1.94,14.080,12.763,"2,900",30.86%,57.60%  (  -0.22%),28.13%,"54,418",9,4,4,88,Specialty Retail,
NTNX,USA,68.10,2025-08-27,40.29,1.87,-3.31%,7.50,13.042,12.502,"3,158",30.70%,57.26%  (  -1.17%),73.66%,"113,063",6,5,5,85,Software - Infrastructure,
PSTG,USA,58.56,2025-08-27,53.88,1.82,4.68%,5.88,14.707,13.887,"2,188",41.68%,62.55%  (  +0.29%),60.18%,"66,807",8,5,5,80,Computer Hardware,
TCOM,USA,64.93,2025-08-27,57.87,1.62,2.07%,5.54,11.305,9.165,"5,985",32.25%,41.97%  (  -0.47%),35.03%,"67,445",5,5,5,80,Travel Services,
DG,USA,110.50,2025-08-28,45.39,2.56,22.17%,0.59,9.642,7.877,"7,562",24.26%,43.71%  (  +0.22%),43.18%,"168,420",5,4,4,76,Discount Stores,
