SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
CIEN,USA,83.89,2025-06-05,70.38,2.69,17.74%,2.94,11.459,12.249,"13,389",30.25%,61.20%  (  +5.56%),61.70%,"43,277",7,4,4,80,Communication Equipment,
TTC,USA,75.58,2025-06-05,55.38,1.76,-5.63%,1.65,8.538,7.907,"1,145",26.25%,40.34%  (  +1.72%),68.33%,"4,422",6,4,4,79,Tools & Accessories,
LULU,USA,335.19,2025-06-05,67.66,10.05,4.84%,3.97,9.756,9.360,"24,923",34.99%,54.26%  (  +0.59%),59.51%,"186,741",9,4,4,78,Apparel Retail,
RBRK,USA,98.54,2025-06-05,79.13,3.45,69.18%,21.49,19.038,18.267,"5,841",28.87%,88.72%  (  -1.37%),63.36%,"58,699",5,5,5,75,Software - Infrastructure,
AVGO,USA,261.08,2025-06-05,82.69,8.06,34.97%,22.51,7.327,7.001,"305,198",31.89%,49.70%  (  +1.60%),37.18%,"2,150,496",9,5,5,88,Semiconductors,
IOT,USA,46.73,2025-06-05,60.10,1.55,1.72%,21.30,16.060,13.192,"8,428",32.68%,71.82%  (  -3.22%),63.12%,"143,504",7,4,4,85,Software - Infrastructure,
RH,USA,178.19,2025-06-05,42.75,11.66,-41.46%,1.05,13.375,17.292,"5,947",69.50%,94.09%  (  -0.87%),61.49%,"89,391",9,4,4,72,Specialty Retail,
GTLB,USA,47.39,2025-06-10,48.93,2.00,-14.25%,10.31,15.728,14.347,"4,628",43.66%,82.83%  (  +8.13%),87.47%,"114,832",8,5,5,80,Software - Infrastructure,
CHWY,USA,47.28,2025-06-11,79.67,1.42,39.80%,1.65,12.474,10.134,"21,002",26.66%,55.59%  (  +0.38%),19.01%,"267,647",7,5,4,85,Internet Retail,
SAIL,USA,18.05,2025-06-11,51.36,0.83,-6.81%,11.66,4.186,13.914,554,47.23%,68.93%  (  -2.53%),52.68%,"6,880",7,4,4,75,Software - Infrastructure,
ORCL,USA,168.10,2025-06-11,68.17,4.15,3.57%,8.45,8.738,8.819,"31,412",28.22%,46.02%  (  +0.94%),58.44%,"683,167",5,4,4,90,Software - Infrastructure,"MSFT, 0.86(6M)"
ADBE,USA,413.91,2025-06-12,60.96,8.84,-9.63%,8.01,7.904,8.652,"15,912",19.82%,44.39%  (  +0.38%),77.90%,"321,140",7,4,4,85,Software - Application,
KR,USA,66.34,2025-06-12,39.27,1.53,7.44%,0.30,5.659,5.978,"11,340",21.47%,30.46%  (  +1.73%),53.67%,"243,607",6,4,4,80,Grocery Stores,
UEC,USA,6.15,2025-06-16,57.50,0.42,-2.79%,40.88,7.534,0.000,"14,156",85.30%,70.39%  (  -2.80%),61.41%,"258,185",7,5,5,0,Uranium,
JBL,USA,171.97,2025-06-17,72.12,4.33,24.05%,0.67,9.422,9.161,"3,004",26.07%,45.17%  (  +1.03%),49.08%,"36,503",8,4,5,70,Electronic Components,
CCL,Panama,23.83,2025-06-19,66.42,0.77,9.28%,1.22,7.658,9.295,"30,283",39.73%,44.50%  (  -1.77%),23.41%,"1,266,176",10,4,4,85,Travel Services,"NCLH, 0.95(12M)
RCL, 0.94(12M)"
ACN,Ireland,316.40,2025-06-20,54.79,6.01,-7.56%,2.95,6.507,6.783,"6,397",19.59%,33.96%  (  +0.19%),57.76%,"92,824",5,4,4,80,Information Technology Services,
DRI,USA,216.25,2025-06-20,65.52,4.17,18.81%,2.15,5.712,6.243,"2,032",21.10%,31.64%  (  -0.34%),54.39%,"34,777",9,4,4,80,Restaurants,
FDX,USA,218.89,2025-06-24,48.21,5.39,-15.86%,0.60,9.046,9.149,"5,830",30.12%,42.41%  (  -0.17%),52.79%,"169,543",4,4,4,79,Integrated Freight & Logistics,
MU,USA,103.25,2025-06-25,69.65,3.81,8.65%,3.68,11.387,12.661,"135,144",39.88%,58.02%  (  -1.66%),42.13%,"1,804,404",10,5,5,83,Semiconductors,
NKE,USA,62.77,2025-06-26,55.93,1.89,-14.45%,1.93,8.788,9.955,"61,958",35.07%,46.77%  (  +0.29%),61.88%,"1,724,445",6,4,4,60,Footwear & Accessories,"UA, 0.88(6M)"
