SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector
BABA,USA,133.62,2025-05-15,64.09,4.57,30.73%,2.35,5.287,6.180,"39,099",61.85%,49.17%  (  +0.61%),44.03%,"2,532,432",9,5,5,88,Internet Retail
WMT,USA,96.83,2025-05-15,56.52,2.15,10.95%,1.14,4.946,5.031,"21,222",37.01%,31.14%  (  -1.51%),50.03%,"1,756,333",8,5,5,88,Discount Stores
DE,USA,499.61,2025-05-15,65.51,13.11,15.48%,2.82,4.768,4.852,"1,133",41.76%,33.18%  (  +1.06%),40.82%,"73,518",9,4,4,58,Farm & Heavy Construction Machinery
BTDR,Cayman Islands,14.33,2025-05-15,71.14,1.08,22.41%,7.89,22.849,13.915,583,129.28%,120.00%  (  -8.16%),58.12%,"201,376",6,5,5,55,Software - Application
AMAT,USA,173.53,2025-05-15,71.63,6.00,-0.83%,5.10,5.272,5.519,"4,856",71.35%,41.30%  (  +1.21%),31.78%,"362,729",9,5,5,88,Semiconductor Equipment & Materials
TTWO,USA,227.59,2025-05-15,57.10,7.24,24.21%,7.37,6.848,5.956,814,43.41%,37.30%  (  +0.58%),55.83%,"143,855",9,5,5,80,Electronic Gaming & Multimedia
DOCS,USA,60.73,2025-05-15,58.65,2.50,18.39%,20.71,16.007,16.268,815,53.30%,82.04%  (  -0.34%),75.06%,"62,990",9,4,4,88,Health Information Services
CAVA,USA,99.28,2025-05-15,61.03,4.50,-12.51%,11.91,12.480,9.784,"4,453",74.88%,65.61%  (  +0.40%),48.45%,"178,684",8,4,4,89,Restaurants
FUTU,USA,111.60,2025-05-27,66.90,5.78,26.46%,6.08,8.267,10.649,"1,206",80.66%,61.58%  (  +1.69%),32.20%,"142,327",6,5,5,88,Capital Markets
BILI,USA,18.14,2025-05-20,51.99,0.78,-2.52%,1.60,10.763,11.808,"1,598",63.47%,69.09%  (  -1.49%),24.46%,"376,019",7,5,5,80,Internet Content & Information
NBIS,Netherlands,34.66,2025-05-16,71.41,2.33,-2.03%,70.31,8.357,17.020,"23,035",103.21%,99.84%  (  +4.65%),36.91%,"422,574",10,5,4,70,Software - Infrastructure
HD,USA,375.00,2025-05-20,60.67,8.38,-2.97%,2.34,4.271,4.531,"2,271",31.23%,27.86%  (  -0.51%),34.70%,"245,226",9,4,5,72,Home Improvement Retail
AS,Cayman Islands,31.42,2025-05-20,75.41,1.48,37.98%,3.37,14.044,14.189,"1,133",84.14%,61.06%  (  +5.29%),58.91%,"11,179",10,5,4,70,Leisure
PONY,USA,16.98,2025-05-20,65.33,2.19,33.88%,60.84,0.000,43.108,"3,326",235.11%,166.31%  (  -2.64%),0.00%,"58,615",7,4,4,60,Information Technology Services
PANW,USA,191.21,2025-05-20,62.22,5.70,5.54%,14.77,9.089,8.587,"3,728",52.98%,44.50%  (  +0.57%),54.25%,"575,204",7,5,5,80,Software - Infrastructure
BIDU,USA,93.03,2025-05-21,59.16,3.05,4.35%,1.41,6.253,7.062,"10,131",47.14%,43.95%  (  +2.06%),37.83%,"469,878",7,4,4,80,Internet Content & Information
SNOW,USA,181.75,2025-05-21,73.62,6.40,24.06%,16.72,11.778,11.305,"3,974",62.07%,58.55%  (  -1.95%),51.68%,"544,981",4,5,5,75,Software - Application
ZM,USA,83.70,2025-05-21,75.09,1.87,11.39%,5.47,9.418,8.547,"1,137",38.70%,41.70%  (  +0.89%),45.21%,"264,508",8,4,4,75,Software - Application
BJ,USA,107.50,2025-05-22,35.27,3.24,11.62%,0.69,8.700,10.243,"2,266",31.41%,39.49%  (  +0.47%),77.59%,"61,532",5,4,4,82,Discount Stores
RL,USA,270.37,2025-05-22,76.00,10.10,25.19%,2.40,8.856,10.325,"1,833",76.59%,41.55%  (  +1.90%),31.83%,"23,204",10,5,5,90,Apparel Manufacturing
DECK,USA,130.84,2025-05-22,66.02,5.54,-17.33%,4.03,5.583,10.639,549,73.36%,59.77%  (  -0.28%),53.94%,"145,307",5,4,4,88,Footwear & Accessories
DLTR,USA,86.64,2025-06-04,63.36,3.12,15.85%,0.66,12.298,8.789,"1,937",61.25%,53.40%  (  +3.35%),44.80%,"377,370",9,4,4,65,Discount Stores
PDD,USA,120.59,2025-05-28,69.51,4.62,5.45%,3.07,8.949,9.183,"8,647",52.98%,48.21%  (  +0.57%),39.45%,"1,406,167",4,4,4,79,Internet Retail
OKTA,USA,124.77,2025-05-27,73.48,4.24,39.37%,8.36,12.035,12.367,"1,714",55.19%,59.20%  (  +0.36%),62.35%,"185,141",5,4,4,75,Software - Infrastructure
ANF,USA,80.58,2025-05-28,61.28,4.03,-34.56%,0.78,13.229,15.808,894,82.62%,79.06%  (  +2.26%),73.72%,"136,672",9,4,4,80,Apparel Retail
CRM,USA,294.92,2025-05-28,67.99,8.05,0.29%,7.47,7.799,8.212,"4,557",47.42%,41.86%  (  +0.58%),56.88%,"528,303",6,4,4,85,Software - Application
PVH,USA,86.55,2025-06-03,72.74,3.80,-3.93%,0.48,11.576,12.693,922,82.67%,51.39%  (  -1.75%),49.03%,"34,222",5,4,4,80,Apparel Manufacturing
CRDO,Cayman Islands,58.88,2025-06-04,72.41,3.66,23.01%,30.61,21.846,23.636,"3,270",106.61%,91.68%  (  +0.16%),51.87%,"96,640",6,5,5,80,Semiconductors
LI,USA,28.71,2025-05-29,68.60,0.93,19.50%,1.19,9.984,11.987,576,56.86%,64.27%  (  +1.63%),47.72%,"285,662",10,4,4,75,Auto Manufacturers
BBWI,USA,34.27,2025-05-29,64.22,1.50,3.82%,1.00,10.687,10.732,"1,674",82.98%,53.21%  (  -2.67%),53.27%,"106,312",8,5,5,70,Specialty Retail
LULU,USA,316.36,2025-06-04,67.85,11.95,0.66%,3.74,9.756,10.788,"2,426",60.33%,52.86%  (  +0.39%),56.66%,"182,414",8,4,4,80,Apparel Retail
PAGS,Cayman Islands,9.91,2025-05-23,62.82,0.43,15.63%,0.96,11.019,11.853,970,57.55%,44.26%  (  -6.33%),21.84%,"76,288",7,4,4,88,Software - Infrastructure
CRWD,USA,438.90,2025-06-03,60.68,18.46,28.90%,27.69,9.624,10.923,"6,729",67.09%,51.16%  (  +0.40%),43.90%,"410,527",6,5,5,85,Software - Infrastructure
HPE,USA,17.98,2025-06-03,67.75,0.63,-6.80%,0.76,9.193,10.802,"3,268",78.94%,50.50%  (  +0.64%),44.50%,"597,975",7,4,4,78,Communication Equipment
RBRK,USA,83.50,2025-06-10,76.46,3.69,54.45%,17.84,19.038,19.030,657,71.66%,75.44%  (  +1.65%),44.25%,"48,611",6,5,5,75,Software - Infrastructure
BRZE,USA,37.06,2025-06-05,67.82,1.57,-1.01%,6.55,16.690,16.412,654,67.35%,62.79%  (  +4.24%),58.33%,"10,910",9,5,5,80,Software - Application
GTLB,USA,52.69,2025-06-02,63.51,2.36,-4.36%,11.48,15.728,14.460,"1,754",73.85%,72.19%  (  +5.18%),68.33%,"107,835",6,5,5,80,Software - Infrastructure
CHWY,USA,40.54,2025-06-11,71.51,1.59,25.22%,1.41,12.474,12.956,"3,780",44.06%,59.71%  (  +2.49%),23.76%,"270,064",10,5,4,85,Internet Retail
ADBE,USA,399.50,2025-06-12,67.38,9.53,-14.35%,7.73,7.904,9.493,"2,623",36.58%,41.85%  (  +2.38%),68.59%,"330,279",6,4,4,85,Software - Application
KR,USA,66.97,2025-06-19,37.62,1.78,10.22%,0.30,5.659,0.000,"1,820",31.47%,23.27%  (  -0.38%),25.75%,"249,001",8,4,4,80,Grocery Stores
UEC,USA,5.66,2025-06-06,60.10,0.31,-9.57%,36.31,6.243,14.151,"1,138",60.61%,61.35%  (  -2.54%),39.40%,"242,480",6,4,4,0,Uranium
ORCL,USA,162.18,2025-06-10,70.14,5.06,1.18%,8.16,8.738,10.519,"8,408",56.66%,45.19%  (  +0.25%),56.60%,"762,605",5,4,4,90,Software - Infrastructure
CCL,Panama,22.99,2025-06-24,73.19,0.96,8.13%,1.17,7.658,0.000,"16,052",81.98%,39.61%  (  +1.19%),14.37%,"1,323,272",6,4,4,85,Travel Services
FDX,USA,230.48,2025-06-24,59.33,7.39,-12.96%,0.63,9.046,0.000,"1,953",58.76%,29.30%  (  +1.37%),23.78%,"177,136",8,4,4,75,Integrated Freight & Logistics
MU,USA,96.39,2025-06-25,70.28,4.22,1.40%,3.44,11.387,0.000,"39,279",99.40%,47.70%  (  -0.61%),21.95%,"2,052,267",9,5,5,83,Semiconductors
