SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
SPOT,Luxembourg,608.98,2025-04-29,58.54,31.99,34.22%,7.21,10.172,10.803,"1,479",58.70%,64.08%  (  +2.38%),65.39%,"113,866",10,4,4,88
KO,USA,71.76,2025-04-29,52.25,1.57,6.42%,6.60,2.437,2.987,"2,453",23.18%,22.31%  (  +0.27%),58.08%,"795,575",7,5,5,80
GM,USA,47.68,2025-04-29,56.20,1.82,-2.78%,0.25,5.704,6.297,"2,084",44.91%,42.04%  (  -0.21%),47.20%,"765,195",5,4,4,80
AZN,USA,70.36,2025-04-29,51.98,1.77,-4.56%,4.04,4.852,4.350,"1,390",32.85%,30.80%  (  -0.72%),47.66%,"136,609",10,5,4,80
PFE,USA,23.21,2025-04-29,47.75,0.68,-14.18%,2.07,4.412,3.925,"7,352",30.60%,30.53%  (  -1.46%),36.38%,"3,258,308",10,4,4,85
PYPL,USA,65.58,2025-04-29,52.90,2.49,-13.16%,2.02,8.805,8.013,"6,751",53.45%,47.07%  (  +1.10%),45.85%,"1,263,052",5,4,4,85
V,USA,338.70,2025-04-29,53.38,9.99,10.56%,17.98,3.366,4.401,551,39.80%,29.03%  (  -0.87%),43.54%,"293,602",7,5,5,85
BBIO,USA,35.88,2025-04-29,57.82,1.73,23.32%,30.70,8.150,12.919,"1,125",54.59%,59.29%  (  +4.12%),17.09%,"95,177",9,5,5,0
FSLR,USA,142.18,2025-04-29,57.97,8.23,-24.00%,3.63,7.950,8.955,"2,008",62.90%,63.37%  (  +0.06%),53.92%,"495,708",10,5,5,80
SBUX,USA,84.60,2025-04-29,41.68,3.51,-10.83%,2.66,6.520,7.605,557,56.03%,44.88%  (  -0.94%),53.80%,"557,997",8,4,4,60
UPS,USA,98.42,2025-04-29,41.86,3.26,-21.02%,0.92,6.095,7.118,"1,676",45.27%,43.15%  (  -2.04%),50.40%,"359,243",7,4,4,78
NCLH,Bermuda,17.87,2025-04-30,50.01,1.09,-19.12%,0.84,8.334,9.004,"2,272",84.61%,64.09%  (  +1.29%),45.52%,"469,189",10,4,4,78
META,USA,555.61,2025-04-30,51.11,26.59,-3.92%,8.53,8.394,8.306,"14,684",64.46%,49.79%  (  +1.19%),57.01%,"1,966,629",9,5,5,85
NLY,USA,19.51,2025-04-30,53.61,0.62,-2.10%,1.83,2.212,3.121,895,39.80%,24.40%  (  -2.80%),26.85%,"135,763",6,5,5,65
QCOM,USA,148.67,2025-04-30,54.27,6.28,-9.29%,4.04,7.159,6.631,554,65.44%,43.00%  (  +0.33%),38.99%,"524,215",9,4,4,85
ALKT,USA,26.99,2025-04-30,57.05,1.23,-17.76%,8.33,10.996,12.069,532,50.30%,59.05%  (  +1.65%),56.86%,"2,507",9,5,4,80
MGM,USA,32.37,2025-04-30,59.47,1.45,-10.35%,0.53,6.554,8.545,"2,700",63.96%,44.57%  (  -8.87%),36.86%,"213,132",8,5,5,75
HOOD,USA,50.65,2025-04-30,62.93,3.65,46.64%,15.11,12.871,13.032,"26,264",101.68%,83.64%  (  +0.39%),54.27%,"1,857,480",8,4,4,80
MSFT,USA,390.37,2025-04-30,55.09,11.98,-5.93%,11.08,4.911,4.865,"15,592",39.41%,31.56%  (  +0.53%),44.88%,"1,915,157",10,5,5,85
MLCO,USA,5.11,2025-04-29,50.40,0.26,-14.41%,0.46,9.227,6.650,675,52.39%,52.62%  (  -0.90%),3.43%,"40,144",8,4,4,60
MCD,USA,315.43,2025-05-01,55.29,7.32,7.23%,8.70,3.741,3.727,713,25.21%,25.07%  (  +0.61%),45.84%,"196,621",4,4,4,70
APG,USA,37.93,2025-05-01,59.92,1.50,5.40%,1.51,9.630,7.928,762,47.24%,37.04%  (  -6.31%),40.50%,"6,862",4,5,5,82
LLY,USA,872.98,2025-05-01,60.96,35.19,3.30%,18.37,6.043,5.614,"1,153",55.07%,38.89%  (  +1.13%),39.06%,"263,408",9,5,5,75
BDX,USA,205.33,2025-05-01,43.04,5.81,-10.79%,2.86,5.168,6.921,711,31.56%,33.15%  (  -2.39%),70.80%,"44,071",9,5,5,85
RBLX,USA,66.25,2025-05-01,65.73,2.91,25.96%,12.47,12.637,12.961,648,56.57%,69.12%  (  +1.31%),56.98%,"389,032",7,4,4,75
RIOT,USA,7.78,2025-05-01,53.35,0.61,-19.93%,7.23,11.880,9.425,"3,533",90.03%,90.56%  (  +4.63%),30.37%,"1,168,914",8,5,5,85
AAPL,USA,210.78,2025-05-01,52.94,8.78,-7.35%,8.00,3.991,4.991,"40,707",64.78%,34.79%  (  -0.05%),38.23%,"4,612,346",5,4,4,90
XYZ,USA,59.12,2025-05-01,55.35,3.04,-18.15%,1.52,4.904,10.326,"2,602",61.78%,63.75%  (  +0.12%),43.38%,"578,928",5,5,5,85
ZETA,USA,13.60,2025-05-01,53.26,0.98,-36.86%,3.21,18.293,16.170,697,77.92%,90.31%  (  -6.20%),56.39%,"110,759",4,5,5,80
MSTR,USA,368.04,2025-05-01,64.38,23.74,40.32%,211.38,7.388,6.783,"21,671",110.23%,74.49%  (  +1.76%),3.37%,"2,029,826",9,5,5,75
SMMT,USA,25.48,2025-05-01,52.88,3.36,36.74%,-,15.634,13.133,"1,457",171.95%,123.27%  (  -11.20%),32.44%,"113,874",9,5,5,85
RDDT,USA,120.39,2025-05-01,56.49,9.53,3.72%,16.75,15.317,14.874,"1,430",110.40%,92.25%  (  -2.73%),53.32%,"384,783",10,4,4,80
AMZN,USA,189.85,2025-05-01,52.74,8.63,-4.68%,3.16,7.251,6.770,"25,675",57.62%,41.84%  (  -0.09%),47.18%,"3,887,677",6,5,5,85
SWTX,USA,46.10,2025-05-01,58.73,2.78,16.99%,18.04,15.403,0.599,"4,529",77.39%,10.45%  (  -29.20%),0.00%,"184,601",9,5,5,0
