SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
UEC,USA,12.35,2025-09-26,62.20,0.73,73.63%,82.07,0.000,12.333,"5,645",67.94%,80.90%  (  +1.77%),86.99%,"313,550",9,5,5,,Uranium,
PGR,USA,241.30,2025-10-09,41.14,4.36,-7.00%,1.72,0.959,0.000,755,18.39%,27.12%  (  -1.15%),21.82%,"58,859",4,4,4,88,Insurance - Property & Casualty,
DAL,USA,59.09,2025-10-09,49.54,1.86,7.78%,0.62,7.592,9.714,"17,884",38.32%,49.82%  (  +1.37%),31.97%,"1,026,475",6,5,5,85,Airlines,"UAL, 0.94(6M)"
WFC,USA,81.86,2025-10-14,56.72,1.60,8.69%,2.13,4.646,7.118,"6,698",22.01%,31.17%  (  +0.74%),25.87%,"1,295,916",8,4,4,85,Banks - Diversified,
JPM,USA,312.26,2025-10-14,68.72,4.97,18.09%,3.08,3.907,6.240,"15,106",16.35%,26.79%  (  +0.63%),22.97%,"805,876",8,4,4,80,Banks - Diversified,"BAC, 0.85(6M)"
C,USA,101.86,2025-10-14,71.47,1.88,28.64%,1.11,4.159,7.711,"27,979",20.51%,32.40%  (  +1.41%),25.72%,"1,862,473",6,4,5,85,Banks - Diversified,
GS,USA,792.82,2025-10-14,69.90,14.86,26.15%,1.91,4.413,7.093,"6,264",22.12%,30.95%  (  +0.97%),23.81%,"292,601",8,4,4,85,Capital Markets,"MS, 0.96(6M)"
APLD,USA,19.31,2025-10-14,72.11,1.19,105.24%,23.44,18.065,22.410,"23,518",76.40%,110.08%  (  +4.29%),33.91%,"727,037",7,5,5,85,Information Technology Services,
BAC,USA,51.46,2025-10-15,67.45,0.83,14.57%,1.92,3.906,6.474,"58,546",18.28%,28.10%  (  +0.61%),21.82%,"2,798,427",7,5,5,80,Banks - Diversified,
MS,USA,156.92,2025-10-15,70.67,2.71,19.37%,2.29,3.773,6.895,"5,225",17.49%,29.34%  (  +0.84%),18.81%,"525,695",8,4,4,85,Capital Markets,"GS, 0.96(6M)"
ASML,USA,871.33,2025-10-15,73.20,18.63,19.17%,9.80,5.966,9.677,"7,257",29.96%,42.03%  (  +1.51%),32.64%,"198,336",10,4,5,82,Semiconductor Equipment & Materials,
AA,USA,33.48,2025-10-15,63.36,1.16,4.44%,0.67,6.367,12.530,"3,568",40.40%,52.51%  (  +0.89%),21.75%,"335,032",4,4,4,65,Aluminum,
SLG,USA,62.61,2025-10-15,57.92,2.04,2.37%,4.85,6.009,8.508,"1,405",38.27%,38.55%  (  +1.62%),22.59%,"54,579",5,4,4,78,REIT - Office,
ABT,USA,133.67,2025-10-15,55.92,2.41,4.26%,5.40,3.642,5.844,952,17.12%,25.15%  (  +0.65%),39.22%,"203,983",9,5,5,85,Medical Devices,
LRCX,USA,121.41,2025-10-15,77.72,3.24,43.01%,8.30,6.439,0.000,"10,521",40.17%,40.93%  (  +1.19%),19.30%,"605,145",10,5,5,85,Semiconductor Equipment & Materials,
LVS,USA,52.22,2025-10-15,40.86,1.12,13.99%,3.09,5.661,0.000,"5,330",21.94%,32.78%  (  -0.90%),12.23%,"331,203",4,4,4,80,Resorts & Casinos,
CSX,USA,32.97,2025-10-15,46.28,0.71,2.64%,4.34,3.824,6.000,"14,423",24.03%,25.81%  (  +0.75%),27.23%,"525,022",9,4,4,68,Railroads,
NDAQ,USA,93.45,2025-10-15,46.94,1.39,12.32%,6.61,5.820,0.000,564,12.32%,21.85%  (  +0.37%),11.94%,"40,147",7,5,5,88,Financial Data & Stock Exchanges,
KMI,USA,27.48,2025-10-15,57.50,0.47,0.11%,3.84,3.583,5.830,"1,792",19.08%,23.29%  (  -0.28%),16.11%,"462,788",8,4,4,85,Oil & Gas Midstream,
USB,USA,49.47,2025-10-16,62.19,0.87,8.51%,1.83,3.787,6.259,"3,718",20.29%,27.27%  (  +0.06%),18.69%,"257,210",7,4,4,85,Banks - Regional,
KEY,USA,18.81,2025-10-16,51.34,0.36,10.35%,2.21,4.056,6.847,"1,664",21.72%,30.32%  (  +0.65%),16.45%,"213,140",5,4,4,85,Banks - Regional,
BK,USA,106.57,2025-10-16,62.34,1.81,20.61%,1.86,4.539,6.931,579,15.36%,29.47%  (  +0.85%),30.51%,"91,039",7,4,4,88,Banks - Diversified,"STT, 0.83(6M)"
FCX,USA,45.81,2025-10-16,57.27,1.33,14.66%,2.57,3.387,0.000,"5,785",29.82%,37.02%  (  +0.13%),15.20%,"1,059,712",8,4,4,90,Copper,
UNP,USA,217.43,2025-10-16,43.57,3.71,-5.30%,5.29,3.183,0.000,922,14.69%,21.21%  (  -0.12%),17.02%,"157,572",9,4,4,88,Railroads,"NSC, 0.89(6M)"
ISRG,USA,433.30,2025-10-16,32.77,11.60,-17.23%,16.99,6.488,7.167,"1,590",29.03%,30.51%  (  -0.80%),26.77%,"98,437",10,4,5,80,Medical Instruments & Supplies,
BX,USA,185.99,2025-10-16,69.97,4.02,17.12%,17.62,3.895,7.468,"5,331",24.06%,32.14%  (  +0.72%),16.54%,"349,527",8,4,4,85,Asset Management,
TSCO,USA,59.41,2025-10-16,47.05,1.20,8.19%,2.08,4.782,0.000,"1,770",18.64%,27.80%  (  -0.12%),24.33%,"70,135",6,4,4,85,Specialty Retail,
TSM,USA,260.75,2025-10-16,68.14,5.84,27.59%,12.74,3.853,8.446,"17,138",28.22%,36.71%  (  +0.40%),16.84%,"1,761,658",10,5,5,88,Semiconductors,
TFC,USA,45.35,2025-10-17,50.99,0.83,5.31%,1.92,3.229,6.566,"1,498",19.38%,28.26%  (  +0.14%),22.28%,"207,758",9,4,4,75,Banks - Regional,
ALLY,USA,44.38,2025-10-17,81.24,0.86,19.89%,0.88,6.507,8.764,637,21.08%,37.30%  (  +0.03%),23.52%,"123,198",6,4,4,80,Credit Services,
AXP,USA,336.64,2025-10-17,66.62,6.28,13.36%,3.05,4.314,7.854,"13,390",20.05%,30.60%  (  +0.63%),23.03%,"263,632",7,4,4,88,Credit Services,"COF, 0.82(6M)"
SLB,,35.16,2025-10-17,50.03,0.97,-5.58%,1.49,3.469,9.218,"3,346",26.13%,36.47%  (  +0.14%),30.65%,"778,554",9,5,5,70,Oil & Gas Equipment & Services,
SCHW,USA,91.42,2025-10-20,39.30,1.89,8.00%,6.22,5.246,0.000,"1,583",24.84%,31.26%  (  +0.20%),29.80%,"497,320",6,5,5,85,Capital Markets,"AMTD, 0.84(6M)"
GM,USA,58.92,2025-10-21,62.80,1.11,16.16%,0.30,6.126,0.000,"2,872",16.61%,28.55%  (  +0.24%),7.05%,"521,019",7,4,5,76,Auto Manufacturers,"TSLA, 0.83(6M)"
PM,USA,164.60,2025-10-21,47.30,3.52,5.00%,6.59,4.608,0.000,"3,206",21.04%,25.19%  (  -0.62%),29.91%,"241,668",8,5,5,85,Tobacco,
GE,USA,288.19,2025-10-21,63.94,6.08,30.55%,7.34,5.795,0.000,"3,936",21.03%,29.39%  (  +0.52%),15.29%,"266,608",8,5,5,90,Aerospace & Defense,"MMM, 0.8(6M)"
VZ,USA,44.33,2025-10-21,56.08,0.65,4.08%,1.36,4.156,0.000,"12,426",14.40%,18.60%  (  -1.40%),14.54%,"1,068,351",8,4,4,90,Telecom Services,"T, 0.88(6M)"
NFLX,USA,1216.34,2025-10-21,49.29,27.59,12.99%,12.47,7.632,6.688,"50,368",23.30%,28.51%  (  -0.13%),14.42%,"593,461",7,4,4,90,Entertainment,
IBKR,USA,62.28,2025-10-21,48.39,1.72,19.89%,2.84,6.111,0.000,648,33.26%,39.56%  (  +0.34%),25.01%,"295,305",10,5,5,88,Capital Markets,
UAL,USA,106.36,2025-10-21,59.58,3.28,20.06%,0.59,8.326,0.000,"3,836",37.93%,51.50%  (  +0.83%),19.85%,"591,273",4,5,5,88,Airlines,"DAL, 0.94(6M)
RCL, 0.94(12M)"
T,USA,29.43,2025-10-22,56.66,0.49,10.86%,1.70,4.669,0.000,"10,549",17.01%,22.03%  (  -0.49%),21.35%,"1,159,353",10,5,5,85,Telecom Services,"VZ, 0.88(6M)"
GEV,USA,611.03,2025-10-22,49.34,23.65,39.40%,4.54,6.790,0.000,"2,987",38.86%,46.70%  (  +0.36%),10.88%,"184,032",6,4,4,85,Specialty Industrial Machinery,
APH,USA,119.00,2025-10-22,69.03,2.68,42.14%,7.72,8.704,0.000,"2,257",24.43%,33.14%  (  +0.63%),33.93%,"115,740",6,5,5,92,Electronic Components,
BSX,USA,97.80,2025-10-22,27.16,2.05,-2.85%,7.84,5.507,0.000,"6,629",17.85%,27.74%  (  -0.22%),30.63%,"239,867",9,5,5,90,Medical Devices,
IBM,USA,259.61,2025-10-22,60.83,4.81,3.50%,3.78,6.428,0.000,"4,456",21.00%,25.49%  (  -0.11%),19.54%,"396,768",7,4,4,85,Information Technology Services,"ORCL, 0.8(6M)"
SAP,USA,257.42,2025-10-22,35.34,5.19,-7.12%,7.68,11.980,0.000,796,23.68%,27.73%  (  -0.47%),20.95%,"42,312",8,4,5,88,Software - Application,
SLM,USA,28.23,2025-10-22,32.66,0.86,-6.21%,2.00,8.434,0.000,"2,507",34.46%,36.10%  (  +2.02%),29.90%,"56,501",8,5,5,70,Credit Services,
KO,USA,66.94,2025-10-22,38.23,0.87,-2.13%,6.12,2.875,0.000,"24,600",12.41%,17.46%  (  -0.57%),18.91%,"727,089",10,5,5,75,Beverages - Non-Alcoholic,"PEP, 0.89(6M)"
META,USA,771.51,2025-10-22,58.02,15.71,17.11%,10.84,7.974,6.054,"96,424",20.60%,29.25%  (  -0.27%),9.51%,"2,125,666",10,5,5,90,Internet Content & Information,
EQT,USA,50.31,2025-10-22,42.18,1.50,-2.74%,4.31,5.032,0.000,"1,807",22.77%,36.45%  (  -0.75%),20.81%,"350,959",9,4,4,85,Oil & Gas E&P,
NLY,USA,21.89,2025-10-22,61.04,0.28,9.46%,2.17,2.404,0.000,"1,468",15.55%,26.12%  (  -1.77%),26.36%,"191,624",8,5,4,75,REIT - Mortgage,
VKTX,USA,23.55,2025-10-22,33.40,1.64,-24.93%,-,11.017,0.000,"3,614",167.42%,61.69%  (  -0.25%),3.28%,"292,647",6,5,5,72,Biotechnology,
CLF,USA,11.61,2025-10-22,61.37,0.49,23.21%,0.31,9.153,0.000,"5,701",43.36%,61.74%  (  +1.05%),28.67%,"916,258",6,4,4,85,Steel,
TMO,USA,477.02,2025-10-22,48.40,11.73,-0.71%,4.17,4.518,0.000,"2,262",26.20%,30.82%  (  +0.78%),29.58%,"99,195",9,5,5,85,Diagnostics & Research,
BA,USA,215.80,2025-10-22,34.58,5.01,12.27%,2.17,5.230,0.000,"23,671",23.94%,30.46%  (  +0.58%),9.30%,"1,133,296",9,5,5,80,Aerospace & Defense,"EADSY, 0.8(6M)"
ORLY,USA,104.68,2025-10-22,53.58,1.78,14.68%,5.19,6.576,0.000,705,16.72%,24.25%  (  +1.16%),21.65%,"92,409",4,5,5,75,Auto Parts,
AR,USA,32.78,2025-10-22,52.29,0.96,-9.27%,2.07,5.575,0.000,796,25.97%,40.38%  (  +0.06%),13.97%,"191,134",9,4,5,80,Oil & Gas E&P,
VRT,USA,134.80,2025-10-22,54.58,5.87,19.90%,5.66,10.407,0.000,"11,382",43.53%,52.95%  (  +1.09%),10.05%,"645,085",7,5,5,88,Electrical Equipment & Parts,
