SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
JBL,USA,175.84,2025-06-17,68.41,4.03,24.66%,0.69,9.422,8.443,"2,146",22.01%,47.03%  (  +4.72%),52.90%,"40,904",7,5,5,82,Electronic Components,
DRI,USA,217.50,2025-06-20,62.00,3.82,18.02%,2.16,5.712,5.420,865,21.40%,32.41%  (  +2.23%),57.29%,"37,541",10,4,5,88,Restaurants,
ACN,Ireland,311.71,2025-06-20,46.55,5.42,-8.79%,2.90,6.507,6.518,"5,167",20.33%,36.46%  (  +1.46%),66.29%,"103,164",6,4,4,80,Information Technology Services,
KR,USA,65.56,2025-06-20,39.46,1.30,5.40%,0.30,5.659,5.163,"9,658",20.19%,31.00%  (  -0.22%),55.78%,"261,241",6,4,4,80,Grocery Stores,
FDX,USA,224.38,2025-06-24,54.06,4.96,-12.94%,0.61,9.046,8.628,"6,572",30.11%,43.81%  (  +1.64%),55.94%,"177,405",4,4,4,77,Integrated Freight & Logistics,
CCL,Panama,22.41,2025-06-24,47.13,0.75,1.46%,1.15,7.658,10.129,"78,083",43.30%,54.81%  (  +7.83%),42.45%,"1,352,509",10,4,5,85,Travel Services,"NCLH, 0.95(12M)
RCL, 0.94(12M)"
MU,USA,115.60,2025-06-25,78.68,3.84,21.33%,4.12,11.387,10.852,"143,724",35.22%,57.53%  (  +0.55%),41.18%,"1,979,999",9,5,5,88,Semiconductors,
JEF,USA,52.20,2025-06-25,55.37,1.64,-17.33%,1.10,6.905,9.870,"1,894",38.07%,42.49%  (  +4.93%),36.17%,"48,160",9,4,4,0,Capital Markets,
NKE,USA,60.53,2025-06-26,46.08,1.87,-16.66%,1.86,8.788,10.126,"109,679",37.16%,51.82%  (  +2.43%),73.79%,"1,816,517",4,4,4,60,Footwear & Accessories,"UA, 0.88(6M)"
STZ,USA,164.88,2025-07-01,28.07,4.32,-20.72%,2.86,4.822,7.581,"10,239",24.44%,38.34%  (  +2.28%),57.35%,"101,777",7,4,4,75,Beverages - Brewers,
PGR,USA,267.85,2025-07-10,40.34,6.05,3.42%,2.00,2.117,0.000,"4,616",20.93%,26.93%  (  +1.74%),23.31%,"66,417",7,4,4,78,Insurance - Property & Casualty,
DAL,USA,47.04,2025-07-10,44.12,1.83,-12.75%,0.50,7.622,11.097,"49,448",46.14%,51.98%  (  +4.23%),37.83%,"877,820",7,5,4,80,Airlines,"UAL, 0.94(6M)"
BK,USA,88.60,2025-07-15,54.02,1.41,10.65%,1.59,4.597,0.000,"1,050",14.56%,24.90%  (  +1.47%),21.57%,"74,886",6,4,4,88,Banks - Diversified,"STT, 0.83(6M)"
JPM,USA,264.95,2025-07-15,56.26,4.59,9.63%,2.58,3.712,0.000,"67,621",16.31%,24.39%  (  +3.37%),17.75%,"855,482",5,4,4,80,Banks - Diversified,"BAC, 0.85(6M)"
C,USA,76.36,2025-07-15,56.20,1.54,8.98%,0.85,3.872,0.000,"74,089",24.80%,28.89%  (  +3.76%),18.25%,"1,951,658",4,4,5,85,Banks - Diversified,
WFC,USA,72.36,2025-07-15,42.24,1.68,4.08%,1.89,4.664,0.000,"67,527",21.17%,29.61%  (  +4.15%),22.93%,"1,499,647",8,4,4,78,Banks - Diversified,
GS,USA,613.54,2025-07-16,58.48,13.74,8.66%,1.50,4.520,0.000,"21,701",23.26%,29.60%  (  +3.42%),21.42%,"285,299",7,4,4,85,Capital Markets,"MS, 0.96(6M)"
CFG,USA,40.33,2025-07-16,49.91,1.00,-5.21%,1.44,4.430,0.000,632,29.97%,34.60%  (  +2.42%),28.53%,"120,698",6,4,4,78,Banks - Regional,
