SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
BBY,USA,71.39,2025-05-29,55.23,2.52,-15.47%,0.36,7.435,9.054,"1,853",50.16%,50.84%  (  -0.71%),52.61%,"130,901",4,4,4,68,Specialty Retail,
WSM,USA,170.32,2025-05-22,58.91,6.48,3.40%,2.71,10.793,12.229,"1,811",54.12%,54.55%  (  -0.06%),52.65%,"27,279",4,4,4,85,Specialty Retail,
ADI,USA,225.25,2025-05-22,69.57,6.61,4.62%,11.96,4.697,5.148,"1,814",63.67%,35.74%  (  +0.08%),29.51%,"93,842",7,4,4,80,Semiconductors,
ROST,USA,153.35,2025-05-22,72.85,3.24,6.32%,2.39,6.860,5.786,526,29.84%,31.73%  (  -0.73%),56.59%,"42,998",9,5,4,72,Apparel Retail,
INTU,USA,668.72,2025-05-22,66.38,14.11,7.36%,10.88,5.693,5.263,652,34.11%,33.13%  (  +0.21%),42.12%,"98,339",10,5,5,90,Software - Application,
DECK,USA,125.21,2025-05-22,56.66,4.91,-20.58%,3.86,5.583,11.061,"4,368",53.30%,63.12%  (  -3.31%),59.33%,"131,325",10,4,4,88,Footwear & Accessories,
WDAY,USA,270.82,2025-05-22,68.68,6.16,8.17%,8.61,8.742,7.668,"1,213",38.40%,42.55%  (  -0.04%),54.82%,"73,790",10,4,4,90,Software - Application,
PDD,USA,116.67,2025-05-27,60.85,4.26,2.24%,2.97,8.949,8.435,"7,198",36.81%,47.26%  (  +0.13%),37.29%,"1,294,184",8,4,4,79,Internet Retail,
OKTA,USA,121.75,2025-05-27,61.11,3.99,34.76%,8.15,12.035,12.039,"3,832",46.87%,61.00%  (  +1.79%),66.01%,"153,075",4,4,4,75,Software - Infrastructure,
DLTR,USA,89.58,2025-06-04,66.68,2.89,20.37%,0.68,12.298,11.109,"3,513",37.06%,54.10%  (  -0.50%),45.84%,"309,825",10,4,4,65,Discount Stores,
DKS,USA,178.29,2025-05-28,41.58,9.67,-15.73%,1.06,9.955,8.265,"2,526",76.40%,47.33%  (  -0.88%),40.53%,"96,957",10,4,4,85,Specialty Retail,
ANF,USA,74.14,2025-05-28,46.85,3.66,-38.97%,0.71,13.229,14.677,"3,290",58.59%,79.04%  (  +0.43%),73.69%,"116,017",6,4,4,80,Apparel Retail,
NVDA,USA,134.38,2025-05-28,70.70,4.74,6.78%,25.12,9.229,8.225,"426,132",67.13%,48.51%  (  -0.64%),26.78%,"21,573,295",7,5,5,87,Semiconductors,
CRM,USA,286.08,2025-05-28,59.51,6.75,-2.99%,7.24,7.799,8.169,"3,387",39.72%,43.73%  (  +0.47%),62.45%,"494,386",7,4,4,85,Software - Application,"ORCL, 0.81(12M)"
S,USA,19.65,2025-05-28,55.19,0.67,-13.19%,7.91,14.847,11.698,997,56.47%,61.82%  (  -0.47%),55.01%,"189,387",8,5,4,78,Software - Infrastructure,
FUTU,USA,111.24,2025-05-29,63.43,5.48,24.29%,6.04,8.267,9.051,809,60.19%,57.69%  (  -1.48%),26.47%,"118,461",7,5,5,88,Capital Markets,
LI,USA,29.67,2025-05-29,69.63,0.89,22.28%,1.23,9.984,9.609,"3,135",39.12%,58.79%  (  -0.46%),36.59%,"278,775",6,4,4,75,Auto Manufacturers,
BBWI,USA,32.19,2025-05-29,52.83,1.35,-2.35%,0.94,10.687,9.131,"2,532",70.34%,53.81%  (  +0.59%),54.57%,"105,295",7,5,5,72,Specialty Retail,
DELL,USA,114.39,2025-05-29,75.80,3.99,3.49%,0.82,10.210,10.607,"5,681",59.05%,57.64%  (  +0.34%),49.08%,"699,031",5,5,5,78,Computer Hardware,
ZS,USA,250.75,2025-05-29,75.02,6.73,27.66%,16.01,10.489,8.074,"2,479",44.45%,43.47%  (  -1.26%),30.59%,"251,785",4,5,5,85,Software - Infrastructure,
MRVL,USA,61.31,2025-05-29,49.68,3.19,-26.19%,9.19,9.547,11.688,"8,898",86.83%,68.43%  (  -0.65%),48.52%,"837,411",7,5,5,85,Semiconductors,
GAP,USA,27.80,2025-05-29,76.16,1.07,24.35%,0.69,7.952,12.257,"1,919",57.88%,64.09%  (  -5.42%),52.43%,"205,375",9,4,4,82,Apparel Retail,
COST,USA,1036.27,2025-05-29,65.56,21.60,9.87%,1.74,3.965,4.376,"6,803",25.06%,27.08%  (  -0.52%),39.75%,"272,233",6,4,5,85,Discount Stores,
LULU,USA,325.20,2025-06-04,69.91,10.75,2.88%,3.85,9.756,10.150,"2,621",46.51%,51.92%  (  +0.56%),54.76%,"166,142",8,4,4,78,Apparel Retail,
CRDO,Cayman Islands,62.20,2025-06-02,75.79,3.27,27.62%,32.24,21.846,21.978,"4,461",86.44%,96.60%  (  -0.22%),57.23%,"59,785",7,5,5,80,Semiconductors,
DG,USA,101.75,2025-06-03,68.33,3.06,20.15%,0.55,9.685,10.308,"4,457",35.94%,49.78%  (  -0.24%),53.00%,"213,436",9,4,4,60,Discount Stores,
OLLI,USA,115.55,2025-06-03,55.60,4.49,12.63%,3.12,9.487,11.515,632,45.34%,50.92%  (  -0.94%),69.15%,"13,145",9,5,4,85,Discount Stores,
CRWD,USA,437.14,2025-06-03,57.96,16.21,26.48%,27.54,9.624,10.184,"7,769",58.84%,51.64%  (  -1.06%),45.02%,"383,487",5,5,5,85,Software - Infrastructure,
MDB,USA,188.70,2025-05-29,58.03,7.38,-23.66%,7.68,13.517,6.424,"1,264",62.40%,81.44%  (  +1.01%),84.13%,"200,229",6,4,4,70,Software - Infrastructure,
RH,USA,201.17,2025-06-12,49.68,13.79,-34.62%,1.18,13.375,18.251,"1,362",105.06%,84.69%  (  -0.08%),51.75%,"75,557",8,4,4,70,Specialty Retail,
GTLB,USA,47.78,2025-06-02,47.53,2.36,-13.28%,10.40,15.728,15.477,"1,740",63.67%,73.08%  (  +2.36%),69.94%,"108,718",7,5,5,80,Software - Infrastructure,
KR,USA,68.94,2025-06-19,47.48,1.61,12.81%,0.31,5.659,6.761,733,24.78%,29.49%  (  +0.87%),49.91%,"237,137",6,4,4,78,Grocery Stores,
UEC,USA,5.33,2025-06-06,50.66,0.30,-14.88%,34.19,6.243,14.006,"1,172",57.78%,67.58%  (  +3.20%),54.58%,"153,513",5,4,4,,Uranium,
