SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
PGR,USA,242.19,2025-10-09,45.08,4.08,-6.46%,1.72,0.959,6.055,"2,141",15.28%,27.02%  (  +0.31%),21.49%,"47,409",6,4,4,88,Insurance - Property & Casualty,
JPM,USA,313.45,2025-10-14,67.22,5.00,17.65%,3.09,3.907,5.471,"42,252",15.27%,26.83%  (  +0.15%),23.07%,"713,038",8,4,4,80,Banks - Diversified,"BAC, 0.85(6M)"
KMI,USA,27.93,2025-10-15,61.77,0.47,1.79%,3.90,3.583,4.569,"48,632",14.04%,24.76%  (  +1.01%),15.94%,"326,590",9,4,4,85,Oil & Gas Midstream,
PPG,USA,103.92,2025-10-15,32.88,2.26,-7.62%,1.45,3.792,4.560,532,19.39%,29.27%  (  -0.44%),39.44%,"26,704",8,4,4,75,Specialty Chemicals,
NDAQ,USA,86.73,2025-10-15,28.33,1.66,4.00%,6.14,5.820,7.689,554,18.49%,23.99%  (  +0.81%),18.12%,"36,790",8,5,5,90,Financial Data & Stock Exchanges,
CCI,USA,93.98,2025-10-15,39.24,1.92,-4.47%,7.55,5.056,5.141,600,18.87%,26.93%  (  +0.94%),25.25%,"43,547",5,5,4,70,REIT - Specialty,
KNX,USA,39.13,2025-10-15,33.77,1.25,-15.89%,0.86,8.850,13.054,529,32.10%,39.28%  (  +0.05%),38.64%,"25,002",4,4,4,78,Trucking,
SCHW,USA,94.78,2025-10-16,51.98,1.96,11.50%,6.45,5.246,7.321,"13,744",25.00%,31.96%  (  +0.37%),31.57%,"436,640",6,5,5,85,Capital Markets,"AMTD, 0.84(6M)"
BX,USA,175.60,2025-10-16,47.27,4.63,10.67%,16.64,3.895,6.222,"8,185",26.98%,35.49%  (  +0.92%),23.22%,"315,259",8,4,4,85,Asset Management,
TSCO,USA,56.42,2025-10-16,34.69,1.20,2.67%,1.97,4.782,7.276,768,20.98%,32.04%  (  -1.29%),36.30%,"54,159",5,4,4,85,Specialty Retail,
TSM,USA,276.66,2025-10-16,69.61,7.30,33.79%,13.52,3.853,7.746,"101,285",28.90%,39.90%  (  +0.21%),24.10%,"1,671,369",10,5,5,88,Semiconductors,
UNP,USA,232.00,2025-10-16,69.28,3.95,1.22%,5.64,3.183,5.571,"4,549",14.92%,24.24%  (  +0.01%),27.62%,"122,675",9,4,4,88,Railroads,"NSC, 0.89(6M)"
THC,USA,196.72,2025-10-16,64.41,5.38,30.15%,0.84,10.841,0.000,"3,412",27.14%,38.00%  (  -0.32%),24.25%,"32,353",8,5,5,85,Medical Care Facilities,
RF,USA,26.60,2025-10-17,49.41,0.54,12.99%,2.50,4.237,5.894,969,19.67%,29.52%  (  +0.95%),19.77%,"93,719",9,4,4,85,Banks - Regional,
SLB,,34.59,2025-10-17,47.07,0.96,-6.43%,1.46,3.469,7.451,"15,881",25.41%,36.72%  (  -0.92%),31.30%,"738,158",9,5,5,70,Oil & Gas Equipment & Services,
PM,USA,164.00,2025-10-21,48.02,3.44,3.98%,6.56,4.608,7.358,"10,998",22.14%,32.58%  (  +0.53%),58.04%,"194,132",9,5,5,85,Tobacco,
PHM,USA,128.74,2025-10-21,44.60,3.70,15.76%,1.44,5.338,8.149,572,27.95%,37.08%  (  -2.30%),27.54%,"39,435",8,4,4,70,Residential Construction,
HAL,USA,24.66,2025-10-21,70.75,0.79,5.24%,0.95,4.866,9.600,"25,656",36.04%,41.85%  (  -1.99%),39.45%,"675,708",7,5,5,70,Oil & Gas Equipment & Services,
VZ,USA,43.35,2025-10-21,46.19,0.59,1.80%,1.33,4.156,0.000,"54,648",14.03%,22.72%  (  +0.19%),33.20%,"924,540",5,4,4,90,Telecom Services,"T, 0.88(6M)"
