SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
KKR,USA,118.17,2025-11-07,38.69,4.00,-8.68%,5.90,4.680,5.641,"11,307",33.70%,41.83%  (  -3.15%),24.18%,"236,278",8,5,5,85,Asset Management,
CEG,USA,342.98,2025-11-07,40.85,17.68,15.26%,4.25,5.839,5.623,"14,221",51.67%,52.08%  (  -3.42%),24.50%,"199,384",7,5,5,80,Utilities - Independent Power Producers,
TSEM,Israel,81.93,2025-11-10,58.76,3.56,63.53%,6.15,10.660,14.464,"10,818",41.02%,76.63%  (  +3.70%),100.00%,"47,965",7,4,4,85,Semiconductors,
STWD,USA,18.30,2025-11-10,39.26,0.27,-6.79%,3.67,3.801,4.873,696,16.14%,23.78%  (  +1.27%),31.94%,"152,261",6,4,4,80,REIT - Mortgage,
BTDR,Cayman Islands,20.64,2025-11-10,47.41,1.95,45.79%,12.37,17.379,14.317,"9,071",119.81%,114.93%  (  -5.96%),54.54%,"365,027",9,5,5,0,Software - Application,
MNDY,Israel,181.76,2025-11-10,40.57,8.41,-27.13%,8.39,14.641,15.709,"1,760",46.10%,82.06%  (  -1.53%),78.62%,"49,623",9,5,5,88,Software - Application,
CART,USA,35.64,2025-11-10,34.15,1.32,-18.50%,2.65,10.055,11.008,"28,607",44.19%,59.84%  (  +5.44%),73.73%,"139,069",8,4,4,85,Internet Retail,
ROIV,Bermuda,20.08,2025-11-10,74.09,0.60,63.61%,590.25,6.353,7.689,671,25.65%,58.71%  (  +10.24%),58.09%,"114,677",7,5,5,78,Biotechnology,
MLYS,USA,37.76,2025-11-10,43.62,2.21,90.73%,-,22.530,20.139,"2,042",47.71%,98.19%  (  -3.30%),12.42%,"19,768",8,5,5,75,Biotechnology,
BBAI,USA,5.45,2025-11-10,36.12,0.59,2.47%,15.59,20.800,14.847,"50,870",97.34%,113.35%  (  +0.58%),24.88%,"1,150,174",5,4,4,55,Information Technology Services,
RGTI,USA,31.38,2025-11-10,41.10,4.54,83.37%,1284.38,17.677,14.543,"157,843",141.16%,120.32%  (  +2.45%),29.09%,"1,166,762",5,4,5,55,Computer Hardware,
WULF,USA,13.66,2025-11-10,49.51,1.30,114.81%,38.66,14.681,11.134,"158,682",91.65%,101.02%  (  +0.90%),11.93%,"2,341,438",9,5,5,90,Capital Markets,
