SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
PDD,USA,119.24,2025-05-27,63.66,4.25,4.58%,3.03,8.949,8.087,"97,813",31.05%,46.68%  (  -1.22%),35.97%,"1,349,911",8,4,4,79,Internet Retail,
GLNG,Bermuda,37.73,2025-05-27,45.01,1.54,-0.05%,15.16,9.336,11.132,"7,040",47.48%,50.55%  (  +4.77%),39.36%,"112,582",7,5,4,78,Oil & Gas Midstream,
BOX,USA,31.09,2025-05-27,47.07,0.57,-2.65%,4.13,9.813,9.167,532,15.72%,41.95%  (  +2.31%),83.28%,"34,420",7,4,5,75,Software - Infrastructure,
OKTA,USA,123.72,2025-05-27,63.78,3.84,36.32%,8.29,12.035,12.153,"11,173",36.72%,62.52%  (  +1.26%),69.08%,"158,509",4,4,4,75,Software - Infrastructure,
ANF,USA,73.17,2025-05-28,46.02,3.88,-39.46%,0.70,13.229,14.239,"10,785",45.78%,82.36%  (  +4.56%),80.13%,"125,219",6,4,4,85,Apparel Retail,
DKS,USA,167.22,2025-05-28,36.03,9.17,-20.85%,1.00,9.955,7.500,"11,614",63.87%,49.31%  (  +1.50%),44.35%,"108,500",10,4,4,85,Specialty Retail,
NTNX,USA,79.76,2025-05-28,63.19,2.53,21.35%,9.17,13.097,13.102,"3,552",40.49%,58.15%  (  +0.97%),75.14%,"133,265",6,5,5,90,Software - Infrastructure,
SNPS,USA,498.85,2025-05-28,59.99,13.29,0.44%,12.71,8.904,9.300,730,29.29%,41.01%  (  -0.03%),40.80%,"34,533",8,5,5,80,Software - Infrastructure,
A,USA,108.53,2025-05-28,46.53,3.51,-17.31%,4.74,7.474,9.267,"1,140",35.51%,43.04%  (  +0.33%),58.78%,"26,014",7,4,5,75,Diagnostics & Research,
NVDA,USA,131.29,2025-05-28,63.80,4.83,4.09%,24.54,9.229,7.808,"3,089,035",44.44%,50.84%  (  +1.02%),30.86%,"22,110,537",6,5,5,87,Semiconductors,
