SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
CCL,Panama,31.08,2025-09-26,53.89,0.86,24.96%,1.56,5.606,9.887,"11,390",31.13%,50.16%  (  +3.58%),33.85%,"1,365,706",10,5,5,95,Travel Services,"NCLH, 0.95(12M)
RCL, 0.94(12M)"
PEP,USA,141.68,2025-10-09,41.07,3.01,-1.80%,2.11,3.516,6.156,"5,054",20.90%,26.86%  (  +0.62%),48.41%,"509,576",8,4,4,65,Beverages - Non-Alcoholic,"KO, 0.89(6M)"
C,USA,96.99,2025-10-14,58.88,2.04,23.68%,1.05,4.159,0.000,"13,868",22.43%,27.21%  (  -0.01%),14.68%,"1,822,399",7,5,5,90,Banks - Diversified,
JNJ,USA,174.93,2025-10-14,50.55,2.31,10.84%,4.65,2.588,0.000,"6,095",12.59%,15.80%  (  +0.03%),14.85%,"459,855",9,4,4,88,Drug Manufacturers - General,"PFE, 0.83(6M)"
WFC,USA,80.40,2025-10-14,51.46,1.73,6.97%,2.09,4.646,0.000,"6,505",24.72%,25.94%  (  -0.31%),13.20%,"1,279,768",7,4,4,85,Banks - Diversified,
GS,USA,769.00,2025-10-14,64.96,15.63,23.28%,1.85,4.413,0.000,"11,314",23.52%,26.07%  (  +0.07%),13.34%,"277,806",6,4,4,85,Capital Markets,"MS, 0.96(6M)"
JPM,USA,299.47,2025-10-14,55.90,5.44,13.92%,2.95,3.907,0.000,"20,579",18.49%,22.17%  (  +0.24%),11.59%,"786,994",6,4,4,75,Banks - Diversified,"BAC, 0.85(6M)"
APLD,USA,16.63,2025-10-14,62.93,1.20,81.17%,20.18,18.065,27.327,"84,656",108.58%,104.03%  (  +10.46%),27.26%,"673,979",8,5,5,97,Information Technology Services,
MS,USA,153.54,2025-10-15,67.50,2.88,17.33%,2.24,3.773,0.000,"6,248",20.11%,24.19%  (  +0.12%),8.99%,"518,306",9,4,4,75,Capital Markets,"GS, 0.96(6M)"
BAC,USA,50.10,2025-10-15,59.44,0.88,11.80%,1.87,3.906,0.000,"20,670",21.50%,22.85%  (  +0.29%),9.40%,"2,762,791",8,5,5,85,Banks - Diversified,
ASML,USA,798.83,2025-10-15,63.41,16.98,9.91%,8.99,5.966,0.000,"3,964",28.22%,28.94%  (  -0.78%),4.61%,"184,579",10,4,5,80,Semiconductor Equipment & Materials,
ABT,USA,129.23,2025-10-15,42.00,2.15,1.10%,5.22,3.642,0.000,"4,222",16.05%,20.09%  (  -0.16%),21.51%,"193,499",9,5,5,78,Medical Devices,
FNB,USA,16.33,2025-10-15,54.95,0.33,10.49%,2.24,7.044,0.000,"1,002",24.44%,44.06%  (  -9.99%),31.87%,"9,730",8,5,5,92,Banks - Regional,
