SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
ANF,USA,77.15,2025-05-28,52.74,3.89,-36.02%,0.74,13.229,13.720,"52,721",48.15%,79.66%  (  -2.70%),74.90%,"121,400",6,4,4,85,Apparel Retail,
DKS,USA,174.22,2025-05-28,41.63,9.02,-17.50%,1.04,9.955,6.850,"37,893",64.94%,46.62%  (  -2.70%),39.16%,"103,723",10,4,4,85,Specialty Retail,
SNPS,USA,511.79,2025-05-28,65.24,13.50,3.02%,13.04,8.904,9.213,"1,680",28.69%,42.43%  (  +1.42%),42.19%,"34,707",8,5,5,80,Software - Infrastructure,
A,USA,111.26,2025-05-28,51.81,3.49,-15.16%,4.86,7.474,8.217,"2,592",35.38%,38.85%  (  -4.19%),47.98%,"26,650",7,4,5,75,Diagnostics & Research,
VEEV,USA,238.06,2025-05-28,54.63,6.16,7.37%,14.12,8.977,9.074,845,25.76%,42.92%  (  -0.88%),72.17%,"28,182",10,4,4,80,Health Information Services,
PSTG,USA,55.59,2025-05-28,65.81,2.01,1.05%,5.74,14.476,14.751,"6,589",39.89%,66.91%  (  -2.51%),70.19%,"79,457",8,5,5,78,Computer Hardware,
S,USA,20.08,2025-05-28,58.88,0.65,-11.25%,8.09,14.847,12.198,"13,788",33.65%,63.75%  (  -0.04%),59.17%,"189,573",7,5,4,78,Software - Infrastructure,
NVDA,USA,135.50,2025-05-28,68.01,4.80,7.27%,25.32,9.229,6.943,"2,138,303",44.48%,48.43%  (  -2.41%),26.64%,"20,964,851",6,5,5,87,Semiconductors,
NTNX,USA,79.00,2025-05-28,60.60,2.52,19.91%,9.09,13.097,12.532,"5,144",37.66%,56.99%  (  -1.16%),72.22%,"136,002",7,5,5,90,Software - Infrastructure,
CRM,USA,277.19,2025-05-28,49.84,7.25,-6.18%,7.02,7.799,7.541,"67,553",32.99%,43.59%  (  -3.58%),62.02%,"481,058",6,4,4,85,Software - Application,"ORCL, 0.81(12M)"
FUTU,USA,106.88,2025-05-29,55.21,5.55,18.35%,5.81,8.267,7.840,"7,941",53.45%,58.90%  (  -2.77%),28.25%,"115,455",7,5,5,88,Capital Markets,
BBWI,USA,30.54,2025-05-29,45.68,1.32,-7.30%,0.89,10.687,7.748,"7,332",50.83%,52.71%  (  -2.57%),52.19%,"114,627",5,5,5,72,Specialty Retail,
LI,USA,28.24,2025-05-29,59.11,0.84,15.71%,1.17,9.984,8.793,"6,490",33.48%,63.06%  (  +5.26%),45.27%,"277,261",5,4,4,75,Auto Manufacturers,
HRL,USA,30.20,2025-05-29,55.16,0.61,-1.63%,1.39,5.694,5.063,"1,341",19.81%,31.02%  (  -1.91%),43.42%,"40,393",4,4,4,68,Packaged Foods,
BURL,USA,240.71,2025-05-29,45.91,10.11,-7.61%,1.43,8.185,8.906,"8,822",48.51%,55.17%  (  -1.14%),77.71%,"44,597",9,5,5,70,Apparel Retail,
ESTC,Netherlands,92.85,2025-05-29,58.44,3.34,-0.88%,6.78,17.729,15.563,"2,425",37.53%,69.68%  (  -1.02%),62.61%,"25,971",8,5,4,82,Software - Application,
DELL,USA,113.99,2025-05-29,72.29,3.92,2.88%,0.82,10.210,9.123,"36,628",39.08%,56.43%  (  -0.53%),46.77%,"685,170",4,5,5,78,Computer Hardware,
ZS,USA,257.30,2025-05-29,76.74,6.86,30.12%,16.44,10.489,7.274,"11,406",24.42%,43.47%  (  -0.75%),30.58%,"249,505",5,5,5,88,Software - Infrastructure,
NTAP,USA,100.37,2025-05-29,63.97,2.56,-10.87%,3.18,9.398,8.065,"3,486",25.45%,44.05%  (  -4.58%),53.03%,"47,624",6,4,4,78,Computer Hardware,
MRVL,USA,63.82,2025-05-29,54.80,3.34,-23.22%,9.56,9.547,10.665,"105,176",54.10%,71.61%  (  -1.79%),53.16%,"854,620",5,5,5,85,Semiconductors,
GAP,USA,28.44,2025-05-29,74.05,1.07,26.60%,0.71,7.952,12.270,"14,137",40.20%,65.29%  (  -7.78%),54.51%,"208,367",10,4,4,82,Apparel Retail,
