SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
VNET,USA,7.59,2025-08-21,45.91,0.51,10.51%,1.68,22.955,23.279,"1,958",77.05%,79.63%  (  -20.92%),23.74%,"73,483",9,5,5,84,Information Technology Services,
BILI,USA,23.52,2025-08-21,50.38,0.92,18.45%,1.97,10.445,9.432,"23,980",48.17%,51.61%  (  -12.58%),9.43%,"383,891",10,4,4,88,Internet Content & Information,
WMT,USA,98.08,2025-08-21,44.15,1.84,3.96%,1.14,5.207,4.783,"237,361",21.59%,20.87%  (  -7.21%),20.32%,"1,103,633",10,5,5,88,Discount Stores,"TGT, 0.84(6M)"
INTU,USA,698.69,2025-08-21,31.48,15.28,5.23%,10.72,5.809,6.129,"4,111",25.07%,36.83%  (  -0.17%),55.77%,"110,284",7,5,5,90,Software - Application,
ROST,USA,145.79,2025-08-21,58.72,2.85,3.38%,2.24,6.710,6.098,"4,495",22.98%,33.75%  (  -0.37%),62.34%,"51,232",9,5,5,48,Apparel Retail,
WDAY,USA,225.55,2025-08-21,46.71,6.05,-9.35%,6.95,8.934,7.801,"6,431",30.47%,46.56%  (  -0.48%),66.47%,"122,951",8,4,4,85,Software - Application,
GFI,USA,30.57,2025-08-22,65.71,0.93,49.08%,5.27,2.515,0.000,"2,238",45.24%,49.35%  (  +1.10%),48.03%,"92,859",7,5,4,0,Gold,
PDD,USA,121.78,2025-08-25,67.12,3.43,11.23%,3.03,8.721,8.146,"126,508",28.24%,43.76%  (  -0.77%),29.22%,"1,440,736",5,4,5,65,Internet Retail,
MDB,USA,211.04,2025-08-26,45.79,10.53,-8.29%,8.20,13.909,16.212,"4,443",53.60%,84.06%  (  -0.57%),98.83%,"206,251",6,5,5,90,Software - Infrastructure,
ANF,USA,91.33,2025-08-27,43.21,4.23,-11.57%,0.87,13.485,13.642,"1,629",47.42%,74.45%  (  -0.03%),63.11%,"133,646",6,4,4,72,Apparel Retail,
URBN,USA,73.86,2025-08-27,45.41,2.71,26.51%,1.17,10.348,11.305,529,37.14%,61.92%  (  +1.61%),66.58%,"26,847",6,4,4,88,Apparel Retail,
NVDA,USA,175.81,2025-08-27,51.96,4.44,27.73%,28.91,8.854,7.387,"812,657",25.33%,44.87%  (  +0.37%),29.94%,"18,842,728",9,5,5,78,Semiconductors,
CRWD,USA,416.74,2025-08-27,33.52,13.50,2.73%,25.11,8.514,9.295,"7,033",26.84%,53.33%  (  -0.60%),49.38%,"388,078",4,4,4,90,Software - Infrastructure,
NTNX,USA,68.24,2025-08-27,39.52,2.00,-3.01%,7.52,13.042,13.106,578,31.41%,57.97%  (  +0.66%),75.47%,"107,364",6,5,5,85,Software - Infrastructure,
SNOW,USA,194.02,2025-08-27,39.34,6.50,9.41%,16.86,11.628,12.420,"12,392",38.97%,63.46%  (  -0.25%),73.88%,"448,787",6,5,5,80,Software - Application,
BBY,USA,72.25,2025-08-28,58.84,1.98,-5.93%,0.37,7.920,8.974,"2,203",29.67%,51.17%  (  +0.05%),52.85%,"128,357",5,4,4,70,Specialty Retail,
DG,USA,112.30,2025-08-28,50.57,2.65,24.79%,0.60,9.642,8.635,"2,246",24.55%,44.97%  (  +2.52%),45.87%,"170,810",4,4,4,76,Discount Stores,
DKS,USA,221.49,2025-08-28,57.02,5.59,6.83%,1.30,9.418,8.065,500,29.53%,45.87%  (  +0.89%),35.69%,"91,069",9,4,4,82,Specialty Retail,
BURL,USA,274.81,2025-08-28,52.06,7.23,6.37%,1.61,8.365,8.998,983,29.07%,47.34%  (  +0.30%),55.83%,"35,441",10,5,5,82,Apparel Retail,
ADSK,USA,286.33,2025-08-28,42.20,5.79,-1.38%,9.69,6.319,6.026,761,26.44%,36.29%  (  +0.31%),47.02%,"45,866",7,5,4,80,Software - Application,
MRVL,USA,71.28,2025-08-28,40.54,3.04,-14.15%,9.46,9.933,11.655,"15,977",42.95%,66.25%  (  -0.72%),44.47%,"1,144,825",9,5,5,85,Semiconductors,
S,USA,16.63,2025-08-28,42.04,0.65,-19.79%,6.39,13.784,11.214,"2,419",49.92%,62.14%  (  +0.60%),56.04%,"271,283",6,4,4,78,Software - Infrastructure,
