SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
CNC,USA,0,2025-04-25,,,,,5.655,6.090,"9,395",32.38%,42.49%  (  -1.88%),63.60%,"68,629",10,4,4,80
HCA,USA,0,2025-04-25,,,,,8.224,8.736,"5,041",30.15%,41.10%  (  -2.20%),70.03%,"39,447",9,4,4,75
SLB,,0,2025-04-25,,,,,3.361,3.793,"51,648",66.46%,40.59%  (  -1.29%),45.76%,"714,438",6,5,4,85
ABBV,USA,0,2025-04-25,,,,,4.162,4.798,"63,045",36.66%,35.08%  (  -0.80%),53.63%,"383,193",9,4,5,75
PSX,USA,0,2025-04-25,,,,,3.081,3.257,"4,490",65.53%,42.07%  (  -5.09%),42.48%,"192,760",9,4,4,70
CL,USA,0,2025-04-25,,,,,3.250,3.553,"11,664",25.86%,25.54%  (  +0.40%),52.16%,"90,655",9,4,4,85
AON,Ireland,0,2025-04-25,,,,,5.435,6.109,"1,429",28.44%,28.13%  (  -0.61%),51.64%,"10,583",10,4,4,85
AVTR,USA,0,2025-04-25,,,,,8.377,13.231,"2,820",51.83%,57.00%  (  -6.42%),78.00%,"26,183",8,5,5,70
RITM,USA,0,2025-04-25,,,,,5.628,7.933,"2,198",42.90%,32.47%  (  -1.87%),56.68%,"102,741",6,5,5,80
WM,USA,0,2025-04-28,,,,,4.143,5.254,673,23.53%,24.10%  (  -0.67%),57.86%,"33,379",8,4,4,88
RMBS,USA,0,2025-04-28,,,,,12.896,13.372,584,91.37%,64.54%  (  -4.40%),50.11%,"14,339",6,5,5,85
TER,USA,0,2025-04-28,,,,,10.612,12.354,"2,691",78.61%,58.86%  (  -0.99%),56.27%,"98,332",9,4,4,75
CDNS,USA,0,2025-04-28,,,,,8.015,9.050,"5,540",56.96%,43.13%  (  -3.39%),44.63%,"41,998",9,5,5,81
NXPI,Netherlands,0,2025-04-28,,,,,6.447,8.130,"4,491",86.43%,51.20%  (  -3.78%),45.70%,"41,896",7,5,5,60
WELL,USA,0,2025-04-28,,,,,5.442,5.888,"2,115",30.08%,29.55%  (  +1.43%),47.32%,"34,134",8,5,5,90
NUE,USA,0,2025-04-28,,,,,5.085,6.527,"3,447",61.24%,46.50%  (  -4.12%),50.93%,"122,101",9,4,4,78
THC,USA,0,2025-04-29,,,,,9.405,12.114,"4,224",61.64%,56.92%  (  -6.48%),74.93%,"32,601",6,5,5,80
PFE,USA,0,2025-04-29,,,,,4.412,4.609,"91,027",30.22%,32.00%  (  -1.93%),40.69%,"3,302,827",10,4,4,85
VRNA,USA,0,2025-04-29,,,,,15.457,13.978,"4,497",63.84%,68.30%  (  -12.91%),14.43%,"53,348",6,5,4,70
FOUR,USA,0,2025-04-29,,,,,12.555,13.515,618,63.42%,64.27%  (  -1.08%),59.81%,"24,787",8,4,4,90
PYPL,USA,0,2025-04-29,,,,,8.805,9.041,"93,851",54.56%,47.78%  (  +1.23%),47.38%,"1,253,589",4,4,4,85
AZN,USA,0,2025-04-29,,,,,4.852,5.068,"2,797",33.27%,32.39%  (  -0.55%),52.70%,"142,105",9,5,4,80
EPD,USA,0,2025-04-29,,,,,2.366,3.689,"22,588",34.65%,22.93%  (  -2.52%),47.66%,"252,325",9,5,5,75
AMT,USA,0,2025-04-29,,,,,5.885,6.093,"1,625",31.24%,30.58%  (  +0.66%),50.09%,"53,165",8,5,5,76
KO,USA,0,2025-04-29,,,,,2.437,3.489,"67,687",23.18%,23.00%  (  -1.36%),61.53%,"795,158",8,5,5,80
SPGI,USA,0,2025-04-29,,,,,4.047,4.837,"1,093",42.28%,30.21%  (  -1.15%),47.19%,"30,797",7,5,5,85
PCAR,USA,0,2025-04-29,,,,,7.180,8.037,"2,711",43.77%,37.17%  (  -2.13%),57.02%,"30,033",5,4,4,80
ARCC,USA,0,2025-04-29,,,,,3.512,5.688,"12,033",45.13%,26.65%  (  -2.35%),43.45%,"141,020",8,5,5,79
SPOT,Luxembourg,0,2025-04-29,,,,,10.172,11.280,"13,754",60.94%,61.68%  (  -2.29%),61.18%,"112,609",10,4,4,88
RCL,Liberia,0,2025-04-29,,,,,5.936,8.271,"4,041",75.55%,50.59%  (  -1.93%),45.52%,"162,080",5,5,5,90
OMF,USA,0,2025-04-29,,,,,8.163,10.013,750,70.91%,47.13%  (  +0.69%),50.18%,"46,552",6,4,5,65
OPCH,USA,0,2025-04-29,,,,,10.043,10.721,511,30.38%,55.13%  (  -0.10%),74.46%,"12,352",5,5,4,78
HON,USA,0,2025-04-29,,,,,3.551,4.956,"3,619",42.08%,30.34%  (  -0.68%),45.51%,"183,579",4,4,4,80
GLW,USA,0,2025-04-29,,,,,5.648,6.456,"3,894",54.05%,39.84%  (  -2.77%),55.29%,"274,090",8,5,5,85
CZR,USA,0,2025-04-29,,,,,6.864,8.671,"11,651",74.74%,59.45%  (  -1.72%),48.50%,"235,760",8,5,5,65
CSGP,USA,0,2025-04-29,,,,,8.909,9.662,"2,141",43.64%,44.71%  (  -1.86%),67.50%,"78,322",9,4,4,90
MDLZ,USA,0,2025-04-29,,,,,3.438,4.540,"3,546",24.49%,29.84%  (  +4.73%),71.32%,"118,818",9,4,4,80
EXE,USA,0,2025-04-29,,,,,4.089,6.423,"1,340",41.52%,31.32%  (  -2.18%),49.09%,"201,802",10,5,5,65
FSLR,USA,0,2025-04-29,,,,,7.950,9.987,"24,358",62.38%,64.53%  (  unch),56.27%,"506,983",10,5,5,75
PPG,USA,0,2025-04-29,,,,,3.979,4.490,622,50.31%,31.55%  (  -5.79%),47.11%,"35,848",10,4,4,78
V,USA,0,2025-04-29,,,,,3.366,5.019,"19,434",39.97%,29.63%  (  -2.61%),45.28%,"309,983",8,5,5,85
SBUX,USA,0,2025-04-29,,,,,6.520,8.196,"18,732",56.69%,47.04%  (  -2.88%),58.41%,"576,931",9,4,4,60
FRSH,USA,0,2025-04-29,,,,,14.502,16.496,"7,603",63.06%,68.70%  (  -0.46%),55.88%,"28,865",8,4,4,80
STX,Ireland,0,2025-04-29,,,,,7.174,8.549,"8,650",75.07%,51.73%  (  -5.65%),44.53%,"149,484",4,5,5,80
OKE,USA,0,2025-04-29,,,,,9.090,7.333,"1,346",59.14%,37.18%  (  -2.04%),42.04%,"101,592",7,4,4,85
BBIO,USA,0,2025-04-29,,,,,8.150,14.552,779,54.89%,60.82%  (  +0.80%),18.46%,"90,809",9,5,5,0
UPS,USA,0,2025-04-29,,,,,6.095,7.638,"22,922",45.48%,42.57%  (  -3.08%),49.20%,"356,030",7,4,4,78
SMG,USA,0,2025-04-30,,,,,10.265,13.994,"4,256",56.32%,65.04%  (  +2.22%),68.99%,"38,287",4,5,4,65
GTES,UK,0,2025-04-30,,,,,7.436,9.901,"2,016",70.21%,46.47%  (  -12.12%),46.64%,"26,229",6,5,5,78
WDC,USA,0,2025-04-30,,,,,5.834,9.100,"18,012",87.01%,56.38%  (  -3.16%),54.29%,"331,912",10,5,5,68
XPO,USA,0,2025-04-30,,,,,11.486,12.871,795,76.81%,60.73%  (  -4.99%),44.69%,"20,067",7,5,5,80
NCLH,Bermuda,0,2025-04-30,,,,,8.334,10.058,"11,208",84.58%,65.05%  (  -7.22%),46.96%,"487,133",10,4,4,78
YUMC,USA,0,2025-04-30,,,,,9.275,10.336,550,52.84%,49.13%  (  +3.94%),51.51%,"52,771",7,5,5,90
WGS,USA,0,2025-04-30,,,,,24.432,19.389,"4,643",80.25%,107.78%  (  +0.32%),43.60%,"18,030",7,4,4,75
HUM,USA,0,2025-04-30,,,,,6.711,12.495,"2,197",52.14%,64.31%  (  -5.59%),56.95%,"153,462",7,4,4,68
IP,USA,0,2025-04-30,,,,,4.634,6.559,588,54.82%,43.65%  (  +2.72%),49.20%,"70,756",9,4,4,75
PSN,USA,0,2025-04-30,,,,,7.832,12.744,564,36.69%,54.51%  (  -0.30%),72.97%,"19,661",7,5,5,85
GEHC,USA,0,2025-04-30,,,,,6.499,7.641,"8,474",71.31%,44.52%  (  +2.85%),49.84%,"114,846",9,5,5,70
AER,Netherlands,0,2025-04-30,,,,,6.045,7.367,874,48.57%,32.25%  (  -2.44%),39.28%,"20,394",7,5,5,80
WAY,USA,0,2025-04-30,,,,,10.295,14.284,"12,465",42.15%,66.67%  (  -5.12%),83.29%,"15,134",5,5,5,80
HOOD,USA,0,2025-04-30,,,,,12.871,14.018,"334,208",106.86%,84.92%  (  -1.79%),56.17%,"1,977,700",8,4,4,80
CFLT,USA,0,2025-04-30,,,,,19.345,19.884,"3,798",75.79%,90.87%  (  -6.13%),71.94%,"216,821",4,4,4,78
FTAI,Cayman Islands,0,2025-04-30,,,,,10.248,11.180,"2,397",100.37%,77.05%  (  +1.68%),48.98%,"84,422",4,5,5,75
GH,USA,0,2025-04-30,,,,,12.709,15.846,540,61.90%,76.90%  (  -1.37%),53.59%,"36,111",8,5,5,78
MGM,USA,0,2025-04-30,,,,,6.554,9.066,"14,260",65.67%,50.15%  (  -1.21%),47.79%,"210,234",9,5,5,75
QCOM,USA,0,2025-04-30,,,,,7.159,7.456,"39,595",66.00%,45.68%  (  -3.14%),44.61%,"516,753",9,4,4,85
NLY,USA,0,2025-04-30,,,,,2.212,3.621,"4,425",39.90%,27.53%  (  -7.22%),35.18%,"142,416",9,5,5,65
META,USA,0,2025-04-30,,,,,8.394,9.327,"334,346",65.56%,51.46%  (  -0.92%),60.90%,"2,070,256",9,5,5,85
AR,USA,0,2025-04-30,,,,,5.087,7.961,"3,494",72.58%,54.46%  (  +1.53%),48.85%,"200,835",7,4,4,80
MET,USA,0,2025-04-30,,,,,3.572,7.616,876,56.32%,35.70%  (  -2.22%),49.63%,"175,465",9,5,5,80
KLAC,USA,0,2025-04-30,,,,,6.933,9.125,"1,064",71.88%,45.68%  (  -2.68%),38.58%,"19,937",8,4,4,80
MSFT,USA,0,2025-04-30,,,,,4.911,5.416,"240,973",40.08%,32.81%  (  -2.38%),48.57%,"1,958,480",9,5,5,84
