SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
DAL,USA,57.26,2025-10-09,44.99,1.69,5.09%,,7.592,7.521,"80,326",27.29%,48.01%  (  -2.60%),29.03%,"864,150",5,5,5,85,Airlines,"UAL, 0.94(6M)"
PEP,USA,141.98,2025-10-09,47.84,2.20,-0.48%,,3.516,4.368,"26,291",16.59%,27.21%  (  -0.15%),49.84%,"459,955",7,4,4,80,Beverages - Non-Alcoholic,"KO, 0.89(6M)"
APLD,USA,26.53,2025-10-09,76.92,1.79,159.03%,,18.065,20.355,"131,793",81.50%,130.76%  (  -11.97%),56.63%,"774,390",7,5,5,85,Information Technology Services,
LEVI,USA,24.45,2025-10-09,74.36,0.55,32.23%,,11.735,10.041,"2,436",22.46%,47.37%  (  +0.93%),35.87%,"73,871",9,5,5,92,Apparel Manufacturing,
PGR,USA,245.70,2025-10-09,51.82,3.99,-5.13%,,0.959,5.457,"1,256",14.23%,28.27%  (  +0.76%),25.66%,"46,260",5,4,4,88,Insurance - Property & Casualty,
JPM,USA,310.03,2025-10-14,55.02,5.16,15.46%,,3.907,4.771,"239,249",15.72%,27.21%  (  +0.24%),23.99%,"778,205",7,4,4,80,Banks - Diversified,"BAC, 0.85(6M)"
C,USA,97.74,2025-10-14,44.92,2.15,20.70%,,4.159,5.682,"71,404",19.59%,33.34%  (  +0.38%),27.71%,"1,595,846",8,4,5,85,Banks - Diversified,
JNJ,USA,188.64,2025-10-14,75.36,2.67,17.77%,,2.588,3.746,"44,460",13.88%,20.40%  (  +0.24%),35.10%,"431,983",7,4,4,88,Drug Manufacturers - General,"PFE, 0.83(6M)"
ACI,USA,17.38,2025-10-14,28.34,0.32,-15.41%,,5.341,6.196,"18,352",15.76%,35.45%  (  +0.40%),18.78%,"97,600",5,4,4,60,Grocery Stores,
GS,USA,789.98,2025-10-14,56.69,15.80,23.34%,,4.413,5.653,"27,339",20.58%,32.59%  (  +1.27%),27.34%,"290,085",9,4,4,85,Capital Markets,"MS, 0.96(6M)"
WFC,USA,80.67,2025-10-14,43.33,1.70,6.26%,,4.646,5.472,"33,966",21.31%,31.74%  (  +0.09%),27.25%,"1,187,294",8,4,4,80,Banks - Diversified,
ASML,USA,1032.22,2025-10-15,84.85,22.49,38.21%,,5.966,8.838,"19,788",32.50%,46.36%  (  +1.52%),41.90%,"191,381",10,4,5,82,Semiconductor Equipment & Materials,
CFG,USA,53.82,2025-10-15,63.46,1.06,20.35%,,4.259,5.406,"1,323",20.58%,30.30%  (  +0.15%),17.39%,"49,053",9,5,5,80,Banks - Regional,
PLD,USA,117.06,2025-10-15,63.85,2.08,6.48%,,4.465,5.152,"4,287",19.82%,27.43%  (  +0.53%),15.16%,"65,644",4,4,4,80,REIT - Industrial,
SYF,USA,71.23,2025-10-15,40.39,1.92,11.74%,,8.318,7.804,539,22.83%,41.09%  (  -0.81%),26.98%,"51,403",5,4,4,77,Credit Services,
MS,USA,157.59,2025-10-15,56.38,3.02,18.29%,,3.773,5.290,"14,558",17.23%,31.37%  (  +0.05%),22.70%,"507,971",8,4,4,85,Capital Markets,"GS, 0.96(6M)"
BAC,USA,50.64,2025-10-15,49.40,0.87,12.00%,,3.906,4.923,"93,182",15.74%,28.77%  (  +0.45%),23.39%,"2,657,390",8,5,5,80,Banks - Diversified,
PNC,USA,198.46,2025-10-15,42.77,3.40,6.68%,,3.823,4.637,"1,707",17.42%,26.11%  (  -0.18%),20.14%,"39,896",9,4,4,78,Banks - Regional,
SNV,USA,48.68,2025-10-15,40.15,1.18,-2.03%,,4.543,6.729,514,21.69%,46.98%  (  -0.75%),42.08%,"18,960",10,4,4,78,Banks - Regional,
UAL,USA,95.33,2025-10-15,37.74,3.26,7.45%,,8.326,9.797,"17,083",29.39%,53.38%  (  -0.93%),22.72%,"479,966",5,5,5,88,Airlines,"DAL, 0.94(6M)
RCL, 0.94(12M)"
EFX,USA,236.67,2025-10-15,37.53,8.34,-6.31%,,8.273,5.554,729,41.26%,38.98%  (  -2.42%),44.58%,"7,807",6,5,5,70,Consulting Services,
PPG,USA,104.43,2025-10-15,37.85,2.07,-6.65%,,3.792,4.732,"1,572",19.10%,31.62%  (  +2.16%),46.18%,"27,944",7,4,4,75,Specialty Chemicals,
LVS,USA,50.97,2025-10-15,38.87,1.49,11.32%,,5.661,8.816,"45,409",33.25%,46.81%  (  +5.28%),38.95%,"273,260",7,4,4,80,Resorts & Casinos,
KMI,USA,28.46,2025-10-15,66.74,0.49,3.58%,,3.583,3.675,"35,671",12.95%,26.67%  (  +0.61%),22.20%,"354,198",10,4,4,85,Oil & Gas Midstream,
CCI,USA,95.45,2025-10-15,45.90,1.88,-2.85%,,5.056,4.232,"1,524",18.45%,27.67%  (  +0.82%),28.28%,"45,550",6,5,4,70,REIT - Specialty,
SCHW,USA,94.08,2025-10-16,49.48,1.95,10.18%,,5.246,6.065,"11,289",26.71%,31.16%  (  -1.09%),29.55%,"445,837",6,5,5,85,Capital Markets,"AMTD, 0.84(6M)"
BK,USA,106.60,2025-10-16,50.81,1.88,18.40%,,4.539,5.495,"1,769",14.22%,30.49%  (  -0.19%),32.50%,"71,233",7,4,4,88,Banks - Diversified,"STT, 0.83(6M)"
USB,USA,48.07,2025-10-16,45.44,0.85,5.87%,,3.787,4.814,"3,990",19.45%,28.09%  (  +0.94%),20.55%,"219,331",6,4,4,85,Banks - Regional,
KEY,USA,18.63,2025-10-16,47.08,0.39,9.28%,,4.056,5.268,"7,167",19.75%,30.77%  (  -0.53%),17.46%,"209,380",5,4,4,85,Banks - Regional,
FNB,USA,16.25,2025-10-16,52.65,0.31,10.20%,,7.044,8.740,860,19.78%,36.42%  (  +1.74%),22.72%,"11,210",9,5,5,80,Banks - Regional,
IBKR,USA,70.36,2025-10-16,69.32,2.13,32.25%,,6.111,7.560,"10,757",32.26%,44.21%  (  -0.30%),33.57%,"231,180",10,5,5,88,Capital Markets,
CSX,USA,36.01,2025-10-16,66.39,0.79,12.20%,,3.824,4.786,"11,222",29.40%,25.74%  (  -1.30%),27.07%,"439,250",9,5,5,70,Railroads,
TSM,USA,292.19,2025-10-16,75.44,7.72,39.56%,,3.853,7.401,"151,667",26.46%,43.11%  (  +0.92%),31.36%,"1,744,889",10,5,5,82,Semiconductors,
ALK,USA,49.19,2025-10-16,27.61,1.93,-13.51%,,8.119,15.155,"2,949",40.01%,51.88%  (  +0.17%),36.61%,"110,208",4,5,5,75,Airlines,
FCX,USA,39.67,2025-10-16,42.77,1.71,-0.32%,,3.387,9.880,"183,262",66.39%,44.34%  (  -0.54%),30.11%,"1,549,729",8,4,5,90,Copper,
SLB,,34.26,2025-10-17,45.54,1.00,-6.86%,,3.469,6.199,"18,602",28.76%,37.56%  (  +0.70%),33.49%,"771,644",8,5,5,80,Oil & Gas Equipment & Services,
AXP,USA,330.24,2025-10-17,50.10,6.66,10.42%,,4.314,5.562,"9,461",21.69%,31.55%  (  -0.37%),25.03%,"255,142",5,4,4,88,Credit Services,"COF, 0.82(6M)"
