SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
BTDR,Cayman Islands,14.36,2025-08-18,58.64,0.97,5.29%,7.92,13.879,13.606,"18,379",61.36%,84.48%  (  -14.17%),16.81%,"211,462",8,5,5,50,Software - Application,
PANW,USA,176.17,2025-08-18,43.31,5.76,-5.96%,13.25,8.412,8.240,"280,378",41.21%,45.47%  (  +1.28%),57.74%,"791,331",9,5,5,88,Software - Infrastructure,
XP,Cayman Islands,17.50,2025-08-18,51.37,0.42,11.21%,2.92,6.905,7.979,"10,501",29.75%,42.00%  (  -4.99%),18.21%,"67,100",7,5,4,80,Capital Markets,
MDT,Ireland,92.81,2025-08-19,60.05,1.38,6.36%,3.55,3.905,5.723,"107,815",14.13%,28.93%  (  +5.04%),55.28%,"172,927",6,4,4,90,Medical Devices,
VIK,Bermuda,60.20,2025-08-19,64.59,1.36,27.78%,4.84,11.424,10.705,"15,293",19.65%,46.26%  (  +6.02%),38.89%,"11,653",6,4,4,78,Travel Services,
HD,USA,394.70,2025-08-19,61.51,7.21,3.08%,2.41,4.248,3.777,"73,482",19.98%,24.45%  (  -0.28%),22.92%,"197,644",5,5,5,71,Home Improvement Retail,"LOW, 0.91(6M)"
XPEV,USA,19.90,2025-08-19,55.83,0.72,14.25%,2.23,10.325,9.289,"80,526",37.14%,65.46%  (  +3.27%),21.18%,"427,356",7,4,4,70,Auto Manufacturers,
AS,Cayman Islands,37.50,2025-08-19,48.39,1.43,24.46%,3.81,14.125,14.372,"56,670",37.18%,64.55%  (  +1.73%),63.43%,"22,292",10,5,5,85,Leisure,
ZTO,USA,20.21,2025-08-19,57.03,0.52,5.13%,1.92,9.505,9.960,"1,010",39.31%,43.25%  (  +3.35%),49.90%,"33,760",6,5,4,0,Integrated Freight & Logistics,
SOC,USA,28.80,2025-08-19,52.97,1.82,18.07%,-,1.571,0.000,"9,316",94.04%,98.29%  (  +0.78%),59.15%,"287,103",4,5,5,,Oil & Gas Drilling,
ADI,USA,231.55,2025-08-20,51.72,5.20,6.67%,11.70,5.034,4.949,"9,972",21.83%,33.05%  (  -0.67%),19.34%,"78,780",8,4,5,78,Semiconductors,
LOW,USA,250.89,2025-08-20,68.58,5.13,4.41%,1.69,4.036,4.209,"9,431",24.91%,27.39%  (  -0.17%),26.83%,"118,419",5,4,4,75,Home Improvement Retail,"HD, 0.91(6M)"
FUTU,USA,172.92,2025-08-20,66.05,7.31,60.61%,9.68,8.017,7.219,"11,339",57.60%,57.39%  (  -2.90%),26.03%,"170,907",9,5,5,85,Capital Markets,
