SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
PVH,USA,64.37,2025-03-31,33.26,2.76,0.41,10.959,13.122,613,38.12%,61.02%  (  +2.05%),88.39%,"12,574",4,4,4,80
LEVI,USA,15.62,2025-04-07,37.03,0.55,0.97,7.756,10.703,554,35.17%,50.05%  (  +1.39%),82.78%,"39,149",8,4,4,78
DAL,USA,43.83,2025-04-09,29.63,2.41,0.46,6.093,9.853,"42,044",53.20%,53.16%  (  +3.36%),70.27%,"732,721",6,5,5,85
KMX,USA,75.33,2025-04-10,47.33,2.57,0.45,10.025,10.404,"2,163",30.29%,48.64%  (  +2.30%),74.70%,"57,013",4,4,4,75
BK,USA,82.70,2025-04-11,43.93,1.90,1.49,4.484,5.946,946,24.27%,30.50%  (  -1.25%),70.83%,"63,832",7,4,4,88
JPM,USA,241.57,2025-04-11,43.94,6.24,2.39,3.236,5.531,"54,956",29.67%,30.52%  (  +4.14%),66.69%,"706,212",9,4,5,90
WFC,USA,70.35,2025-04-11,40.02,2.10,1.82,4.088,6.890,"56,786",33.33%,36.57%  (  +1.37%),66.56%,"1,105,836",7,4,4,85
MTB,USA,174.99,2025-04-14,37.91,4.35,2.15,4.436,6.857,196,23.61%,33.84%  (  +0.88%),79.23%,"9,427",5,4,4,70
GS,USA,539.60,2025-04-21,36.97,18.56,1.33,3.705,8.003,"29,393",36.30%,36.40%  (  +3.45%),79.11%,"259,777",6,4,4,85
PNC,USA,171.42,2025-04-15,33.94,3.96,2.00,3.861,5.915,"2,359",23.65%,28.33%  (  +0.19%),66.24%,"40,778",8,4,4,80
BAC,USA,41.08,2025-04-15,38.58,1.10,1.57,3.660,6.850,"207,593",31.63%,33.66%  (  +3.46%),86.57%,"2,473,925",6,5,5,80
C,USA,69.93,2025-04-15,39.39,2.18,0.77,3.596,7.523,"81,216",34.51%,36.78%  (  +2.85%),72.86%,"1,705,940",5,5,5,80
IBKR,USA,163.77,2025-04-15,34.42,8.25,7.37,4.558,9.197,"2,997",56.65%,46.98%  (  +2.92%),67.79%,"52,196",8,5,5,90
FHN,USA,19.10,2025-04-16,42.33,0.58,1.96,5.189,7.968,25,34.94%,38.95%  (  +1.08%),74.23%,"35,532",4,4,4,70
AA,USA,30.65,2025-04-16,36.67,1.53,0.65,4.278,11.162,"26,858",50.19%,55.99%  (  +2.67%),77.58%,"232,186",4,4,5,73
HOMB,USA,28.09,2025-04-16,41.78,0.61,3.81,8.284,8.728,3,20.42%,40.98%  (  +1.12%),54.93%,606,7,4,4,80
CSX,USA,29.28,2025-04-16,34.83,0.60,3.81,3.550,5.476,"2,421",22.73%,26.81%  (  +1.76%),43.40%,"135,924",10,4,4,65
FNB,USA,13.31,2025-04-16,35.85,0.35,1.85,4.130,12.486,1,26.47%,60.81%  (  +1.35%),52.64%,"4,342",6,5,5,87
REXR,USA,39.41,2025-04-16,45.07,1.03,9.63,3.774,6.111,"1,997",22.94%,29.71%  (  -5.02%),45.34%,"10,592",8,4,4,76
SNV,USA,46.05,2025-04-16,38.34,1.57,1.89,3.398,7.958,72,35.48%,41.02%  (  +1.09%),69.42%,"10,676",7,4,4,75
EFX,USA,240.74,2025-04-16,45.08,5.98,5.29,5.463,6.775,82,24.17%,34.19%  (  +1.25%),59.27%,"5,783",5,5,5,70
ASML,USA,675.40,2025-04-16,38.15,20.90,8.70,6.032,9.333,"14,522",40.40%,45.56%  (  +3.41%),71.07%,"146,534",7,4,4,82
LVS,USA,38.69,2025-04-16,27.44,1.34,2.45,4.343,7.083,"4,356",29.90%,41.32%  (  +2.06%),86.31%,"251,150",7,4,5,80
FR,USA,53.48,2025-04-16,38.99,1.05,10.86,4.301,6.785,1,18.86%,36.75%  (  -2.25%),68.32%,179,6,4,4,85
STT,USA,88.61,2025-04-17,39.46,2.35,1.21,5.230,6.849,307,28.91%,33.15%  (  +1.74%),76.95%,"32,611",5,4,4,85
KEY,USA,15.70,2025-04-17,39.93,0.50,1.89,4.626,8.264,"3,662",30.78%,36.68%  (  +2.07%),55.60%,"165,307",8,4,4,70
AXP,USA,264.63,2025-04-17,37.75,7.66,2.50,4.644,7.230,"14,499",31.52%,35.86%  (  +3.15%),85.29%,"225,289",5,4,4,85
HBAN,USA,14.77,2025-04-18,38.52,0.40,1.82,3.546,9.125,502,26.50%,32.49%  (  +1.51%),64.38%,"70,579",5,4,4,80
RF,USA,21.35,2025-04-17,37.14,0.58,2.07,4.331,6.546,332,24.70%,32.92%  (  +1.77%),62.71%,"105,879",6,4,4,78
FCX,USA,38.85,2025-04-22,49.22,1.63,2.22,3.841,10.245,"45,937",50.34%,46.63%  (  +1.98%),80.86%,"1,287,725",6,4,4,78
KNX,USA,43.67,2025-04-23,28.93,1.39,0.95,7.766,11.629,121,25.87%,37.00%  (  +1.50%),68.26%,"26,453",7,4,4,70
