SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
BJ,USA,97.11,2025-08-22,32.09,3.05,-7.48%,0.62,9.161,9.782,"15,296",34.42%,26.81%  (  -16.17%),25.54%,"36,949",6,4,4,88,Discount Stores,
GFI,USA,31.12,2025-08-22,68.14,1.00,51.22%,5.36,2.515,0.000,"2,944",45.34%,42.92%  (  -7.55%),23.84%,"96,217",7,5,4,0,Gold,
PDD,USA,127.11,2025-08-25,73.58,3.69,16.06%,3.16,8.721,8.434,"571,749",30.12%,44.42%  (  +0.34%),30.71%,"1,573,525",5,4,5,65,Internet Retail,
SMTC,USA,51.09,2025-08-25,53.64,2.47,8.82%,4.64,17.553,18.774,"2,879",47.77%,79.13%  (  +0.87%),49.71%,"32,387",8,5,5,75,Semiconductors,
MDB,USA,219.06,2025-08-26,50.65,10.59,-4.69%,8.50,13.909,16.395,"20,491",53.42%,82.26%  (  -2.20%),95.12%,"213,290",6,5,5,85,Software - Infrastructure,
NCNO,USA,29.08,2025-08-26,57.84,0.83,-4.34%,6.06,13.184,12.554,"1,410",36.81%,52.80%  (  -1.36%),65.84%,"5,803",4,4,4,70,Software - Application,
PVH,USA,79.87,2025-08-26,64.72,2.25,-2.62%,0.44,11.696,12.319,"1,390",33.45%,52.13%  (  -1.97%),49.66%,"31,423",8,4,4,68,Apparel Manufacturing,
ANF,USA,98.46,2025-08-27,55.12,4.50,-4.53%,0.93,13.485,14.876,"11,122",50.03%,73.06%  (  -1.77%),60.30%,"136,094",6,4,4,72,Apparel Retail,
NTAP,USA,110.52,2025-08-27,62.82,2.21,3.18%,3.36,9.286,8.009,"3,677",22.47%,41.41%  (  -1.59%),44.22%,"37,684",4,4,4,88,Software - Infrastructure,
VEEV,USA,290.86,2025-08-27,60.28,6.58,19.14%,16.65,9.051,9.436,"1,059",21.55%,40.44%  (  -1.74%),63.54%,"29,952",8,4,4,80,Health Information Services,
URBN,USA,76.98,2025-08-27,53.63,2.76,31.39%,1.22,10.348,11.569,"1,957",38.79%,59.92%  (  -1.16%),62.43%,"27,480",6,4,4,88,Apparel Retail,
FIVE,USA,141.81,2025-08-27,59.69,4.47,39.04%,1.93,14.080,13.030,"9,539",32.61%,56.64%  (  -1.08%),26.66%,"47,879",9,4,4,88,Specialty Retail,
NVDA,USA,177.99,2025-08-27,55.63,4.66,29.11%,29.24,8.854,7.055,"3,377,107",25.70%,43.66%  (  -1.23%),27.20%,"19,075,293",9,5,5,78,Semiconductors,
CRWD,USA,420.55,2025-08-27,37.38,13.35,3.52%,25.34,8.514,8.597,"51,052",27.32%,49.92%  (  -3.69%),41.21%,"391,775",4,4,4,90,Software - Infrastructure,
NTNX,USA,68.79,2025-08-27,41.83,2.00,-2.27%,7.58,13.042,12.788,"2,575",31.54%,59.08%  (  +2.03%),78.27%,"107,810",6,5,5,85,Software - Infrastructure,
A,USA,121.63,2025-08-27,58.66,2.74,-2.20%,5.21,7.945,7.556,549,33.34%,32.79%  (  -1.96%),32.37%,"25,398",7,4,4,75,Diagnostics & Research,
PSTG,USA,58.33,2025-08-27,53.56,1.89,4.42%,5.86,14.707,15.487,"1,682",42.76%,63.35%  (  -0.71%),61.90%,"64,665",8,5,5,88,Computer Hardware,
SNOW,USA,196.81,2025-08-27,42.69,6.49,10.72%,17.10,11.628,11.640,"54,009",38.96%,60.81%  (  -1.88%),68.12%,"455,399",6,5,5,80,Software - Application,
TCOM,USA,64.92,2025-08-27,59.23,1.66,2.02%,5.54,11.305,9.418,"1,943",32.28%,40.93%  (  +0.46%),32.20%,"65,268",4,5,5,80,Travel Services,
BBWI,USA,31.09,2025-08-28,57.46,1.08,-4.67%,0.90,9.885,10.003,"8,336",40.05%,55.21%  (  -2.08%),54.12%,"235,506",4,5,5,70,Specialty Retail,
BBY,USA,75.39,2025-08-28,66.51,2.09,-1.75%,0.38,7.920,9.119,"19,391",30.88%,49.57%  (  -1.25%),49.83%,"135,977",5,4,4,70,Specialty Retail,
DG,USA,112.40,2025-08-28,50.81,2.63,24.68%,0.60,9.642,8.215,"6,172",24.21%,43.36%  (  -1.33%),42.42%,"171,351",5,4,4,76,Discount Stores,
DKS,USA,227.63,2025-08-28,63.05,5.61,9.70%,1.34,9.418,7.568,"4,062",29.08%,44.54%  (  -1.30%),33.04%,"95,074",9,4,4,82,Specialty Retail,
BURL,USA,280.84,2025-08-28,57.54,7.25,8.62%,1.64,8.365,8.676,"2,732",29.06%,46.43%  (  -2.46%),53.39%,"37,347",10,5,5,70,Apparel Retail,
HRL,USA,29.25,2025-08-28,55.35,0.50,-2.84%,1.35,5.410,4.888,"1,768",19.24%,27.26%  (  -1.22%),34.19%,"46,226",9,4,4,72,Packaged Foods,
S,USA,16.96,2025-08-28,45.71,0.64,-18.02%,6.53,13.784,10.604,"11,531",49.27%,60.22%  (  -1.73%),51.96%,"271,670",6,4,4,78,Software - Infrastructure,
IREN,Australia,21.43,2025-08-28,67.55,1.62,92.23%,14.06,12.019,18.068,"178,290",73.57%,108.78%  (  -4.07%),48.65%,"1,765,770",9,4,4,82,Capital Markets,
DELL,USA,130.84,2025-08-28,48.70,4.21,15.20%,0.92,8.993,9.174,"29,818",37.40%,51.01%  (  -3.19%),36.41%,"603,879",6,4,4,85,Computer Hardware,
ADSK,USA,290.23,2025-08-28,46.91,5.82,-0.05%,9.82,6.319,6.324,"1,062",26.07%,35.47%  (  -1.06%),44.48%,"46,205",6,5,4,80,Software - Application,
AFRM,USA,79.49,2025-08-28,62.30,3.78,32.62%,8.53,14.471,15.536,"144,019",57.37%,80.19%  (  -0.31%),36.74%,"478,226",10,4,5,75,Software - Infrastructure,
MRVL,USA,73.00,2025-08-28,45.42,3.13,-12.02%,9.68,9.933,10.668,"102,516",43.49%,64.88%  (  -2.25%),42.44%,"1,166,651",9,5,5,85,Semiconductors,
BABA,USA,122.94,2025-08-29,56.25,3.30,11.17%,1.99,5.027,6.737,"205,246",37.28%,43.55%  (  +1.19%),32.78%,"2,492,924",5,5,5,85,Internet Retail,
FRO,Cyprus,20.57,2025-08-29,63.38,0.67,20.26%,2.41,10.959,12.058,"2,831",41.01%,37.49%  (  -7.40%),11.84%,"45,559",6,4,4,76,Oil & Gas Midstream,
SIG,Bermuda,87.33,2025-09-02,63.75,3.06,22.25%,0.53,12.269,14.244,884,41.68%,65.20%  (  +1.05%),63.04%,"20,573",7,4,4,80,Luxury Goods,
AVAV,USA,239.84,2025-09-03,43.17,11.24,30.19%,14.42,13.534,7.460,"3,211",34.04%,63.12%  (  -2.30%),73.63%,"33,591",9,5,5,85,Aerospace & Defense,
KR,USA,69.56,2025-09-05,42.98,1.60,5.40%,0.31,5.501,6.002,"9,980",24.00%,29.22%  (  -0.35%),47.00%,"229,823",9,4,4,75,Grocery Stores,
CHWY,USA,39.57,2025-09-10,55.53,1.33,7.18%,1.36,11.940,11.715,"179,549",38.15%,56.77%  (  -0.18%),42.86%,"323,914",6,5,4,75,Internet Retail,
ORCL,USA,236.37,2025-09-15,45.67,7.70,30.56%,11.57,8.764,10.997,"81,439",32.78%,52.61%  (  -0.69%),72.19%,"924,721",7,4,4,85,Software - Infrastructure,"MSFT, 0.86(6M)"
DRI,USA,208.58,2025-09-18,53.65,3.74,6.37%,2.02,5.577,6.603,844,16.36%,30.19%  (  +0.65%),48.98%,"22,916",4,4,4,85,Restaurants,
JEF,USA,62.54,2025-09-24,65.81,1.65,0.96%,1.43,7.531,0.000,"1,192",29.01%,32.30%  (  -2.33%),13.45%,"44,671",6,4,4,0,Capital Markets,
CTAS,USA,215.59,2025-09-24,40.88,3.45,2.40%,8.40,5.779,0.000,870,18.18%,18.75%  (  -0.37%),16.76%,"37,452",7,4,4,90,Specialty Business Services,
KMX,USA,60.06,2025-09-25,53.11,1.79,-17.55%,0.34,10.141,0.000,"2,031",31.80%,38.19%  (  -0.46%),30.46%,"63,112",4,4,4,85,Auto & Truck Dealerships,
ACN,Ireland,259.22,2025-09-25,48.03,6.38,-19.86%,2.36,5.945,0.000,"13,106",28.39%,30.06%  (  -0.24%),44.46%,"115,082",9,4,4,95,Information Technology Services,
COST,USA,958.54,2025-09-25,44.99,15.95,-1.63%,1.58,3.594,0.000,"74,355",16.78%,21.24%  (  +0.12%),16.75%,"254,817",5,4,4,92,Discount Stores,
JBL,USA,209.84,2025-09-25,43.86,6.37,26.90%,0.79,9.055,0.000,"2,618",33.66%,32.30%  (  -1.74%),22.61%,"32,720",8,5,5,85,Electronic Components,
NKE,USA,78.38,2025-09-25,62.93,1.91,11.37%,2.49,8.696,0.000,"60,060",24.23%,29.35%  (  -0.46%),20.84%,"1,443,003",6,4,4,55,Footwear & Accessories,"UA, 0.88(6M)"
MU,USA,117.68,2025-09-25,50.60,4.61,17.77%,3.89,10.313,0.000,"145,914",44.44%,45.56%  (  -1.18%),17.78%,"1,692,376",6,5,5,88,Semiconductors,
UEC,USA,10.53,2025-09-26,64.60,0.59,54.91%,70.00,0.000,0.000,"19,890",61.19%,66.31%  (  +0.26%),51.47%,"246,443",9,5,5,0,Uranium,
CCL,Panama,31.30,2025-09-26,64.31,0.92,28.21%,1.57,5.606,0.000,"69,871",32.24%,36.79%  (  -1.52%),9.15%,"1,333,712",10,5,5,96,Travel Services,"NCLH, 0.95(12M)
RCL, 0.94(12M)"
LEVI,USA,21.31,2025-10-01,62.20,0.54,20.55%,1.33,11.735,0.000,518,25.86%,29.77%  (  -1.12%),6.36%,"52,111",9,5,5,85,Apparel Manufacturing,
STZ,USA,167.62,2025-10-02,46.96,3.74,-11.52%,2.94,5.315,0.000,"5,970",27.50%,26.80%  (  -0.34%),25.92%,"113,422",9,4,4,65,Beverages - Brewers,
05:21:10 PM,,,,,,,,,,,,,,,,,,,,
