SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
AAON,USA,70.32,2025-08-11,34.89,4.26,-30.02%,4.54,9.958,9.912,"1,833",64.54%,49.15%  (  -13.32%),36.93%,"6,772",5,5,5,60,Building Products & Equipment,
LEGN,USA,36.57,2025-08-11,37.64,1.61,0.88%,9.24,9.707,7.346,686,37.66%,50.62%  (  -3.48%),10.66%,"13,532",5,5,5,72,Biotechnology,
TDS,USA,39.03,2025-08-11,56.84,1.48,11.15%,0.86,10.175,9.279,"1,031",39.76%,41.54%  (  -11.91%),15.37%,"70,279",7,4,4,60,Telecom Services,
ROIV,Bermuda,11.25,2025-08-11,45.29,0.30,0.76%,100.37,6.262,6.727,"1,590",25.37%,34.24%  (  -9.23%),24.88%,"193,292",7,5,5,73,Biotechnology,
ACHR,USA,9.67,2025-08-11,41.77,0.64,11.65%,-,10.197,11.327,"56,314",75.63%,84.36%  (  +1.66%),39.70%,"834,557",5,4,4,70,Aerospace & Defense,
OKLO,USA,74.26,2025-08-11,55.37,6.05,100.27%,-,15.171,12.044,"39,995",86.18%,102.51%  (  +2.95%),32.24%,"535,729",6,4,4,70,Utilities - Regulated Electric,
CAH,USA,158.60,2025-08-12,50.85,3.13,16.32%,0.17,4.947,4.612,"6,681",18.46%,28.13%  (  -2.86%),33.17%,"50,679",9,5,5,80,Medical Distribution,
PONY,USA,14.78,2025-08-12,56.62,1.07,11.65%,52.99,6.262,8.904,"8,902",62.57%,80.88%  (  +2.09%),2.04%,"113,388",8,5,5,74,Information Technology Services,
SE,USA,146.59,2025-08-12,38.65,5.25,12.05%,4.47,10.775,10.984,"24,331",40.67%,57.62%  (  -0.24%),62.88%,"357,093",9,4,5,85,Internet Retail,
TME,USA,22.61,2025-08-12,68.44,0.67,55.80%,3.24,9.857,7.510,"2,075",31.50%,48.79%  (  +1.81%),28.82%,"94,556",8,5,5,90,Internet Content & Information,
ONON,Switzerland,45.61,2025-08-12,31.90,1.68,-12.58%,5.16,10.457,11.391,"44,059",34.83%,60.05%  (  +2.72%),47.26%,"391,900",7,5,5,93,Footwear & Accessories,
ETOR,Virgin Islands (British),55.58,2025-08-12,40.93,3.27,-10.47%,0.36,0.000,11.664,901,48.26%,73.17%  (  -0.22%),6.13%,"26,160",9,4,4,0,Capital Markets,
CAVA,USA,84.27,2025-08-12,46.15,3.45,-19.38%,9.40,11.693,11.437,"17,747",49.90%,71.25%  (  +2.90%),59.40%,"221,715",5,4,4,90,Restaurants,
RGTI,USA,15.60,2025-08-12,55.80,1.11,58.16%,546.51,25.066,11.271,"44,385",106.95%,91.24%  (  +3.77%),15.53%,"984,536",6,5,5,70,Computer Hardware,
LITE,USA,114.25,2025-08-12,68.49,4.34,43.21%,5.38,13.285,10.888,"4,114",37.03%,63.84%  (  +0.17%),31.88%,"56,814",9,4,4,92,Communication Equipment,
QXO,USA,19.12,2025-08-12,36.31,0.74,18.54%,229.24,0.000,7.740,"2,591",29.26%,56.73%  (  +0.06%),25.69%,"170,307",9,5,5,0,Software - Application,
VG,USA,12.19,2025-08-13,28.03,0.90,-8.73%,-,7.711,11.706,"5,751",54.00%,69.21%  (  -15.52%),23.26%,"300,577",6,4,4,81,Oil & Gas Midstream,
CSCO,USA,70.86,2025-08-13,62.32,1.21,14.87%,5.04,5.614,5.218,"46,370",17.22%,29.19%  (  +1.24%),60.29%,"1,133,313",7,4,4,88,Communication Equipment,"INTC, 0.86(6M)"
DLO,Cayman Islands,10.75,2025-08-13,51.04,0.41,5.26%,4.34,16.101,14.968,"2,479",31.98%,78.66%  (  +0.40%),72.94%,"192,670",6,4,4,85,Software - Infrastructure,
JBS,Netherlands,14.08,2025-08-13,53.25,0.44,9.36%,-,,,"1,209",29.13%,48.44%  (  +10.41%),17.32%,"121,080",10,5,5,80,Packaged Foods,
BBWI,USA,28.10,2025-08-13,36.29,1.08,-13.83%,0.81,,,"16,316",38.67%,59.46%  (  +0.58%),64.11%,"231,638",5,5,5,82,Specialty Retail,
TPR,USA,108.72,2025-08-14,62.34,3.00,44.59%,3.28,,,"1,293",30.13%,48.47%  (  -0.49%),48.91%,"137,980",8,5,5,85,Luxury Goods,
JD,USA,31.23,2025-08-14,41.92,0.71,-14.34%,0.25,,,"35,414",28.16%,41.33%  (  -0.43%),19.03%,"1,315,944",6,4,5,88,Internet Retail,
GLNG,Bermuda,40.28,2025-08-14,44.42,1.09,1.99%,16.34,,,811,20.89%,42.92%  (  -1.00%),20.18%,"128,694",5,4,4,80,Oil & Gas Midstream,
