SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
CCL,Panama,29.19,2025-09-29,36.07,1.05,15.78%,1.46,5.606,7.398,"213,878",32.06%,41.67%  (  -5.62%),18.16%,"1,267,364",10,5,5,90,Travel Services,"NCLH, 0.95(12M)
RCL, 0.94(12M)"
NKE,USA,69.11,2025-09-30,29.16,1.65,-1.21%,2.20,8.696,8.225,"104,150",19.70%,45.79%  (  -0.17%),59.58%,"1,398,809",6,4,4,65,Footwear & Accessories,"UA, 0.88(6M)"
PEP,USA,139.39,2025-10-09,39.50,2.31,-2.52%,2.08,3.516,4.860,"14,194",16.80%,26.97%  (  +0.38%),48.84%,"433,802",6,4,4,78,Beverages - Non-Alcoholic,"KO, 0.89(6M)"
DAL,USA,57.04,2025-10-09,41.64,1.68,4.48%,0.60,7.592,8.345,"19,027",27.99%,48.84%  (  -0.06%),30.39%,"794,064",5,5,5,85,Airlines,"UAL, 0.94(6M)"
APLD,USA,22.04,2025-10-09,65.68,1.57,122.29%,26.75,18.065,20.290,"45,833",89.83%,120.32%  (  -5.03%),45.15%,"681,255",7,5,5,85,Information Technology Services,
PGR,USA,243.10,2025-10-09,47.05,3.99,-6.10%,1.73,0.959,5.739,631,14.63%,26.54%  (  -0.94%),19.90%,"44,755",5,4,4,88,Insurance - Property & Casualty,
GS,USA,802.20,2025-10-14,66.85,15.09,26.03%,1.93,4.413,5.892,"8,493",20.00%,30.92%  (  -0.11%),23.74%,"269,553",7,4,4,85,Capital Markets,"MS, 0.96(6M)"
JPM,USA,314.74,2025-10-14,66.90,4.91,17.82%,3.10,3.907,5.025,"25,529",14.53%,26.03%  (  -0.21%),21.10%,"698,151",9,4,4,80,Banks - Diversified,"BAC, 0.85(6M)"
JNJ,USA,180.81,2025-10-14,63.12,2.37,13.44%,4.80,2.588,3.702,"15,014",12.20%,18.74%  (  -0.52%),27.80%,"397,630",9,4,4,88,Drug Manufacturers - General,"PFE, 0.83(6M)"
WFC,USA,84.36,2025-10-14,60.73,1.64,11.42%,2.19,4.646,5.894,"11,916",18.10%,30.68%  (  +0.42%),24.69%,"1,144,583",8,4,4,85,Banks - Diversified,
C,USA,103.12,2025-10-14,67.45,1.95,28.20%,1.12,4.159,6.043,"24,064",16.50%,31.50%  (  +0.15%),23.81%,"1,504,260",9,4,5,85,Banks - Diversified,
ABT,USA,132.74,2025-10-15,49.16,2.39,2.96%,5.36,3.642,5.090,"4,081",15.03%,25.63%  (  -0.18%),40.89%,"173,925",8,5,5,85,Medical Devices,
BAC,USA,52.23,2025-10-15,68.54,0.83,15.77%,1.95,3.906,5.014,"67,049",14.43%,26.50%  (  +0.26%),18.02%,"2,509,795",7,5,5,80,Banks - Diversified,
ASML,USA,968.49,2025-10-15,79.05,21.22,30.71%,10.90,5.966,8.737,"10,944",32.85%,42.63%  (  +0.04%),33.93%,"167,271",10,4,5,82,Semiconductor Equipment & Materials,
SYF,USA,72.78,2025-10-15,42.50,1.78,14.27%,1.39,8.318,7.202,"2,231",20.41%,37.58%  (  +0.38%),20.34%,"44,271",7,5,5,77,Credit Services,
MS,USA,160.34,2025-10-15,69.02,2.83,20.90%,2.34,3.773,5.725,"4,797",15.19%,30.20%  (  +0.19%),20.46%,"495,404",9,4,4,85,Capital Markets,"GS, 0.96(6M)"
PNC,USA,201.05,2025-10-15,48.39,3.35,8.03%,2.34,3.823,5.080,"1,638",17.50%,25.94%  (  -0.17%),19.66%,"37,438",8,4,4,78,Banks - Regional,
LVS,USA,54.85,2025-10-15,57.62,1.18,19.76%,3.24,5.661,8.858,"3,798",23.15%,39.24%  (  -0.38%),24.54%,"253,633",5,4,4,80,Resorts & Casinos,
KMI,USA,28.05,2025-10-15,61.69,0.46,2.18%,3.91,3.583,3.957,"6,024",14.10%,25.52%  (  +0.94%),18.42%,"329,823",10,4,4,85,Oil & Gas Midstream,
LRCX,USA,131.34,2025-10-15,76.78,3.76,50.93%,8.98,6.439,10.107,"16,293",34.04%,46.29%  (  +0.86%),29.12%,"499,391",9,5,5,85,Semiconductor Equipment & Materials,
CCI,USA,96.36,2025-10-15,49.44,1.89,-1.99%,7.74,5.056,4.389,"1,034",19.69%,25.34%  (  -0.29%),18.70%,"43,977",6,5,4,70,REIT - Specialty,
ELV,USA,320.17,2025-10-15,54.90,8.25,-13.71%,0.38,8.071,7.341,998,26.88%,42.80%  (  -0.02%),83.85%,"60,672",6,4,4,60,Healthcare Plans,
USB,USA,48.76,2025-10-16,50.72,0.88,7.24%,1.80,3.787,5.068,"6,878",19.15%,26.57%  (  +0.25%),17.09%,"214,738",6,4,4,85,Banks - Regional,
CFG,USA,53.27,2025-10-16,62.71,1.04,19.51%,1.90,4.259,5.861,"1,320",20.14%,30.06%  (  -0.09%),16.77%,"46,909",10,5,5,80,Banks - Regional,
KEY,USA,18.71,2025-10-16,48.06,0.39,9.79%,2.19,4.056,5.662,"4,185",19.47%,30.09%  (  -0.90%),15.96%,"199,997",6,4,4,85,Banks - Regional,
BK,USA,109.23,2025-10-16,65.18,1.82,22.07%,1.91,4.539,5.478,"2,631",12.73%,29.13%  (  -0.10%),29.83%,"66,904",7,4,4,88,Banks - Diversified,"STT, 0.83(6M)"
SCHW,USA,96.16,2025-10-16,56.24,1.82,12.92%,6.55,5.246,6.918,"6,186",23.75%,31.18%  (  -0.16%),29.60%,"431,774",5,5,5,85,Capital Markets,"AMTD, 0.84(6M)"
CSX,USA,35.18,2025-10-16,65.74,0.76,9.74%,4.63,3.824,5.403,"100,267",26.51%,26.98%  (  +1.05%),29.66%,"455,241",10,5,5,70,Railroads,
IBKR,USA,68.11,2025-10-16,65.96,1.89,29.24%,3.11,6.111,8.737,"8,780",30.46%,42.78%  (  +0.80%),30.95%,"211,300",10,5,5,88,Capital Markets,
ALK,USA,50.31,2025-10-16,27.14,2.03,-11.97%,0.43,8.119,0.000,"13,861",39.65%,49.77%  (  +0.70%),32.71%,"99,647",6,5,5,75,Airlines,
TSM,USA,275.01,2025-10-16,66.52,7.16,32.52%,13.43,3.853,7.265,"81,859",28.98%,38.80%  (  -0.03%),21.60%,"1,595,492",10,5,5,88,Semiconductors,
FCX,USA,37.72,2025-10-16,34.39,1.77,-5.38%,2.11,3.387,12.493,"194,647",65.22%,49.17%  (  +1.76%),39.95%,"1,335,759",8,4,4,90,Copper,
TSCO,USA,56.20,2025-10-16,34.13,1.13,2.28%,1.97,4.782,7.182,"2,721",20.53%,33.69%  (  +0.98%),40.94%,"53,221",6,4,4,85,Specialty Retail,
SLB,,35.04,2025-10-17,50.83,0.98,-5.08%,1.47,3.469,7.025,"11,025",26.38%,37.07%  (  +0.88%),32.22%,"738,395",9,5,5,80,Oil & Gas Equipment & Services,
HBAN,USA,17.24,2025-10-17,46.11,0.33,6.78%,2.09,3.937,8.373,654,18.81%,27.64%  (  +0.19%),17.37%,"77,946",10,5,4,85,Banks - Regional,
TFC,USA,45.60,2025-10-17,51.11,0.88,6.01%,1.93,3.229,5.083,"16,742",18.11%,27.05%  (  +0.27%),19.58%,"181,712",7,4,4,70,Banks - Regional,
PCAR,USA,99.46,2025-10-21,50.88,2.58,0.10%,1.68,7.730,10.254,550,27.87%,31.68%  (  -0.60%),44.88%,"19,960",7,4,4,80,Farm & Heavy Construction Machinery,
