SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
CCL,Panama,32.03,2025-09-26,59.98,0.89,28.42%,1.60,5.606,9.662,"9,220",32.36%,45.23%  (  -1.21%),24.76%,"1,397,453",10,5,5,95,Travel Services,"NCLH, 0.95(12M)
RCL, 0.94(12M)"
UEC,USA,11.88,2025-09-26,63.71,0.66,68.58%,78.88,0.000,12.303,"4,725",60.60%,73.07%  (  -1.15%),67.94%,"281,259",10,5,5,,Uranium,
PEP,USA,143.27,2025-10-09,44.91,2.84,-0.59%,2.14,3.516,5.880,"7,300",18.29%,26.21%  (  -0.44%),45.77%,"525,475",9,4,4,65,Beverages - Non-Alcoholic,"KO, 0.89(6M)"
JPM,USA,305.70,2025-10-14,62.54,5.26,16.01%,3.01,3.907,0.000,"31,516",18.61%,22.64%  (  -0.29%),12.75%,"801,802",6,4,4,75,Banks - Diversified,"BAC, 0.85(6M)"
WFC,USA,81.10,2025-10-14,53.77,1.66,7.78%,2.11,4.646,0.000,"13,927",24.55%,26.99%  (  +0.55%),15.74%,"1,290,752",8,4,4,85,Banks - Diversified,
GS,USA,777.78,2025-10-14,65.44,15.81,24.31%,1.87,4.413,0.000,"17,702",23.99%,26.67%  (  -0.13%),14.64%,"290,063",6,4,4,85,Capital Markets,"MS, 0.96(6M)"
JNJ,USA,177.97,2025-10-14,59.49,2.38,12.59%,4.73,2.588,0.000,"6,560",12.00%,16.24%  (  +0.71%),16.78%,"464,276",10,4,4,88,Drug Manufacturers - General,"PFE, 0.83(6M)"
C,USA,99.18,2025-10-14,65.09,1.99,25.99%,1.08,4.159,0.000,"26,769",21.52%,27.99%  (  +0.44%),16.34%,"1,862,033",7,5,5,90,Banks - Diversified,
APLD,USA,17.83,2025-10-14,68.01,1.23,92.47%,21.74,18.065,24.791,"102,197",82.94%,109.68%  (  +11.20%),33.46%,"729,702",8,5,5,97,Information Technology Services,
BAC,USA,50.49,2025-10-15,60.93,0.86,12.56%,1.88,3.906,0.000,"57,498",21.29%,23.40%  (  +0.15%),10.69%,"2,804,779",7,5,5,85,Banks - Diversified,
ASML,USA,811.14,2025-10-15,65.32,16.55,11.39%,9.13,5.966,0.000,"6,529",25.85%,31.39%  (  -0.03%),9.86%,"190,265",10,4,5,80,Semiconductor Equipment & Materials,
MS,USA,155.84,2025-10-15,69.70,2.82,18.87%,2.28,3.773,0.000,"4,354",19.70%,25.49%  (  +0.67%),11.47%,"523,783",9,4,4,75,Capital Markets,"GS, 0.96(6M)"
ABT,USA,133.16,2025-10-15,55.69,2.42,4.05%,5.37,3.642,0.000,"7,819",16.95%,21.72%  (  -0.67%),27.20%,"204,556",9,5,5,85,Medical Devices,
ELV,USA,315.18,2025-10-15,53.24,9.17,-16.11%,0.37,8.071,0.000,"1,338",30.40%,39.81%  (  -0.42%),71.31%,"73,453",5,4,4,48,Healthcare Plans,
KMI,USA,27.67,2025-10-15,62.13,0.49,0.78%,3.87,3.583,0.000,"4,084",19.13%,22.58%  (  -0.06%),14.20%,"467,665",8,4,4,85,Oil & Gas Midstream,
NDAQ,USA,94.29,2025-10-15,49.77,1.40,13.56%,6.67,5.820,0.000,"3,350",12.37%,20.50%  (  +0.53%),9.03%,"34,158",7,5,5,90,Financial Data & Stock Exchanges,
SLG,USA,64.82,2025-10-15,69.59,1.77,5.62%,5.02,6.009,0.000,785,34.26%,35.70%  (  -0.62%),15.62%,"53,732",5,4,4,78,REIT - Office,
CSX,USA,32.68,2025-10-15,41.35,0.76,1.55%,4.30,3.824,0.000,"3,377",24.19%,24.90%  (  +1.43%),25.33%,"531,213",10,4,4,75,Railroads,
AA,USA,33.10,2025-10-15,62.08,1.21,2.61%,0.66,6.367,0.000,"28,620",43.83%,48.46%  (  -4.45%),15.15%,"374,006",4,4,4,65,Aluminum,
EFX,USA,256.50,2025-10-15,56.45,7.05,1.30%,5.44,8.273,0.000,560,35.16%,32.12%  (  -1.63%),26.91%,"7,257",5,5,5,70,Consulting Services,
FHN,USA,22.52,2025-10-15,53.61,0.48,9.96%,2.34,5.496,0.000,645,20.21%,34.59%  (  +1.37%),23.93%,"204,598",5,4,4,75,Banks - Regional,
LRCX,USA,116.80,2025-10-15,73.86,3.35,38.73%,8.02,6.439,0.000,"14,318",40.87%,36.54%  (  +0.80%),11.23%,"595,305",10,5,5,85,Semiconductor Equipment & Materials,
NFLX,USA,1186.32,2025-10-15,41.31,28.62,10.71%,12.17,7.632,0.000,"90,946",23.70%,33.32%  (  +2.22%),24.14%,"593,127",7,4,4,90,Entertainment,
LVS,USA,53.46,2025-10-15,46.50,1.13,16.76%,3.16,5.661,0.000,"5,882",20.64%,29.76%  (  +0.47%),6.48%,"326,133",4,4,4,68,Resorts & Casinos,
KEY,USA,19.06,2025-10-16,57.33,0.37,11.75%,2.24,4.056,0.000,564,21.69%,26.77%  (  +1.48%),8.54%,"213,957",4,4,4,90,Banks - Regional,
USB,USA,48.86,2025-10-16,60.45,0.82,7.03%,1.80,3.787,0.000,"2,208",20.56%,24.27%  (  +1.29%),11.87%,"260,888",7,4,4,85,Banks - Regional,
BK,USA,105.78,2025-10-16,61.81,1.88,20.23%,1.85,4.539,0.000,544,16.48%,27.19%  (  +0.66%),26.05%,"89,182",7,4,4,75,Banks - Diversified,"STT, 0.83(6M)"
TSCO,USA,60.17,2025-10-16,50.86,1.20,9.67%,2.11,4.782,0.000,"1,069",19.82%,25.29%  (  -0.50%),17.26%,"68,931",6,4,4,82,Specialty Retail,
TSM,USA,259.53,2025-10-16,68.57,6.04,27.69%,12.69,3.853,0.000,"65,389",31.09%,31.83%  (  +0.50%),5.78%,"1,872,898",10,5,5,80,Semiconductors,
FCX,USA,43.96,2025-10-16,49.61,1.38,10.12%,2.46,3.387,0.000,"25,067",30.03%,35.71%  (  +0.60%),12.51%,"1,048,652",8,4,4,82,Copper,
