SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
LEVI,USA,13.89,2025-04-07,30.46,0.76,-23.41%,0.86,7.756,12.237,"3,637",56.21%,73.71%  (  +15.21%),100.00%,"41,133",5,4,4,78
DAL,USA,37.25,2025-04-09,22.91,2.72,-30.23%,0.39,6.093,12.926,"74,793",58.86%,85.06%  (  +22.99%),100.00%,"827,819",6,5,5,85
STZ,USA,173.86,2025-04-09,39.15,5.00,-22.36%,3.09,3.710,9.007,"6,015",27.85%,52.62%  (  +7.64%),100.00%,"97,255",9,4,4,74
BK,USA,73.31,2025-04-11,25.13,2.48,-2.20%,1.32,4.484,9.895,"4,231",36.53%,55.56%  (  +16.79%),100.00%,"69,247",8,4,4,88
WFC,USA,60.98,2025-04-11,25.27,2.70,-7.82%,1.58,4.088,8.937,"157,169",46.13%,59.18%  (  +13.56%),100.00%,"1,164,560",7,4,4,85
MS,USA,99.83,2025-04-15,27.64,5.24,-14.22%,1.55,3.448,10.568,"59,635",51.94%,62.40%  (  +14.21%),100.00%,"620,205",5,4,4,85
FAST,USA,74.42,2025-04-11,42.68,1.76,1.63%,5.66,5.666,8.272,"1,628",29.82%,43.07%  (  +12.07%),100.00%,"45,402",8,4,4,75
JPM,USA,210.28,2025-04-11,25.51,8.03,-8.97%,2.08,3.236,8.727,"175,248",40.11%,55.59%  (  +18.49%),100.00%,"741,779",7,4,4,90
GS,USA,470.81,2025-04-14,26.59,23.83,-13.48%,1.16,3.705,11.018,"70,612",48.02%,60.66%  (  +15.91%),100.00%,"276,026",4,4,4,85
C,USA,58.13,2025-04-15,23.14,2.97,-14.52%,0.64,3.596,11.527,"245,643",52.30%,61.21%  (  +14.57%),100.00%,"1,798,716",6,5,4,80
PNC,USA,153.10,2025-04-15,23.87,5.44,-17.30%,1.79,3.861,8.454,"4,363",37.53%,49.54%  (  +13.27%),100.00%,"42,276",9,4,4,80
BAC,USA,34.39,2025-04-15,20.88,1.51,-19.33%,1.31,3.660,11.079,"528,810",49.44%,58.37%  (  +14.53%),100.00%,"2,714,345",7,5,5,80
JNJ,USA,153.24,2025-04-15,38.75,3.56,-2.09%,4.16,2.659,4.780,"72,410",30.45%,26.12%  (  +5.90%),100.00%,"486,471",9,4,4,75
JBHT,USA,134.66,2025-04-15,28.61,5.59,-20.55%,1.11,4.498,10.982,"1,171",40.65%,60.04%  (  +13.46%),100.00%,"8,835",5,4,4,65
IBKR,USA,146.08,2025-04-15,29.47,9.62,-9.33%,6.57,4.558,14.136,"10,300",66.11%,78.77%  (  +23.49%),100.00%,"57,720",9,5,5,90
