SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector
TPR,USA,74.75,2025-05-08,65.04,2.94,26.25%,2.28,6.561,6.525,"32,219",60.15%,44.68%  (  -6.88%),42.07%,"215,151",10,5,5,80,Luxury Goods
LNG,USA,238.76,2025-05-08,59.49,7.79,15.31%,3.37,3.478,5.277,"4,158",49.37%,33.70%  (  -0.96%),43.72%,"96,853",6,5,5,85,Oil & Gas Midstream
PRMB,USA,32.86,2025-05-08,48.28,1.04,15.23%,4.39,4.102,6.738,"1,002",31.89%,35.93%  (  +2.33%),20.96%,"75,875",8,5,5,81,Beverages - Non-Alcoholic
COP,USA,87.71,2025-05-08,42.91,3.29,-14.63%,2.03,2.926,3.300,"15,923",64.09%,37.13%  (  +0.12%),35.06%,"383,550",10,5,5,85,Oil & Gas E&P
CROX,USA,100.76,2025-05-08,54.57,4.72,-12.16%,1.38,10.574,10.406,"11,084",70.12%,62.31%  (  -2.73%),50.67%,"77,068",7,5,4,75,Footwear & Accessories
PENN,USA,15.71,2025-05-08,50.07,0.81,-16.65%,0.36,10.162,8.670,"22,934",81.14%,65.57%  (  +5.51%),51.90%,"380,728",6,4,4,55,Resorts & Casinos
INSM,USA,68.28,2025-05-08,41.91,3.07,-7.32%,34.13,10.173,9.884,"1,960",48.35%,70.65%  (  +2.48%),12.08%,"68,974",8,5,5,70,Biotechnology
TAP,USA,56.84,2025-05-08,39.61,1.41,-0.51%,0.94,6.272,5.938,"4,044",23.22%,32.13%  (  -0.21%),53.90%,"19,972",9,4,4,68,Beverages - Brewers
SGI,USA,60.59,2025-05-08,51.39,2.21,8.50%,2.56,2.957,8.459,"6,301",47.24%,45.65%  (  -0.27%),53.96%,"15,837",8,5,5,80,"Furnishings, Fixtures & Appliances"
YETI,USA,27.93,2025-05-08,41.10,1.38,-24.95%,1.26,13.032,11.802,"1,803",69.91%,62.33%  (  -0.92%),64.16%,"29,751",9,4,4,83,Leisure
ALGM,USA,18.69,2025-05-08,41.14,1.41,-18.04%,4.45,11.914,12.307,"1,334",97.13%,66.06%  (  -2.79%),54.28%,"84,508",8,5,5,60,Semiconductors
PTON,USA,6.98,2025-05-08,61.63,0.44,5.11%,1.04,21.409,15.545,"52,740",85.63%,101.80%  (  -4.98%),41.88%,"473,887",7,4,4,60,Leisure
QBTS,USA,6.89,2025-05-08,47.38,0.69,67.23%,227.34,26.210,13.788,"28,510",93.01%,112.35%  (  -0.23%),14.41%,"416,061",8,5,5,60,Computer Hardware
MLCO,USA,5.64,2025-05-08,64.49,0.26,-4.82%,0.51,9.227,8.250,"1,550",55.64%,62.46%  (  +2.93%),6.12%,"43,026",7,4,4,68,Resorts & Casinos
USFD,USA,69.12,2025-05-08,63.58,1.99,7.80%,0.42,5.909,4.927,"1,595",35.98%,31.08%  (  -4.20%),43.12%,"6,796",7,5,5,88,Food Distribution
LTH,USA,32.97,2025-05-08,59.98,1.40,25.38%,2.64,12.592,12.208,646,53.48%,60.36%  (  -0.16%),81.48%,"18,471",7,4,4,85,Leisure
PLNT,USA,101.73,2025-05-08,62.91,3.27,10.92%,7.26,10.288,9.422,"25,908",33.04%,50.23%  (  +2.84%),72.51%,"17,321",5,5,5,70,Leisure
SRE,USA,75.86,2025-05-08,62.21,1.93,-6.27%,3.82,4.673,5.372,"6,785",36.03%,31.87%  (  +1.18%),56.64%,"60,757",8,4,4,67,Utilities - Diversified
SN,Cayman Islands,81.19,2025-05-08,51.17,4.48,-15.34%,2.06,11.952,12.468,"8,830",99.16%,71.03%  (  -1.08%),61.03%,"60,995",9,5,4,80,"Furnishings, Fixtures & Appliances"
WBD,USA,8.56,2025-05-08,46.52,0.48,-6.83%,0.54,10.089,9.695,"66,983",94.33%,68.47%  (  +4.33%),69.53%,"943,944",9,4,4,65,Entertainment
NET,USA,121.71,2025-05-08,55.40,5.84,15.22%,25.30,12.765,11.982,"13,017",74.41%,68.44%  (  -3.91%),52.36%,"203,628",10,4,4,73,Software - Infrastructure
TOST,USA,35.56,2025-05-08,52.74,1.59,6.93%,4.14,13.386,11.570,"8,665",60.91%,67.41%  (  -0.02%),52.94%,"291,202",10,4,4,90,Software - Infrastructure
AFRM,USA,51.54,2025-05-08,58.86,3.33,3.24%,5.94,14.975,13.387,"28,134",101.43%,90.27%  (  +0.71%),44.01%,"450,414",10,5,4,60,Software - Infrastructure
SOUN,USA,9.17,2025-05-08,51.91,0.69,0.31%,43.37,20.103,14.504,"68,675",97.41%,112.59%  (  +8.88%),41.00%,"591,901",5,4,4,65,Software - Application
MP,USA,23.62,2025-05-08,46.11,2.01,21.61%,18.94,10.093,8.114,"7,845",103.69%,69.23%  (  -1.53%),47.94%,"265,483",10,4,5,65,Other Industrial Metals & Mining
STNE,Cayman Islands,13.23,2025-05-08,60.08,0.52,21.90%,3.81,9.617,8.859,962,52.24%,50.88%  (  +3.96%),18.99%,"115,342",8,4,4,78,Software - Infrastructure
RKLB,USA,22.29,2025-05-08,57.11,1.47,30.91%,23.58,13.396,11.686,"25,741",89.13%,89.30%  (  +3.29%),43.65%,"654,262",7,4,4,75,Aerospace & Defense
