SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
CMC,USA,48.76,2025-06-23,53.84,1.53,-3.82%,0.71,6.078,10.323,949,34.21%,39.44%  (  -6.66%),32.53%,"14,448",7,4,4,80,Steel,
CCL,Panama,23.38,2025-06-24,53.18,0.78,5.02%,1.19,7.658,6.678,"56,890",46.14%,48.66%  (  +0.19%),31.09%,"1,010,803",10,4,5,85,Travel Services,"NCLH, 0.95(12M)
RCL, 0.94(12M)"
MU,USA,122.31,2025-06-25,80.03,3.93,27.47%,4.36,11.387,8.684,"99,819",35.56%,55.02%  (  -0.24%),36.26%,"1,538,064",9,5,5,87,Semiconductors,
NKE,USA,60.46,2025-06-26,47.17,1.70,-16.09%,1.86,8.788,7.907,"54,361",36.53%,46.74%  (  -0.99%),61.82%,"1,510,881",4,4,4,60,Footwear & Accessories,"UA, 0.88(6M)"
STZ,USA,161.62,2025-07-01,29.15,4.00,-21.53%,2.80,4.822,7.036,"4,155",23.98%,38.72%  (  -1.96%),58.35%,"89,281",7,4,4,75,Beverages - Brewers,
LEVI,USA,17.72,2025-07-03,56.56,0.51,1.42%,1.11,11.877,10.078,592,29.67%,46.63%  (  -0.47%),37.18%,"101,429",9,5,5,85,Apparel Manufacturing,
DAL,USA,46.81,2025-07-10,44.46,1.83,-13.42%,0.49,7.622,9.701,"56,531",42.03%,52.71%  (  +2.50%),38.97%,"663,652",7,5,4,79,Airlines,"UAL, 0.94(6M)"
PGR,USA,264.55,2025-07-10,40.13,5.79,1.96%,1.98,2.117,5.870,"1,262",20.67%,28.53%  (  -0.84%),28.51%,"46,427",6,4,4,78,Insurance - Property & Casualty,
JPM,USA,275.24,2025-07-15,68.46,4.75,13.29%,2.68,3.712,5.612,"24,250",15.71%,25.91%  (  -0.56%),21.45%,"661,908",5,4,4,80,Banks - Diversified,"BAC, 0.85(6M)"
BK,USA,88.43,2025-07-15,49.14,1.68,9.65%,1.58,4.597,6.175,880,19.08%,29.83%  (  +2.42%),31.21%,"56,296",7,4,4,88,Banks - Diversified,"STT, 0.83(6M)"
C,USA,78.62,2025-07-15,63.23,1.49,11.56%,0.87,3.872,6.418,"26,162",23.21%,30.22%  (  -0.19%),21.08%,"1,589,096",6,4,5,85,Banks - Diversified,
WFC,USA,75.85,2025-07-15,57.65,1.63,8.45%,1.98,4.664,6.703,"56,685",21.93%,31.43%  (  -0.03%),27.29%,"1,181,193",7,4,4,78,Banks - Diversified,
BAC,USA,45.60,2025-07-16,65.65,0.82,5.89%,1.73,3.880,6.012,"69,594",19.70%,28.01%  (  -0.77%),21.59%,"2,467,198",8,5,5,88,Banks - Diversified,
PLD,USA,105.84,2025-07-16,44.99,2.19,-6.76%,12.00,4.653,5.995,"1,745",21.46%,29.31%  (  +0.06%),20.19%,"62,089",5,4,4,70,REIT - Industrial,
PNC,USA,178.10,2025-07-16,57.58,3.37,-3.55%,2.11,3.948,5.918,"1,625",23.57%,27.83%  (  -0.39%),24.99%,"37,924",9,4,4,86,Banks - Regional,
MS,USA,132.52,2025-07-16,62.18,2.60,8.46%,2.00,3.772,6.479,"12,986",21.94%,30.44%  (  -0.18%),22.39%,"504,153",9,4,4,88,Capital Markets,"GS, 0.96(6M)"
JNJ,USA,150.69,2025-07-16,40.91,2.26,-3.40%,4.06,2.634,4.239,"20,996",17.59%,20.17%  (  +0.06%),33.39%,"358,647",7,4,4,85,Drug Manufacturers - General,"PFE, 0.83(6M)"
GS,USA,639.57,2025-07-16,67.24,13.57,12.62%,1.56,4.520,6.552,"14,961",22.11%,31.17%  (  +0.27%),24.77%,"230,325",6,4,4,85,Capital Markets,"MS, 0.96(6M)"
KMI,USA,28.09,2025-07-16,56.13,0.56,6.07%,4.03,3.613,5.895,"7,734",16.47%,27.27%  (  -1.40%),34.53%,"302,646",9,4,4,80,Oil & Gas Midstream,
LVS,USA,41.63,2025-07-16,53.28,1.28,-7.17%,2.63,6.058,9.593,"6,979",38.82%,40.02%  (  +0.01%),24.68%,"233,797",7,5,5,0,Resorts & Casinos,
NDAQ,USA,86.46,2025-07-16,66.45,1.35,11.12%,6.35,5.897,0.000,"1,162",13.03%,20.58%  (  +0.84%),12.40%,"21,050",6,4,4,92,Financial Data & Stock Exchanges,
ASML,USA,773.27,2025-07-16,58.31,18.78,6.41%,9.23,6.120,8.802,"9,536",27.98%,41.82%  (  -0.01%),28.44%,"121,901",7,4,4,85,Semiconductor Equipment & Materials,
