SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
QUBT,USA,11.05,2025-11-14,34.55,1.58,-16.36%,7939.13,20.713,17.506,"5,008",99.92%,120.98%  (  +2.29%),16.69%,"706,740",4,4,4,60,Computer Hardware,
XPEV,USA,25.96,2025-11-17,59.34,1.39,27.16%,2.42,9.965,8.981,"16,376",73.77%,69.52%  (  +2.66%),37.50%,"734,239",10,4,4,85,Auto Manufacturers,
HD,USA,360.67,2025-11-18,28.66,6.90,-4.99%,2.18,3.964,4.709,"1,018",16.09%,31.02%  (  +0.83%),43.51%,"271,935",6,5,5,82,Home Improvement Retail,"LOW, 0.91(6M)"
PDD,USA,132.33,2025-11-18,46.16,3.14,13.09%,3.22,8.514,6.385,"2,916",25.65%,38.31%  (  -1.05%),20.11%,"1,470,408",7,4,5,65,Internet Retail,
BIDU,USA,120.03,2025-11-18,44.21,5.01,22.06%,1.81,6.167,6.859,"1,182",50.52%,54.47%  (  +0.21%),70.00%,"664,906",9,4,4,72,Internet Content & Information,
FUTU,USA,171.96,2025-11-18,43.98,9.34,26.03%,7.10,8.027,7.522,712,63.06%,61.54%  (  +3.59%),24.09%,"181,148",7,5,5,92,Capital Markets,
RKLB,USA,47.04,2025-11-18,35.42,4.65,28.82%,45.32,12.742,0.000,"11,502",75.07%,93.37%  (  +5.04%),41.11%,"1,007,030",10,4,4,70,Aerospace & Defense,
NVDA,USA,187.21,2025-11-19,46.75,7.49,23.84%,27.53,7.795,7.714,"318,900",41.98%,52.72%  (  +1.44%),47.84%,"20,848,492",9,5,5,92,Semiconductors,
PANW,USA,201.74,2025-11-19,37.74,5.49,4.95%,14.96,7.964,7.190,"1,793",27.94%,46.69%  (  +2.42%),61.19%,"572,066",10,5,5,90,Software - Infrastructure,
VIPS,USA,19.31,2025-11-20,56.20,0.60,20.17%,0.55,10.305,10.388,717,34.07%,52.52%  (  +4.34%),52.64%,"36,238",7,4,5,70,Internet Retail,
WMT,USA,101.07,2025-11-20,40.74,1.83,3.36%,1.16,5.018,5.307,"2,453",21.00%,31.01%  (  +0.81%),43.35%,"1,063,146",9,5,5,78,Discount Stores,"TGT, 0.84(6M)"
BULL,Cayman Islands,8.91,2025-11-20,27.62,0.56,-33.81%,17.71,7.896,10.415,"9,927",54.51%,84.20%  (  +2.44%),16.88%,"1,639,490",7,4,4,75,Software - Application,
CRDO,Cayman Islands,148.48,2025-11-26,46.14,13.87,57.47%,42.76,20.875,21.492,"1,304",103.56%,116.33%  (  +1.45%),73.44%,"163,860",10,5,5,90,Semiconductors,
KR,USA,65.53,2025-11-27,47.92,1.32,-3.64%,0.30,5.627,8.134,780,23.84%,34.39%  (  -0.31%),67.79%,"193,057",8,4,4,80,Grocery Stores,
AVAV,USA,294.76,2025-12-09,30.59,18.91,30.79%,13.59,13.430,12.711,522,55.02%,87.42%  (  +3.37%),100.00%,"42,318",9,5,5,80,Aerospace & Defense,
AVGO,USA,337.73,2025-12-11,42.88,13.28,27.34%,26.68,7.203,12.542,"14,917",46.32%,59.00%  (  -0.33%),61.42%,"2,124,264",9,5,5,90,Semiconductors,
COST,USA,917.23,2025-12-11,45.01,14.07,-5.56%,1.48,3.439,5.944,"1,538",18.40%,27.94%  (  +1.74%),42.72%,"316,314",4,4,4,85,Discount Stores,
ADBE,USA,329.84,2025-12-11,40.63,7.86,-12.84%,5.96,8.432,11.022,931,28.36%,50.76%  (  +0.57%),79.41%,"487,469",4,4,4,90,Software - Application,
PL,USA,11.46,2025-12-15,39.80,0.93,64.62%,13.50,20.664,25.722,"1,151",69.12%,129.77%  (  +1.76%),42.16%,"198,457",9,5,5,80,Aerospace & Defense,
MU,USA,249.40,2025-12-17,65.56,13.02,100.37%,7.52,10.316,0.000,"28,366",60.63%,72.00%  (  +4.14%),69.47%,"1,883,897",9,5,5,90,Semiconductors,
CLSK,USA,11.58,2025-12-17,30.16,1.59,4.50%,5.47,6.432,18.271,"5,916",101.50%,105.74%  (  -3.17%),38.65%,"1,337,654",7,5,5,90,Capital Markets,
NKE,USA,64.36,2025-12-18,45.48,1.88,-6.19%,2.04,9.144,0.000,"3,044",31.05%,39.26%  (  +2.27%),44.20%,"1,549,400",4,4,4,65,Footwear & Accessories,"UA, 0.88(6M)"
CCL,Panama,25.96,2025-12-19,35.91,1.05,1.14%,1.29,5.296,0.000,"1,622",42.06%,47.00%  (  +2.47%),28.01%,"1,311,906",10,5,5,90,Travel Services,"NCLH, 0.95(12M)
RCL, 0.94(12M)"
10:10:49 AM,,,,,,,,,,,,,,,,,,,,
