SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector
STWD,USA,19.04,2025-05-09,50.81,0.43,-3.13%,3.15,4.401,3.016,959,38.16%,24.16%  (  -1.34%),33.25%,"136,888",5,5,5,75,REIT - Mortgage
NRG,USA,120.34,2025-05-12,72.21,4.70,28.75%,0.87,8.608,6.689,"2,171",68.36%,45.97%  (  -0.04%),31.76%,"57,904",7,4,4,80,Utilities - Independent Power Producers
SRAD,Switzerland,22.55,2025-05-12,48.50,1.12,32.86%,5.86,10.847,10.206,"3,183",53.21%,56.66%  (  -1.26%),51.46%,"38,693",10,5,5,85,Software - Application
ACHR,USA,8.76,2025-05-12,57.31,0.61,37.65%,-,9.339,13.414,"39,942",88.58%,86.07%  (  -7.63%),42.81%,"520,721",9,5,4,70,Aerospace & Defense
PBR,USA,11.65,2025-05-12,45.37,0.40,-14.51%,0.47,3.458,5.022,"26,007",49.81%,32.30%  (  -16.83%),31.57%,"1,027,052",7,5,4,78,Oil & Gas Integrated
RGTI,USA,10.31,2025-05-12,58.15,0.90,73.76%,274.21,27.801,18.041,"183,522",108.76%,122.65%  (  +17.18%),8.17%,"676,423",7,5,5,60,Computer Hardware
ACHC,USA,24.22,2025-05-12,46.13,1.32,-48.83%,0.71,12.403,18.684,542,59.85%,93.62%  (  -5.43%),91.81%,"19,513",4,4,4,60,Medical Care Facilities
JD,USA,34.12,2025-05-13,43.28,1.26,-5.08%,0.28,7.856,9.129,"124,025",49.07%,54.73%  (  -0.30%),45.34%,"1,226,741",6,5,5,85,Internet Retail
TME,USA,14.21,2025-05-13,60.09,0.57,17.04%,2.52,9.764,8.799,894,51.74%,55.13%  (  -0.48%),46.66%,"72,336",8,5,5,90,Internet Content & Information
VG,USA,9.16,2025-05-13,49.47,0.70,-25.92%,-,4.305,21.017,"4,830",96.42%,102.75%  (  +7.20%),67.16%,"158,722",,4,4,0,Oil & Gas Midstream
SE,USA,145.82,2025-05-13,70.98,5.64,36.77%,4.72,11.783,10.252,"9,503",66.97%,54.33%  (  -1.80%),55.19%,"321,429",8,5,5,85,Internet Retail
ONON,Switzerland,49.72,2025-05-13,62.44,2.20,0.29%,6.11,11.204,10.576,"6,806",78.48%,57.70%  (  -4.21%),43.18%,"260,160",10,5,5,88,Footwear & Accessories
EXEL,USA,36.50,2025-05-13,45.67,1.37,12.99%,4.64,8.586,8.219,"1,481",37.21%,53.27%  (  +0.42%),64.53%,"34,345",6,4,4,88,Biotechnology
OKLO,USA,26.95,2025-05-13,55.53,2.45,26.51%,-,11.977,16.529,"40,981",105.29%,112.97%  (  +4.58%),33.83%,"334,264",8,4,5,70,Utilities - Regulated Electric
CSCO,USA,59.71,2025-05-14,59.03,1.33,5.66%,4.38,5.555,5.426,"29,114",41.16%,29.26%  (  -0.07%),55.60%,"999,608",9,4,4,85,Communication Equipment
BOOT,USA,118.84,2025-05-13,66.07,6.14,-12.43%,1.97,10.962,11.872,513,78.05%,62.39%  (  +1.41%),55.22%,"17,633",7,5,5,85,Apparel Retail
NXT,USA,44.60,2025-05-14,59.12,2.14,10.55%,2.34,15.801,14.574,"3,225",51.35%,74.29%  (  -0.30%),67.60%,"63,149",9,5,4,85,Solar
SONY,USA,24.45,2025-05-13,48.55,0.64,17.08%,1.62,2.376,6.896,"2,269",41.40%,42.13%  (  +6.20%),69.44%,"88,801",8,5,4,84,Consumer Electronics
BTDR,Cayman Islands,13.54,2025-05-15,69.12,1.13,16.49%,7.45,22.849,16.607,"30,352",132.98%,117.12%  (  -4.14%),54.30%,"188,593",5,5,5,55,Software - Application
BEKE,USA,19.32,2025-05-15,42.37,0.88,2.61%,1.71,7.789,9.410,"5,162",49.91%,58.83%  (  +0.50%),28.34%,"496,544",7,5,5,82,Real Estate Services
WMT,USA,97.43,2025-05-15,59.31,2.32,12.31%,1.14,4.946,5.545,"130,277",37.63%,31.71%  (  +0.04%),51.59%,"1,708,127",7,5,5,88,Discount Stores
BABA,USA,125.79,2025-05-15,56.57,4.69,24.41%,2.21,5.287,7.910,"160,884",60.38%,49.63%  (  -0.06%),44.95%,"2,520,609",8,5,5,88,Internet Retail
DE,USA,489.99,2025-05-15,61.78,14.27,13.89%,2.77,4.768,6.063,"3,877",43.14%,38.84%  (  +1.95%),55.54%,"66,533",9,4,4,58,Farm & Heavy Construction Machinery
NTES,USA,106.49,2025-05-15,56.98,2.54,14.54%,4.63,6.111,7.604,"2,663",37.34%,45.25%  (  +0.12%),41.03%,"43,104",8,5,5,84,Electronic Gaming & Multimedia
TTWO,USA,225.45,2025-05-15,55.42,8.05,24.06%,7.30,6.848,6.791,"7,969",44.27%,38.63%  (  -1.13%),59.91%,"140,512",8,5,5,80,Electronic Gaming & Multimedia
DOCS,USA,59.35,2025-05-15,55.97,2.56,17.17%,20.24,16.007,18.971,"1,547",54.06%,88.11%  (  -1.91%),83.01%,"52,344",9,4,4,88,Health Information Services
AMAT,USA,156.00,2025-05-15,58.41,5.87,-11.26%,4.59,5.272,7.083,"14,298",68.37%,45.56%  (  -0.56%),41.86%,"350,065",10,5,5,88,Semiconductor Equipment & Materials
CAVA,USA,95.94,2025-05-15,58.14,4.86,-15.18%,11.51,12.480,11.594,"21,090",73.98%,67.05%  (  -2.27%),51.24%,"179,159",7,4,5,88,Restaurants
