SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector
JD,USA,36.05,2025-05-13,53.97,1.30,0.04%,0.29,7.856,7.831,"173,901",51.64%,51.51%  (  +0.04%),38.36%,"1,211,568",6,5,5,85,Internet Retail
TME,USA,14.33,2025-05-13,60.83,0.58,18.11%,2.54,9.764,8.626,"10,506",51.12%,55.08%  (  +1.56%),46.56%,"72,983",8,5,5,90,Internet Content & Information
LEGN,USA,32.38,2025-05-13,45.13,1.62,-21.75%,9.48,10.059,7.221,680,50.73%,75.86%  (  -0.64%),57.54%,"11,065",8,5,4,70,Biotechnology
SE,USA,142.45,2025-05-13,62.97,5.71,32.68%,4.61,11.783,8.875,"64,016",67.85%,51.37%  (  -2.40%),48.63%,"321,019",8,5,5,85,Internet Retail
ONON,Switzerland,51.31,2025-05-13,65.96,2.17,3.28%,6.31,11.204,8.931,"45,955",78.03%,53.08%  (  -3.54%),35.12%,"262,730",10,5,5,88,Footwear & Accessories
VG,USA,9.91,2025-05-13,57.65,0.70,-19.38%,-,4.305,13.618,"31,644",95.44%,93.12%  (  -10.96%),54.55%,"164,593",,4,4,0,Oil & Gas Midstream
EXEL,USA,36.98,2025-05-13,49.13,1.34,13.97%,4.70,8.586,8.335,"4,968",37.81%,56.89%  (  -0.87%),71.24%,"35,326",6,4,4,88,Biotechnology
OKLO,USA,28.85,2025-05-13,60.26,2.44,34.19%,-,11.977,13.476,"52,831",99.54%,110.62%  (  -7.60%),31.99%,"320,113",8,4,5,70,Utilities - Regulated Electric
CLBT,Israel,19.85,2025-05-14,55.03,0.76,4.71%,11.85,13.766,9.067,509,40.49%,58.84%  (  -1.37%),44.56%,"8,366",8,5,5,80,Software - Infrastructure
GLBE,Israel,41.48,2025-05-14,70.04,1.86,-2.28%,9.34,15.562,11.655,"5,401",88.40%,61.27%  (  -9.30%),50.27%,"89,309",5,5,5,78,Internet Retail
CSCO,USA,61.67,2025-05-14,67.36,1.39,8.86%,4.53,5.555,5.181,"81,392",42.06%,27.13%  (  -1.78%),47.62%,"995,810",9,4,4,85,Communication Equipment
NXT,USA,50.63,2025-05-14,71.86,2.32,25.45%,2.63,15.801,14.114,"23,225",57.14%,73.36%  (  -1.65%),65.62%,"65,698",8,5,4,85,Solar
BOOT,USA,133.30,2025-05-14,74.56,7.16,-1.81%,2.21,10.962,10.692,"1,643",84.79%,62.59%  (  -2.35%),55.59%,"17,973",9,5,5,85,Apparel Retail
SONY,USA,24.74,2025-05-13,51.58,0.60,18.09%,1.63,2.376,6.672,"2,202",41.06%,36.18%  (  -3.57%),52.47%,"88,967",7,5,4,84,Consumer Electronics
BABA,USA,132.55,2025-05-15,63.60,4.84,30.41%,2.33,5.287,6.676,"261,742",61.77%,48.37%  (  -1.18%),42.42%,"2,456,455",9,5,5,88,Internet Retail
WMT,USA,96.75,2025-05-15,56.85,2.24,11.19%,1.14,4.946,5.321,"142,546",37.70%,30.90%  (  -2.17%),49.37%,"1,689,789",7,5,5,88,Discount Stores
NTES,USA,106.82,2025-05-15,56.28,2.74,14.76%,4.64,6.111,5.884,"1,077",39.17%,42.16%  (  -2.01%),33.33%,"44,901",8,5,5,84,Electronic Gaming & Multimedia
BTDR,Cayman Islands,14.18,2025-05-15,71.19,1.14,21.61%,7.80,22.849,15.338,"17,323",129.99%,119.55%  (  -4.19%),57.53%,"190,223",6,5,5,55,Software - Application
BIRK,Jersey,53.28,2025-05-15,65.37,1.99,2.80%,4.96,10.612,9.344,"1,546",49.27%,47.92%  (  -4.88%),43.03%,"27,725",5,5,5,88,Footwear & Accessories
DE,USA,495.62,2025-05-15,63.94,14.15,14.87%,2.80,4.768,5.060,"10,766",42.08%,31.66%  (  -4.41%),36.87%,"66,413",9,4,4,58,Farm & Heavy Construction Machinery
