SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
ETOR,Virgin Islands (British),52.17,2025-08-12,35.53,3.50,-15.75%,0.34,0.000,11.178,"2,261",49.81%,61.68%  (  -13.97%),0.00%,"27,645",9,4,4,0,Capital Markets,
SE,USA,169.68,2025-08-12,63.45,6.97,29.36%,5.18,10.775,10.734,"20,474",60.05%,40.93%  (  -15.13%),25.69%,"404,399",9,4,5,85,Internet Retail,
CAH,USA,144.28,2025-08-12,28.89,4.36,5.70%,0.15,4.947,4.204,"3,097",33.77%,27.63%  (  -2.31%),31.91%,"58,703",10,5,5,80,Medical Distribution,
TME,USA,24.85,2025-08-12,79.10,0.87,70.43%,3.57,9.857,7.682,"4,504",40.70%,42.01%  (  -8.83%),12.30%,"99,721",8,5,5,90,Internet Content & Information,
ONON,Switzerland,49.10,2025-08-12,47.61,2.02,-5.89%,5.56,10.457,11.387,"24,200",42.92%,41.12%  (  -22.08%),14.28%,"465,918",7,5,5,93,Footwear & Accessories,
PONY,USA,13.45,2025-08-12,47.34,1.12,1.56%,48.21,6.262,10.902,"5,510",69.52%,78.52%  (  -7.02%),0.19%,"124,286",8,5,5,74,Information Technology Services,
VG,USA,12.33,2025-08-12,30.58,0.90,-7.61%,-,7.711,11.033,"1,691",56.94%,78.32%  (  -3.96%),35.18%,"304,319",6,4,4,81,Oil & Gas Midstream,
LITE,USA,117.38,2025-08-12,72.61,4.31,46.66%,5.53,13.285,10.961,"1,509",37.57%,68.09%  (  +0.48%),37.24%,"74,858",10,4,4,92,Communication Equipment,
RGTI,USA,15.65,2025-08-12,55.47,1.08,57.54%,548.43,25.066,12.921,"15,356",106.22%,96.92%  (  +3.15%),17.81%,"1,162,223",6,5,5,70,Computer Hardware,
CAVA,USA,83.42,2025-08-12,45.37,3.46,-19.98%,9.31,11.693,10.971,"2,879",45.91%,65.89%  (  -1.28%),48.99%,"247,059",5,4,4,90,Restaurants,
