SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
PEP,USA,138.84,2025-10-09,40.26,2.26,-2.52%,2.07,3.516,3.684,"80,460",17.34%,27.10%  (  +0.72%),49.37%,"469,341",7,4,4,75,Beverages - Non-Alcoholic,"KO, 0.89(6M)"
DAL,USA,57.12,2025-10-09,45.55,1.70,4.91%,0.60,7.592,6.762,"183,303",20.78%,51.53%  (  +0.23%),34.74%,"923,222",6,5,5,85,Airlines,"UAL, 0.94(6M)"
APLD,USA,27.94,2025-10-09,77.69,1.92,165.72%,33.90,18.065,15.199,"107,183",81.99%,132.08%  (  +0.57%),59.35%,"802,041",7,5,5,85,Information Technology Services,
LEVI,USA,24.66,2025-10-09,74.16,0.53,32.56%,1.54,11.735,10.391,"7,680",21.05%,52.18%  (  +1.49%),43.93%,"79,522",9,5,5,92,Apparel Manufacturing,
C,USA,96.70,2025-10-14,41.46,2.17,18.81%,1.05,4.159,5.232,"58,582",18.20%,33.96%  (  +0.28%),29.02%,"1,592,449",8,4,5,85,Banks - Diversified,
JPM,USA,304.03,2025-10-14,44.27,5.26,12.78%,3.00,3.907,4.609,"42,241",15.35%,28.75%  (  +0.62%),27.80%,"749,480",9,4,5,80,Banks - Diversified,"BAC, 0.85(6M)"
WFC,USA,79.73,2025-10-14,39.97,1.66,4.82%,2.07,4.646,5.044,"48,208",20.61%,32.31%  (  +0.43%),28.65%,"1,200,452",7,4,4,80,Banks - Diversified,
ACI,USA,17.35,2025-10-14,37.03,0.35,-15.41%,0.12,5.341,6.250,"9,684",19.33%,35.39%  (  -3.27%),18.71%,"120,615",4,4,4,60,Grocery Stores,
GS,USA,776.51,2025-10-14,48.49,17.10,20.62%,1.87,4.413,5.099,"23,570",19.02%,33.09%  (  +1.04%),28.40%,"284,198",8,4,4,85,Capital Markets,"MS, 0.96(6M)"
JNJ,USA,189.69,2025-10-14,75.65,2.85,17.94%,5.04,2.588,3.322,"20,393",13.29%,20.25%  (  -0.35%),34.43%,"445,552",9,4,4,88,Drug Manufacturers - General,"PFE, 0.83(6M)"
CFG,USA,52.01,2025-10-15,47.61,1.15,15.97%,1.86,4.259,4.861,"1,737",17.96%,31.75%  (  +1.14%),21.15%,"50,038",8,5,5,80,Banks - Regional,
ASML,USA,987.81,2025-10-15,65.93,24.35,31.51%,10.95,5.966,7.802,"23,548",35.98%,48.28%  (  -0.13%),46.01%,"189,343",9,4,4,82,Semiconductor Equipment & Materials,
FHN,USA,23.06,2025-10-15,58.31,0.48,11.51%,2.39,5.496,5.857,"2,465",18.00%,37.19%  (  -0.58%),29.79%,"160,099",5,4,4,75,Banks - Regional,
PNC,USA,190.16,2025-10-15,28.39,3.86,2.25%,2.22,3.823,4.269,"2,345",14.21%,27.66%  (  +0.09%),24.52%,"39,915",9,4,4,78,Banks - Regional,
BAC,USA,49.84,2025-10-15,41.98,0.89,10.03%,1.86,3.906,4.862,"168,818",13.83%,31.30%  (  +1.52%),29.38%,"2,666,080",8,5,5,80,Banks - Diversified,
ABT,USA,134.27,2025-10-15,53.79,2.58,3.57%,5.42,3.642,4.546,"3,553",15.03%,28.84%  (  +2.27%),52.14%,"196,426",8,5,5,85,Medical Devices,
PGR,USA,243.06,2025-10-15,47.62,4.13,-6.15%,1.73,0.959,5.160,866,14.73%,27.73%  (  -0.28%),23.85%,"45,807",6,4,4,88,Insurance - Property & Casualty,
MS,USA,155.65,2025-10-15,50.58,3.08,16.43%,2.27,3.773,4.886,"9,210",16.19%,32.06%  (  +0.36%),24.01%,"508,661",7,4,4,85,Capital Markets,"GS, 0.96(6M)"
PLD,USA,115.99,2025-10-15,58.42,2.13,5.37%,12.89,4.465,4.120,"1,120",17.50%,27.51%  (  +0.66%),15.35%,"68,669",4,4,4,80,REIT - Industrial,
SYF,USA,70.97,2025-10-15,39.81,1.94,11.22%,1.36,8.318,6.970,"1,320",20.38%,41.68%  (  +0.66%),28.11%,"51,193",6,4,4,77,Credit Services,
UAL,USA,98.09,2025-10-15,45.94,3.15,10.50%,0.55,8.326,10.418,"109,812",24.32%,59.57%  (  +4.12%),32.13%,"473,670",5,5,5,88,Airlines,"DAL, 0.94(6M)
RCL, 0.94(12M)"
LVS,USA,53.27,2025-10-15,49.42,1.56,16.34%,3.15,5.661,8.495,"15,148",33.55%,44.46%  (  -1.14%),34.48%,"294,690",6,4,4,80,Resorts & Casinos,
KMI,USA,28.14,2025-10-15,58.15,0.50,2.32%,3.93,3.583,3.115,"8,887",13.83%,26.71%  (  -0.25%),22.33%,"356,125",9,4,4,85,Oil & Gas Midstream,
CCI,USA,96.42,2025-10-15,51.42,1.86,-1.87%,7.74,5.056,3.457,"1,159",19.07%,26.88%  (  +0.88%),25.03%,"46,480",6,5,4,70,REIT - Specialty,
KEY,USA,18.09,2025-10-16,35.63,0.41,6.04%,2.12,4.056,4.854,"3,308",15.01%,31.92%  (  +0.67%),20.04%,"207,311",5,4,4,85,Banks - Regional,
TRV,USA,282.76,2025-10-16,58.96,4.39,8.65%,1.33,4.991,4.783,565,15.29%,25.55%  (  -1.46%),21.75%,"12,985",6,4,4,88,Insurance - Property & Casualty,
SCHW,USA,93.79,2025-10-16,48.51,1.88,9.50%,6.38,5.246,5.984,"15,633",26.46%,32.57%  (  +1.10%),33.11%,"432,783",6,5,5,85,Capital Markets,"AMTD, 0.84(6M)"
USB,USA,46.99,2025-10-16,36.80,0.89,3.57%,1.74,3.787,4.401,"16,606",14.89%,33.42%  (  +5.18%),32.67%,"218,941",5,4,4,85,Banks - Regional,
CSX,USA,35.95,2025-10-16,64.26,0.74,11.83%,4.73,3.824,4.279,"5,132",21.98%,26.39%  (  +0.89%),28.44%,"438,646",10,5,5,70,Railroads,
IBKR,USA,72.05,2025-10-16,70.79,2.16,34.45%,3.29,6.111,6.931,"9,924",34.01%,43.66%  (  +0.20%),32.57%,"226,362",9,5,5,88,Capital Markets,
TSM,USA,304.52,2025-10-16,73.87,8.91,44.41%,14.88,3.853,7.292,"156,887",30.07%,46.99%  (  +1.47%),40.18%,"1,742,845",10,5,5,82,Semiconductors,
RF,USA,25.29,2025-10-17,32.47,0.55,7.21%,2.38,4.237,5.027,976,16.20%,30.96%  (  +0.49%),23.40%,"98,873",10,4,4,85,Banks - Regional,
FITB,USA,43.54,2025-10-17,37.07,0.95,5.36%,2.13,4.300,4.568,"1,633",14.37%,29.64%  (  -0.17%),23.14%,"74,267",9,4,4,85,Banks - Regional,
STT,USA,116.69,2025-10-17,59.46,2.21,16.17%,1.53,5.234,5.945,"1,293",16.36%,33.90%  (  +0.33%),29.43%,"33,042",6,4,4,85,Asset Management,"BK, 0.83(6M)"
TFC,USA,44.14,2025-10-17,35.97,0.90,2.61%,1.87,3.229,4.335,"4,893",14.30%,29.12%  (  +0.55%),24.20%,"197,486",7,4,4,70,Banks - Regional,
ALLY,USA,39.08,2025-10-17,38.27,1.11,5.01%,0.78,6.507,7.917,"4,377",20.89%,44.24%  (  +1.61%),37.48%,"112,924",9,4,4,70,Credit Services,
HBAN,USA,16.34,2025-10-17,31.13,0.38,1.25%,1.98,3.937,4.938,"4,545",17.76%,32.04%  (  +1.54%),29.97%,"83,582",10,5,4,85,Banks - Regional,
SLB,,33.97,2025-10-17,43.61,0.97,-7.48%,1.43,3.469,5.667,"40,156",24.77%,38.23%  (  -0.08%),35.23%,"781,862",9,5,5,80,Oil & Gas Equipment & Services,
CLF,USA,13.90,2025-10-20,73.68,0.61,46.65%,0.37,9.153,14.636,"107,779",47.69%,74.02%  (  -0.20%),49.52%,"852,722",6,4,4,85,Steel,
AGNC,USA,10.16,2025-10-20,59.29,0.16,6.43%,4.93,3.868,4.302,"12,048",17.42%,23.49%  (  -0.06%),21.62%,"707,816",9,4,5,55,REIT - Mortgage,
STLD,USA,146.55,2025-10-20,66.16,3.69,14.02%,1.26,7.299,10.944,"5,476",29.78%,38.56%  (  +1.91%),23.92%,"28,574",6,5,5,80,Steel,
RTX,USA,168.57,2025-10-21,71.19,2.69,21.54%,2.70,4.453,5.480,"4,886",16.38%,27.57%  (  -0.66%),28.03%,"190,908",6,4,4,85,Aerospace & Defense,
LMT,USA,514.02,2025-10-21,81.09,7.61,11.00%,1.67,4.469,5.360,"4,579",13.09%,27.84%  (  -0.15%),43.82%,"120,505",9,4,4,65,Aerospace & Defense,"NOC, 0.84(6M)"
