SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
PVH,USA,64.69,2025-03-31,33.82,2.78,0.41,10.959,13.140,"1,243",37.69%,65.46%  (  +6.50%),99.73%,"12,574",4,4,4,80
LEVI,USA,15.69,2025-04-07,37.67,0.55,0.98,7.756,10.516,692,34.89%,49.03%  (  +0.36%),79.58%,"39,149",7,4,4,78
DAL,USA,43.84,2025-04-09,29.65,2.41,0.46,6.093,9.821,"54,544",52.99%,53.47%  (  +3.67%),71.11%,"732,721",7,5,5,85
BK,USA,82.71,2025-04-11,43.96,1.90,1.49,4.484,5.942,"1,049",24.17%,30.14%  (  -1.61%),69.31%,"63,832",7,4,4,88
WFC,USA,70.69,2025-04-11,40.93,2.10,1.83,4.088,6.677,"76,018",32.88%,36.47%  (  +1.27%),66.18%,"1,105,836",7,4,4,85
JPM,USA,242.85,2025-04-11,45.14,6.24,2.40,3.236,5.405,"81,084",29.36%,30.36%  (  +3.98%),65.96%,"706,212",9,4,5,90
MS,USA,115.33,2025-04-15,38.24,4.07,1.80,3.448,7.414,"48,428",40.54%,37.12%  (  +3.13%),72.87%,"555,634",5,4,4,85
GS,USA,543.12,2025-04-21,37.87,18.56,1.34,3.705,7.893,"39,893",35.79%,36.12%  (  +3.17%),77.92%,"259,777",6,4,4,85
MTB,USA,175.28,2025-04-14,38.27,4.35,2.15,4.436,6.991,201,23.23%,34.61%  (  +1.66%),83.79%,"9,427",7,4,4,70
C,USA,70.33,2025-04-15,40.38,2.18,0.77,3.596,7.451,"114,264",34.15%,36.65%  (  +2.71%),72.26%,"1,705,940",6,5,5,80
PNC,USA,171.88,2025-04-15,34.54,3.96,2.01,3.861,5.905,"2,648",23.42%,28.89%  (  +0.75%),70.20%,"40,778",7,4,4,80
BAC,USA,41.25,2025-04-15,39.42,1.10,1.58,3.660,6.788,"265,748",31.26%,33.24%  (  +3.04%),84.19%,"2,473,925",7,5,5,80
IBKR,USA,164.72,2025-04-15,34.90,8.25,7.41,4.558,9.288,"4,475",56.36%,47.45%  (  +3.39%),69.03%,"52,196",8,5,5,90
PLD,USA,110.45,2025-04-16,39.68,2.65,12.80,4.365,5.528,"1,995",24.73%,28.27%  (  +1.69%),42.63%,"56,155",4,4,4,74
FHN,USA,19.23,2025-04-16,43.64,0.58,1.98,5.189,8.060,371,34.90%,38.87%  (  +1.00%),73.93%,"35,532",4,4,4,70
AA,USA,30.66,2025-04-16,36.70,1.53,0.65,4.278,11.280,"33,113",50.07%,55.38%  (  +2.07%),74.83%,"232,186",4,4,5,73
CSX,USA,29.11,2025-04-16,33.62,0.61,3.79,3.550,5.582,"3,247",23.14%,27.63%  (  +2.58%),46.82%,"135,924",8,4,4,65
REXR,USA,39.42,2025-04-16,45.12,1.04,9.63,3.774,6.026,"4,738",22.84%,30.91%  (  -3.82%),49.32%,"10,592",8,4,4,76
FR,USA,53.65,2025-04-16,39.92,1.06,10.90,4.301,6.547,3,18.71%,35.71%  (  -3.30%),65.75%,179,6,4,4,85
HOMB,USA,28.14,2025-04-16,42.27,0.61,3.82,8.284,9.730,3,20.17%,40.98%  (  +1.12%),54.93%,606,7,4,4,80
SNV,USA,46.13,2025-04-16,38.61,1.57,1.90,3.398,8.081,393,35.18%,41.09%  (  +1.16%),69.68%,"10,676",7,4,4,75
FNB,USA,13.41,2025-04-16,37.38,0.35,1.87,4.130,10.262,48,25.67%,45.48%  (  -15.32%),36.29%,"4,342",5,5,5,87
LVS,USA,38.18,2025-04-16,26.10,1.38,2.42,4.343,7.155,"6,946",31.57%,41.67%  (  +2.42%),87.89%,"251,150",7,4,5,80
ASML,USA,674.58,2025-04-16,37.98,21.01,8.69,6.032,9.278,"19,614",40.47%,45.33%  (  +3.18%),70.15%,"146,534",7,4,4,82
EFX,USA,240.33,2025-04-16,44.63,5.99,5.28,5.463,6.595,82,24.13%,34.82%  (  +1.88%),62.85%,"5,783",6,5,5,70
RF,USA,21.42,2025-04-17,37.83,0.58,2.07,4.331,6.769,512,24.37%,32.60%  (  +1.45%),61.13%,"105,879",5,4,4,78
KEY,USA,15.80,2025-04-17,41.13,0.50,1.90,4.626,8.133,"4,595",30.29%,36.38%  (  +1.78%),54.40%,"165,307",7,4,4,70
HBAN,USA,14.79,2025-04-18,38.83,0.40,1.82,3.546,9.128,"1,060",26.32%,32.98%  (  +2.00%),66.90%,"70,579",5,4,4,80
STT,USA,89.04,2025-04-17,40.49,2.35,1.21,5.230,6.907,412,28.35%,34.19%  (  +2.78%),82.17%,"32,611",5,4,4,85
SCHW,USA,77.81,2025-04-21,48.57,2.04,5.58,4.958,7.865,"21,058",29.85%,35.21%  (  +2.01%),69.82%,"443,050",8,5,4,85
AXP,USA,265.48,2025-04-17,38.29,7.66,2.51,4.644,7.185,"18,476",31.14%,35.50%  (  +2.79%),83.61%,"225,289",5,4,4,85
BANC,USA,14.16,2025-04-22,45.49,0.49,1.26,9.683,11.830,"3,014",35.97%,38.72%  (  +1.30%),39.68%,"24,519",7,4,4,70
FCX,USA,38.42,2025-04-22,47.74,1.67,2.20,3.841,10.081,"72,020",50.91%,47.65%  (  +3.00%),85.71%,"1,287,725",6,4,4,78
PPG,USA,107.44,2025-04-17,35.17,2.86,1.40,3.979,6.596,591,24.39%,30.13%  (  +5.38%),93.09%,"38,529",9,4,4,80
ALK,USA,50.33,2025-04-17,28.50,2.55,0.53,7.083,14.405,"6,478",52.65%,51.72%  (  +1.46%),65.13%,"100,299",9,5,5,85
