SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector
COR,USA,290.81,2025-05-07,63.03,5.95,18.24%,0.19,4.839,4.819,"5,357",20.65%,28.61%  (  +2.67%),64.46%,"49,328",4,4,4,80,Medical Distribution
BGC,USA,9.49,2025-05-07,62.22,0.35,1.13%,2.05,12.242,8.694,"1,795",52.75%,44.16%  (  +0.08%),44.99%,"14,914",6,4,4,80,Capital Markets
JCI,Ireland,88.81,2025-05-07,67.46,2.72,13.41%,2.29,6.318,7.543,"15,921",50.90%,43.36%  (  +1.10%),61.42%,"99,887",4,4,4,86,Building Products & Equipment
BRKR,USA,39.45,2025-05-07,47.09,1.89,-29.50%,1.78,9.189,11.217,"3,412",65.01%,60.55%  (  -0.52%),58.00%,"6,589",9,4,4,73,Medical Devices
FLEX,Singapore,36.77,2025-05-07,62.08,1.72,3.49%,0.55,9.654,8.931,"8,974",77.77%,49.38%  (  +2.75%),43.64%,"21,300",4,5,5,85,Electronic Components
EMR,USA,107.27,2025-05-07,53.84,3.66,-6.64%,3.45,5.581,4.396,"4,141",54.04%,39.36%  (  +2.23%),52.99%,"74,202",9,4,4,85,Specialty Industrial Machinery
AXTA,Bermuda,33.27,2025-05-07,57.23,1.11,-6.59%,1.38,6.128,5.947,515,48.93%,37.79%  (  -1.22%),46.40%,"5,922",4,4,4,85,Specialty Chemicals
GEO,USA,30.37,2025-05-07,53.68,1.55,33.14%,1.79,8.404,7.740,"40,552",51.98%,63.84%  (  -2.45%),26.17%,"321,951",9,5,4,80,Security & Protection Services
ENTG,USA,83.03,2025-05-07,54.62,4.74,-18.74%,3.88,10.167,10.133,"3,065",106.63%,62.31%  (  +1.86%),46.90%,"17,008",8,5,4,78,Semiconductor Equipment & Materials
DIS,USA,92.17,2025-05-07,52.58,2.92,-7.84%,1.81,7.050,6.805,"161,821",54.66%,40.06%  (  -1.46%),56.65%,"900,020",5,5,5,88,Entertainment
TEVA,USA,16.12,2025-05-07,62.14,0.65,-7.97%,1.12,8.163,9.305,"42,960",51.40%,56.19%  (  +3.47%),61.56%,"1,045,031",5,5,5,70,Drug Manufacturers - Specialty & Generic
VST,USA,144.80,2025-05-07,67.46,8.23,15.19%,2.54,8.910,8.265,"60,888",89.45%,65.52%  (  -0.01%),38.62%,"385,018",8,5,5,90,Utilities - Independent Power Producers
U,USA,21.32,2025-05-07,53.09,1.26,2.26%,4.89,13.949,12.841,"86,893",84.12%,81.20%  (  -3.21%),42.79%,"701,080",7,4,4,75,Software - Application
PFGC,USA,81.08,2025-05-07,56.51,2.43,1.31%,0.21,6.187,7.523,"7,854",39.90%,38.67%  (  +2.90%),68.79%,"7,269",6,4,4,85,Food Distribution
LFST,USA,6.55,2025-05-07,45.98,0.24,-6.19%,2.04,12.385,10.306,"1,656",38.84%,40.61%  (  -9.16%),23.84%,"25,857",5,5,5,75,Medical Care Facilities
PAYO,USA,7.13,2025-05-07,53.48,0.31,-15.29%,2.64,15.017,16.616,"9,456",62.41%,92.74%  (  +7.97%),37.68%,"45,990",8,5,4,85,Software - Infrastructure
DAY,USA,58.19,2025-05-07,54.56,2.11,-8.78%,5.23,10.366,8.550,635,55.83%,45.61%  (  -2.54%),41.63%,"3,468",4,4,4,85,Software - Application
UBER,USA,85.83,2025-05-07,71.46,3.31,19.61%,4.08,8.400,7.493,"309,810",53.18%,47.26%  (  -1.92%),44.51%,"1,476,727",9,5,5,88,Software - Application
KD,USA,33.27,2025-05-07,57.09,1.37,9.07%,0.51,12.545,12.324,"1,499",57.99%,62.80%  (  +3.55%),63.29%,"43,801",9,5,5,70,Information Technology Services
PR,USA,11.97,2025-05-07,47.53,0.58,-14.71%,1.94,7.394,6.604,970,84.52%,46.75%  (  +0.61%),38.91%,"119,734",6,5,5,85,Oil & Gas E&P
CORZ,USA,8.99,2025-05-07,61.47,0.68,-23.37%,5.19,11.180,11.123,"23,867",104.97%,93.66%  (  -0.45%),50.60%,"1,361,573",8,5,5,60,Software - Infrastructure
CVNA,USA,258.81,2025-05-07,66.07,15.70,27.52%,4.04,14.587,13.416,"37,525",113.48%,80.46%  (  -0.58%),44.37%,"367,293",10,4,4,85,Auto & Truck Dealerships
ADMA,USA,23.12,2025-05-07,58.56,1.38,28.21%,12.93,18.268,13.625,"2,594",72.69%,73.72%  (  +1.73%),56.85%,"94,677",10,4,4,85,Biotechnology
FLUT,Ireland,245.41,2025-05-07,58.09,8.00,1.92%,3.09,6.177,7.722,937,47.81%,42.54%  (  +1.55%),41.96%,"25,871",,5,5,70,Gambling
IONQ,USA,29.42,2025-05-07,58.09,2.45,28.36%,166.35,13.907,13.787,"18,922",104.09%,106.32%  (  +1.04%),54.77%,"382,483",7,5,5,60,Computer Hardware
BROS,USA,59.60,2025-05-07,47.44,3.28,19.60%,7.59,13.768,14.933,"7,423",67.63%,76.53%  (  -2.81%),61.64%,"66,969",7,5,5,82,Restaurants
APP,USA,304.62,2025-05-07,57.61,24.82,26.49%,21.89,14.752,20.105,"30,236",121.02%,118.36%  (  +0.08%),77.95%,"360,466",10,4,5,85,Software - Application
COHR,USA,69.79,2025-05-07,58.84,4.71,-16.30%,2.04,12.542,11.663,"12,443",112.67%,79.64%  (  +1.62%),55.98%,"96,593",6,5,5,70,Scientific & Technical Instruments
ARM,USA,122.44,2025-05-07,61.91,6.56,-8.88%,34.94,11.669,10.277,"37,473",91.05%,65.86%  (  +0.16%),40.92%,"768,029",8,4,5,88,Semiconductors
RELY,USA,21.20,2025-05-07,59.00,0.79,12.85%,3.42,17.438,15.600,"7,275",44.34%,69.32%  (  -3.42%),55.62%,"22,331",9,5,5,80,Software - Infrastructure
HRB,USA,61.20,2025-05-07,59.53,1.73,5.91%,2.26,7.930,8.702,793,30.25%,44.40%  (  +2.12%),75.04%,"9,673",9,4,4,68,Personal Services
CTVA,USA,62.45,2025-05-07,58.29,1.56,5.75%,2.52,6.981,6.366,647,38.45%,31.04%  (  -0.52%),35.93%,"20,870",9,5,4,80,Agricultural Inputs
GT,USA,10.96,2025-05-07,61.01,0.47,19.01%,0.17,11.221,10.721,"3,079",75.71%,58.99%  (  -0.53%),59.29%,"182,985",9,5,4,65,Auto Parts
CDE,USA,5.79,2025-05-07,51.74,0.36,-6.81%,3.57,15.020,16.647,"1,827",76.69%,79.10%  (  +3.61%),8.94%,"217,465",10,5,5,85,Gold
CAR,USA,97.29,2025-05-07,69.08,5.43,13.83%,0.29,13.998,10.516,"7,862",96.10%,70.84%  (  +2.34%),42.37%,"182,563",6,4,4,56,Rental & Leasing Services
SNDK,USA,33.83,2025-05-07,45.46,2.89,-20.80%,-,0.000,14.632,728,118.59%,82.66%  (  -1.05%),47.75%,"51,204",6,4,4,,Computer Hardware
SRE,USA,75.07,2025-05-08,59.72,1.94,-7.26%,3.78,4.673,5.295,"1,083",36.40%,30.68%  (  -0.36%),52.90%,"60,008",8,4,4,67,Utilities - Diversified
USFD,USA,67.04,2025-05-08,57.61,1.95,4.69%,0.41,5.909,5.346,715,35.03%,35.29%  (  +0.54%),58.18%,"6,480",7,5,5,88,Food Distribution
INSM,USA,67.87,2025-05-08,40.72,3.17,-7.92%,33.93,10.173,9.021,"2,690",48.27%,68.17%  (  +4.25%),11.21%,"67,621",8,5,5,70,Biotechnology
WBD,USA,8.43,2025-05-08,44.41,0.51,-8.25%,0.53,10.089,9.134,"13,157",94.11%,64.15%  (  +1.94%),60.69%,"941,540",8,4,4,65,Entertainment
PENN,USA,15.52,2025-05-08,48.46,0.83,-17.72%,0.36,10.162,8.539,"1,588",81.01%,60.06%  (  -6.89%),41.46%,"380,200",6,4,4,55,Resorts & Casinos
TAP,USA,56.90,2025-05-08,39.91,1.45,-0.37%,0.94,6.272,5.976,567,23.31%,32.34%  (  -0.21%),54.69%,"19,658",9,4,4,68,Beverages - Brewers
ALIT,USA,5.21,2025-05-08,46.39,0.24,-23.39%,1.21,13.185,11.521,837,67.69%,62.93%  (  +3.94%),60.58%,"76,415",10,5,5,70,Software - Application
SGI,USA,60.96,2025-05-08,52.78,2.28,9.25%,2.58,2.957,8.612,"2,481",47.20%,45.92%  (  +1.41%),54.78%,"14,942",8,5,5,80,"Furnishings, Fixtures & Appliances"
TPR,USA,73.31,2025-05-08,61.96,2.99,24.17%,2.24,6.561,8.040,"8,895",59.98%,51.56%  (  +2.81%),54.47%,"208,270",10,5,4,80,Luxury Goods
YETI,USA,27.35,2025-05-08,37.12,1.42,-26.62%,1.24,13.032,11.526,"1,046",69.46%,63.25%  (  +0.10%),65.94%,"29,221",9,4,4,83,Leisure
SN,Cayman Islands,80.08,2025-05-08,49.37,4.65,-16.46%,2.03,11.952,12.191,"26,934",99.01%,72.11%  (  +8.18%),62.42%,"34,914",9,5,4,80,"Furnishings, Fixtures & Appliances"
PLNT,USA,99.87,2025-05-08,59.17,3.28,9.04%,7.13,10.288,8.866,964,33.29%,47.39%  (  -0.96%),65.06%,"16,968",5,5,5,70,Leisure
COP,USA,87.63,2025-05-08,42.73,3.43,-14.82%,2.03,2.926,3.936,"12,599",64.12%,37.01%  (  +0.12%),34.82%,"377,071",10,5,5,85,Oil & Gas E&P
LNG,USA,234.46,2025-05-08,56.03,8.00,13.39%,3.31,3.478,5.545,"1,185",49.15%,34.66%  (  +1.19%),46.11%,"96,761",7,5,5,85,Oil & Gas Midstream
QBTS,USA,7.23,2025-05-08,50.94,0.71,76.74%,238.56,26.210,13.831,"25,391",92.36%,112.57%  (  +2.50%),14.48%,"408,574",8,5,5,60,Computer Hardware
MLCO,USA,5.50,2025-05-08,61.13,0.27,-7.23%,0.50,9.227,5.902,"2,128",55.55%,59.53%  (  -4.75%),5.31%,"42,091",7,4,4,68,Resorts & Casinos
VVV,USA,35.06,2025-05-08,55.13,1.08,-9.39%,2.68,8.184,7.345,617,36.09%,40.37%  (  -9.06%),46.67%,"2,138",6,4,4,72,Auto & Truck Dealerships
PRMB,USA,33.05,2025-05-08,49.86,1.05,16.16%,4.42,4.102,6.884,"2,051",34.24%,33.60%  (  -10.79%),11.08%,"74,368",8,5,5,81,Beverages - Non-Alcoholic
CROX,USA,98.78,2025-05-08,51.88,4.89,-14.00%,1.35,10.574,11.865,"3,832",70.00%,65.04%  (  +3.46%),54.79%,"77,000",8,5,4,75,Footwear & Accessories
PTON,USA,6.99,2025-05-08,61.87,0.46,5.53%,1.04,21.409,18.241,"16,132",85.64%,106.78%  (  +4.05%),48.01%,"463,864",7,4,4,60,Leisure
CLSK,USA,8.09,2025-05-08,49.11,0.69,-24.41%,4.86,7.603,9.122,"42,152",101.31%,94.35%  (  -0.96%),17.42%,"1,253,112",5,5,5,80,Capital Markets
RKLB,USA,22.37,2025-05-08,57.58,1.53,32.04%,23.66,13.396,11.673,"22,084",89.11%,86.01%  (  +0.88%),40.26%,"650,028",6,4,4,75,Aerospace & Defense
MCHP,USA,47.24,2025-05-08,54.67,2.62,-26.69%,5.34,7.898,7.560,"5,731",114.59%,59.31%  (  +4.26%),51.14%,"300,799",8,4,4,60,Semiconductors
NET,USA,122.29,2025-05-08,56.23,6.12,16.01%,25.42,12.765,12.800,"10,436",74.89%,72.35%  (  +1.42%),58.30%,"198,329",10,4,4,73,Software - Infrastructure
MP,USA,24.69,2025-05-08,50.00,2.04,27.42%,19.80,10.093,9.153,"4,404",103.20%,70.76%  (  -2.94%),51.33%,"264,686",10,4,5,65,Other Industrial Metals & Mining
TTD,USA,55.63,2025-05-08,53.01,3.05,-43.61%,11.29,14.376,15.237,"50,047",84.18%,84.62%  (  +1.19%),65.46%,"581,682",8,4,4,70,Software - Application
AUR,USA,7.19,2025-05-08,53.22,0.67,18.27%,-,20.103,14.952,"7,412",109.81%,100.57%  (  -5.33%),41.95%,"208,672",8,4,4,75,Information Technology Services
PINS,USA,26.99,2025-05-08,48.20,1.49,-14.72%,5.01,13.897,13.976,"20,135",69.09%,73.72%  (  +2.63%),67.46%,"489,512",9,5,5,80,Internet Content & Information
RUM,USA,7.62,2025-05-08,46.63,0.48,-2.95%,34.67,15.059,10.828,"2,194",77.56%,86.72%  (  -4.06%),43.92%,"175,567",4,4,4,70,Internet Content & Information
MARA,USA,13.15,2025-05-08,48.73,1.09,-23.69%,6.93,10.597,8.708,"196,819",94.22%,91.57%  (  +3.48%),21.54%,"1,845,284",7,4,4,75,Capital Markets
