SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
CTAS,USA,206.84,2025-09-24,34.04,3.43,-1.58%,8.06,5.779,5.224,657,17.02%,28.02%  (  +1.50%),49.53%,"34,628",6,4,4,90,Specialty Business Services,
JBL,USA,207.97,2025-09-25,45.59,5.78,23.57%,0.78,9.055,12.183,820,32.73%,41.19%  (  -0.06%),40.89%,"38,081",8,5,5,85,Electronic Components,
UEC,USA,11.28,2025-09-26,66.31,0.61,62.84%,74.99,0.000,15.199,"10,906",56.90%,73.32%  (  +0.24%),68.54%,"245,211",10,5,5,,Uranium,
CCL,Panama,31.76,2025-09-26,60.92,0.85,28.41%,1.59,5.606,10.927,"18,418",32.53%,47.72%  (  +0.92%),29.35%,"1,361,416",10,5,5,95,Travel Services,"NCLH, 0.95(12M)
RCL, 0.94(12M)"
NKE,USA,75.35,2025-09-30,48.09,1.82,7.04%,2.40,8.696,10.321,"35,975",25.67%,45.16%  (  +0.08%),58.09%,"1,446,007",6,4,4,55,Footwear & Accessories,"UA, 0.88(6M)"
STZ,USA,145.88,2025-10-01,26.85,4.49,-21.67%,2.56,5.315,7.741,"58,698",30.20%,35.48%  (  -1.13%),47.54%,"157,898",7,4,4,60,Beverages - Brewers,
LEVI,USA,22.55,2025-10-01,71.50,0.53,26.06%,1.41,11.735,10.826,780,25.11%,37.79%  (  -0.57%),19.81%,"57,504",9,4,5,85,Apparel Manufacturing,
MKC,USA,70.13,2025-10-07,48.33,1.41,-7.23%,2.79,5.927,0.000,758,19.54%,26.77%  (  -0.70%),46.83%,"32,133",7,4,4,65,Packaged Foods,
PEP,USA,146.89,2025-10-09,51.63,2.96,1.58%,2.19,3.516,0.000,"330,778",19.48%,21.20%  (  +0.31%),25.47%,"522,143",8,4,4,65,Beverages - Non-Alcoholic,"KO, 0.89(6M)"
PGR,USA,249.01,2025-10-09,52.48,4.00,-4.20%,1.77,0.959,0.000,"8,685",18.80%,23.15%  (  -0.58%),8.54%,"56,522",5,4,4,80,Insurance - Property & Casualty,
DAL,USA,60.55,2025-10-09,58.14,1.90,10.10%,0.64,7.592,0.000,"28,520",40.18%,43.64%  (  -0.87%),21.95%,"1,011,804",5,5,5,96,Airlines,"UAL, 0.94(6M)"
JPM,USA,303.82,2025-10-14,65.69,4.90,16.03%,3.00,3.907,0.000,"61,308",15.17%,21.32%  (  +0.04%),9.49%,"757,443",5,4,4,80,Banks - Diversified,"BAC, 0.85(6M)"
GS,USA,748.90,2025-10-14,59.38,14.22,20.70%,1.80,4.413,0.000,"30,336",22.09%,25.43%  (  -0.33%),11.97%,"270,602",7,4,4,85,Capital Markets,"MS, 0.96(6M)"
