SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector
GPN,USA,79.25,2025-05-06,45.43,3.73,-23.38%,1.93,8.527,7.762,"7,914",82.78%,44.37%  (  -2.97%),50.87%,"111,876",9,4,4,85,Software - Infrastructure
ZTS,USA,158.06,2025-05-06,55.62,4.51,-9.06%,7.62,7.280,7.243,"11,453",33.24%,36.09%  (  +1.18%),60.97%,"46,566",9,5,4,90,Drug Manufacturers - Specialty & Generic
GENI,Guernsey,11.01,2025-05-06,62.64,0.50,28.73%,5.17,16.481,14.545,"1,408",58.72%,67.36%  (  -0.36%),44.18%,"51,763",9,5,5,85,Internet Content & Information
FIS,USA,78.32,2025-05-06,57.59,2.37,-1.88%,4.07,6.237,5.199,"15,664",44.10%,31.35%  (  +1.35%),42.76%,"53,008",8,4,4,70,Information Technology Services
AEP,USA,107.44,2025-05-06,53.99,2.32,7.46%,3.00,3.941,4.049,"3,186",23.86%,22.63%  (  +0.26%),35.77%,"81,563",9,4,4,75,Utilities - Regulated Electric
IQV,USA,152.30,2025-05-06,44.43,6.44,-26.24%,1.74,7.369,8.841,"3,511",53.04%,49.14%  (  +0.24%),62.07%,"75,260",7,4,4,80,Diagnostics & Research
LDOS,USA,147.94,2025-05-06,64.24,3.84,-2.46%,1.14,6.819,7.166,992,29.69%,39.50%  (  -0.40%),64.95%,"25,299",6,4,4,82,Information Technology Services
MPLX,USA,50.63,2025-05-06,47.01,1.47,5.93%,4.65,3.979,4.254,"4,307",34.29%,27.22%  (  +0.68%),41.50%,"108,299",10,4,4,85,Oil & Gas Midstream
DASH,USA,205.40,2025-05-07,65.94,8.65,25.75%,8.12,9.596,8.694,"28,405",63.22%,52.38%  (  +0.84%),49.82%,"200,632",9,4,4,75,Internet Content & Information
MPC,USA,143.33,2025-05-06,60.61,5.43,-6.35%,0.32,5.076,4.718,"8,026",62.81%,37.36%  (  -2.00%),31.04%,"68,301",9,4,4,75,Oil & Gas Refining & Marketing
BALL,USA,51.85,2025-05-06,58.53,1.41,-10.54%,1.24,6.609,6.461,"1,490",36.04%,36.64%  (  +0.17%),57.28%,"56,880",6,4,4,65,Packaging & Containers
ARMK,USA,34.20,2025-05-06,56.20,1.07,-6.92%,0.52,6.384,6.572,940,46.31%,30.85%  (  -5.10%),34.90%,"8,343",7,5,5,80,Specialty Business Services
DUK,USA,120.75,2025-05-06,52.30,2.39,5.62%,3.09,3.493,3.459,"12,464",22.25%,20.48%  (  -0.05%),38.54%,"148,314",9,4,4,85,Utilities - Regulated Electric
CEG,USA,248.27,2025-05-06,64.98,12.35,4.99%,3.30,8.708,7.418,"19,924",81.80%,55.76%  (  -0.74%),37.19%,"186,463",6,4,5,0,Utilities - Renewable
CELH,USA,33.89,2025-05-06,44.03,1.86,5.63%,6.44,14.831,12.762,"107,966",47.82%,74.76%  (  +1.05%),53.16%,"636,244",7,4,5,80,Beverages - Non-Alcoholic
DOCN,USA,32.76,2025-05-06,55.76,1.92,-11.97%,3.85,15.654,13.351,"5,200",84.52%,68.50%  (  -0.53%),54.91%,"61,127",4,4,4,80,Software - Infrastructure
JAZZ,Ireland,118.19,2025-05-06,54.93,4.74,-0.59%,1.79,7.982,7.807,754,54.85%,44.38%  (  -2.19%),57.67%,"8,649",7,5,5,80,Biotechnology
ANET,USA,90.38,2025-05-06,66.84,4.36,-4.73%,16.20,9.228,9.405,"30,440",72.41%,57.63%  (  -3.29%),50.41%,"492,084",10,5,5,85,Computer Hardware
ALAB,USA,72.15,2025-05-06,61.48,4.83,-5.96%,30.02,19.804,13.767,"6,268",94.21%,85.22%  (  +4.69%),36.93%,"117,116",5,5,5,80,Semiconductors
MOS,USA,30.60,2025-05-06,72.62,1.02,14.65%,0.87,5.852,5.689,"4,585",48.27%,38.88%  (  +0.20%),36.25%,"199,354",8,4,4,75,Agricultural Inputs
TEM,USA,54.07,2025-05-06,57.03,4.69,7.22%,13.49,9.696,13.047,"33,915",112.85%,100.11%  (  +6.09%),43.91%,"248,194",9,4,5,75,Health Information Services
AMD,USA,100.59,2025-05-06,56.32,5.02,-21.89%,6.31,8.559,8.798,"406,399",91.00%,57.50%  (  +1.42%),43.77%,"3,591,547",10,4,4,85,Semiconductors
SRPT,USA,63.66,2025-05-06,49.30,3.45,-43.59%,3.29,8.883,9.406,"5,255",74.54%,70.66%  (  +0.86%),33.38%,"72,946",9,5,5,85,Biotechnology
WYNN,USA,82.98,2025-05-06,58.28,3.12,-3.06%,1.24,6.117,6.180,"7,476",61.56%,41.36%  (  -0.30%),32.95%,"226,731",6,5,5,75,Resorts & Casinos
LITE,USA,63.17,2025-05-06,56.98,4.32,-8.10%,3.09,13.055,13.958,"1,408",108.32%,76.87%  (  -1.19%),48.83%,"41,840",8,4,4,65,Communication Equipment
DVN,USA,30.62,2025-05-06,45.59,1.45,-18.56%,1.27,5.004,5.683,"15,491",83.02%,45.90%  (  +0.77%),43.14%,"587,689",5,4,4,85,Oil & Gas E&P
KVYO,USA,31.36,2025-05-06,55.00,1.89,-11.71%,9.14,15.350,17.457,"4,289",75.69%,85.41%  (  +5.54%),78.14%,"37,665",5,5,5,85,Software - Infrastructure
EA,USA,154.74,2025-05-06,68.60,3.88,6.81%,5.50,5.281,6.374,"21,703",31.77%,33.43%  (  -2.35%),49.48%,"145,972",5,4,4,70,Electronic Gaming & Multimedia
ET,USA,16.19,2025-05-06,38.93,0.64,-8.60%,0.67,3.393,4.447,"71,713",47.81%,31.62%  (  -0.47%),38.69%,"1,015,810",8,5,5,88,Oil & Gas Midstream
TECH,USA,49.80,2025-05-07,40.98,2.45,-28.41%,6.58,9.431,9.629,520,57.49%,57.34%  (  +6.63%),68.43%,"1,300",6,4,4,85,Biotechnology
PFGC,USA,82.62,2025-05-07,62.27,2.47,3.34%,0.21,6.187,6.598,"1,068",39.85%,35.77%  (  -0.26%),59.81%,"6,803",7,4,5,85,Food Distribution
COR,USA,291.97,2025-05-07,65.31,6.12,18.88%,0.19,4.839,4.556,815,20.56%,25.95%  (  +0.06%),52.71%,"49,217",4,4,4,80,Medical Distribution
DIS,USA,92.11,2025-05-07,52.44,3.01,-7.92%,1.81,7.050,7.111,"64,350",54.73%,41.52%  (  +1.47%),60.28%,"869,016",5,5,5,88,Entertainment
U,USA,21.47,2025-05-07,54.06,1.29,3.10%,4.92,13.949,13.258,"17,667",85.57%,84.41%  (  +0.73%),46.57%,"694,268",7,4,4,75,Software - Application
TPG,USA,47.15,2025-05-07,52.27,2.36,-17.40%,1.49,7.138,8.015,"2,064",74.88%,50.91%  (  -0.77%),59.04%,"20,374",5,4,4,80,Asset Management
ENTG,USA,83.89,2025-05-07,55.98,4.90,-18.09%,3.92,10.167,10.490,"1,137",106.88%,60.45%  (  +3.78%),44.13%,"16,118",8,5,5,78,Semiconductor Equipment & Materials
TEVA,USA,16.39,2025-05-07,66.08,0.66,-6.43%,1.14,8.163,8.786,"123,627",51.18%,52.72%  (  -5.09%),54.24%,"929,261",5,5,5,65,Drug Manufacturers - Specialty & Generic
EMR,USA,108.38,2025-05-07,56.33,3.79,-5.72%,3.48,5.581,5.568,"3,670",54.35%,37.14%  (  +0.05%),48.42%,"73,763",9,4,4,85,Specialty Industrial Machinery
GEO,USA,31.36,2025-05-07,59.44,1.55,37.89%,1.85,8.404,8.851,"10,899",51.66%,66.29%  (  -9.38%),28.22%,"317,346",9,5,4,80,Security & Protection Services
BG,Switzerland,77.82,2025-05-07,51.01,2.23,-9.46%,0.20,6.216,7.197,694,36.80%,38.27%  (  +0.41%),48.31%,"48,357",5,4,4,65,Farm Products
JCI,Ireland,89.33,2025-05-07,69.13,2.82,14.22%,2.30,6.318,7.699,712,51.15%,42.26%  (  -0.38%),58.77%,"99,576",5,4,4,86,Building Products & Equipment
UBER,USA,85.43,2025-05-07,70.93,3.30,19.22%,4.06,8.400,8.048,"191,733",53.20%,49.18%  (  +2.57%),49.25%,"1,428,413",9,5,5,88,Software - Application
VST,USA,140.00,2025-05-07,64.49,8.14,11.68%,2.46,8.910,8.610,"14,702",89.42%,65.53%  (  +0.77%),38.63%,"378,276",8,5,5,90,Utilities - Independent Power Producers
