SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
LEVI,USA,22.70,2025-10-01,65.19,0.50,25.08%,1.42,11.735,10.174,858,20.52%,44.43%  (  +1.02%),30.94%,"59,830",8,4,5,92,Apparel Manufacturing,
DAL,USA,58.82,2025-10-09,48.46,1.90,7.30%,0.62,7.592,9.670,"59,540",38.03%,49.54%  (  +1.09%),31.51%,"1,026,475",6,5,5,85,Airlines,"UAL, 0.94(6M)"
PGR,USA,243.61,2025-10-09,44.38,4.36,-6.11%,1.73,0.959,0.000,"5,129",17.60%,27.37%  (  -0.90%),22.67%,"58,859",4,4,4,88,Insurance - Property & Casualty,
WFC,USA,82.48,2025-10-14,59.04,1.65,9.51%,2.14,4.646,7.077,"40,845",22.26%,30.57%  (  +0.13%),24.41%,"1,295,916",8,4,4,85,Banks - Diversified,
C,USA,101.76,2025-10-14,71.26,1.90,28.51%,1.11,4.159,7.515,"164,172",20.52%,31.45%  (  +0.46%),23.69%,"1,862,473",8,4,5,85,Banks - Diversified,
JNJ,USA,177.20,2025-10-14,55.87,2.31,11.87%,4.71,2.588,4.311,"12,033",10.04%,18.29%  (  +0.24%),25.80%,"463,762",9,4,4,88,Drug Manufacturers - General,"PFE, 0.83(6M)"
GS,USA,794.22,2025-10-14,70.28,15.05,26.37%,1.91,4.413,7.010,"25,153",22.20%,30.69%  (  +0.72%),23.26%,"292,601",8,4,4,85,Capital Markets,"MS, 0.96(6M)"
JPM,USA,311.75,2025-10-14,68.28,5.00,17.89%,3.07,3.907,6.041,"64,294",16.35%,25.87%  (  -0.29%),20.71%,"805,876",8,4,4,80,Banks - Diversified,"BAC, 0.85(6M)"
APLD,USA,19.83,2025-10-14,74.60,1.24,110.67%,24.06,18.065,22.476,"74,586",76.41%,107.34%  (  +1.55%),30.90%,"727,037",7,5,5,85,Information Technology Services,
PNC,USA,203.77,2025-10-15,57.70,3.54,9.34%,2.37,3.823,6.547,"1,002",18.24%,27.77%  (  +0.18%),24.83%,"45,647",9,4,4,80,Banks - Regional,
