SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
MMM,USA,151.24,2025-07-18,48.12,3.81,7.16%,3.32,6.801,4.760,"56,590",24.41%,24.75%  (  -6.91%),14.80%,"222,950",7,4,4,70,Conglomerates,"GE, 0.8(6M)"
RF,USA,25.90,2025-07-18,74.86,0.57,11.76%,2.49,4.289,4.049,"11,346",25.28%,20.28%  (  -6.80%),0.00%,"85,225",9,4,4,74,Banks - Regional,
SCHW,USA,95.09,2025-07-18,69.99,1.73,19.21%,6.59,4.222,4.181,"71,831",14.70%,20.80%  (  -6.66%),0.00%,"518,610",10,5,5,83,Capital Markets,"AMTD, 0.84(6M)"
T,USA,26.89,2025-07-18,36.78,0.45,6.72%,1.57,4.607,4.731,"23,034",17.82%,27.60%  (  -0.33%),41.78%,"1,151,959",5,5,5,81,Telecom Services,"VZ, 0.88(6M)"
AXP,USA,307.03,2025-07-18,46.84,6.87,5.90%,2.86,4.528,3.638,"44,831",25.23%,23.74%  (  -4.29%),8.69%,"268,720",7,4,4,84,Credit Services,"COF, 0.82(6M)"
TFC,USA,44.38,2025-07-18,58.50,0.90,3.43%,2.41,3.580,3.014,"10,013",22.01%,22.50%  (  -3.44%),7.58%,"239,140",9,4,4,60,Banks - Regional,
HBAN,USA,16.64,2025-07-18,49.47,0.39,4.21%,2.03,4.013,3.615,"6,907",23.78%,25.33%  (  -3.77%),10.75%,"84,041",9,4,4,85,Banks - Regional,
ALLY,USA,39.72,2025-07-18,56.81,0.97,9.68%,0.78,6.819,4.825,"8,481",25.58%,24.93%  (  -10.24%),0.00%,"130,825",9,4,4,65,Credit Services,
SLB,,33.26,2025-07-18,39.53,1.13,-14.71%,1.38,3.439,3.384,"44,410",36.65%,31.69%  (  -3.63%),22.00%,"736,772",9,5,5,68,Oil & Gas Equipment & Services,
IBKR,USA,63.17,2025-07-18,79.26,2.03,34.30%,2.82,6.230,5.003,"53,675",30.41%,34.32%  (  -7.24%),21.75%,"299,366",10,5,5,85,Capital Markets,
