SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector
SRAD,Switzerland,22.77,2025-05-12,50.08,1.09,33.70%,5.92,10.847,9.868,992,53.28%,57.36%  (  +0.70%),52.21%,"40,357",10,5,5,85,Software - Application
NRG,USA,118.44,2025-05-12,68.09,4.60,26.44%,0.86,8.608,6.485,"2,225",68.28%,45.57%  (  -0.40%),30.81%,"58,738",7,4,4,80,Utilities - Independent Power Producers
FOXA,USA,50.40,2025-05-12,50.86,1.46,7.63%,1.45,4.898,5.601,520,46.25%,32.73%  (  -3.58%),45.13%,"16,271",8,4,4,85,Entertainment
RGTI,USA,10.16,2025-05-12,56.86,0.88,69.93%,270.22,27.801,16.248,"116,081",106.15%,118.98%  (  -3.67%),7.74%,"717,194",7,5,5,60,Computer Hardware
ACHR,USA,8.76,2025-05-12,57.25,0.59,37.12%,-,9.339,12.685,"16,431",88.01%,85.57%  (  -0.49%),42.48%,"532,446",9,5,4,70,Aerospace & Defense
PBR,USA,11.77,2025-05-12,47.71,0.39,-13.55%,0.48,3.458,5.091,"12,291",49.99%,39.17%  (  +6.87%),42.11%,"1,042,169",7,5,4,78,Oil & Gas Integrated
VG,USA,9.38,2025-05-13,52.05,0.68,-23.89%,-,4.305,18.051,"3,080",95.67%,103.62%  (  +0.87%),68.30%,"162,630",,4,4,0,Oil & Gas Midstream
SE,USA,140.40,2025-05-13,61.68,5.68,31.23%,4.54,11.783,10.020,"7,042",67.34%,55.10%  (  +0.76%),56.87%,"324,595",8,5,5,85,Internet Retail
JD,USA,33.96,2025-05-13,42.49,1.21,-5.64%,0.28,7.856,8.524,"41,804",48.10%,53.48%  (  -1.26%),42.62%,"1,242,460",6,5,5,85,Internet Retail
ONON,Switzerland,49.62,2025-05-13,62.01,2.11,0.00%,6.10,11.204,9.957,"6,045",78.49%,54.67%  (  -3.04%),37.89%,"262,979",10,5,5,88,Footwear & Accessories
OKLO,USA,26.40,2025-05-13,53.73,2.39,23.42%,-,11.977,15.639,"16,586",101.24%,111.78%  (  -1.19%),32.90%,"345,871",8,4,5,70,Utilities - Regulated Electric
EXEL,USA,36.35,2025-05-13,44.85,1.35,12.28%,4.62,8.586,8.996,"1,243",37.19%,55.35%  (  +2.07%),68.37%,"34,560",6,4,4,88,Biotechnology
CLBT,Israel,19.44,2025-05-14,51.07,0.73,2.74%,11.60,13.766,10.803,"1,484",39.74%,58.74%  (  -3.23%),44.39%,"5,548",7,5,5,75,Software - Infrastructure
SRRK,USA,30.71,2025-05-14,47.28,1.96,8.39%,-,15.615,15.310,"5,417",83.24%,89.10%  (  -10.20%),33.02%,"16,604",9,5,5,75,Biotechnology
NXT,USA,46.26,2025-05-14,63.44,2.10,14.67%,2.43,15.801,14.087,734,51.53%,71.73%  (  -2.55%),62.15%,"65,101",8,5,4,85,Solar
CSCO,USA,59.60,2025-05-14,58.22,1.34,5.34%,4.38,5.555,5.385,"10,504",41.13%,29.40%  (  +0.14%),56.12%,"1,007,917",9,4,4,85,Communication Equipment
BABA,USA,125.62,2025-05-15,56.30,4.53,23.93%,2.20,5.287,6.984,"79,620",59.85%,47.88%  (  -1.75%),41.44%,"2,550,891",9,5,5,88,Internet Retail
DE,USA,490.78,2025-05-15,62.09,13.52,13.91%,2.77,4.768,5.993,"5,554",43.07%,35.67%  (  -3.17%),47.29%,"68,115",9,4,4,58,Farm & Heavy Construction Machinery
WMT,USA,96.68,2025-05-15,56.65,2.24,11.29%,1.14,4.946,5.566,"53,971",37.78%,32.20%  (  +0.48%),52.90%,"1,718,891",7,5,5,88,Discount Stores
BEKE,USA,19.19,2025-05-15,41.56,0.84,1.80%,1.70,7.789,8.724,"4,805",49.30%,57.92%  (  -0.91%),27.24%,"498,831",7,5,5,82,Real Estate Services
BTDR,Cayman Islands,13.72,2025-05-15,69.73,1.12,17.90%,7.55,22.849,16.778,"8,308",132.62%,127.00%  (  +9.89%),67.40%,"192,842",5,5,5,55,Software - Application
CAVA,USA,94.08,2025-05-15,54.86,4.76,-16.87%,11.29,12.480,10.965,"6,194",74.10%,67.47%  (  +0.42%),52.06%,"185,687",8,4,5,88,Restaurants
TTWO,USA,225.44,2025-05-15,55.41,7.79,23.81%,7.30,6.848,6.641,"3,959",44.19%,39.40%  (  +0.77%),62.27%,"142,140",8,5,5,80,Electronic Gaming & Multimedia
DOCS,USA,59.61,2025-05-15,56.61,2.51,17.32%,20.33,16.007,18.283,"1,688",53.92%,86.85%  (  -1.27%),81.35%,"53,002",9,4,4,88,Health Information Services
AMAT,USA,155.06,2025-05-15,57.08,5.69,-11.63%,4.56,5.272,6.721,"8,976",68.12%,44.99%  (  -0.58%),40.49%,"352,196",9,5,5,88,Semiconductor Equipment & Materials
