SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
FRO,Cyprus,20.90,2025-08-29,63.97,0.63,21.93%,2.45,10.959,8.529,"1,347",40.46%,37.35%  (  -11.05%),11.50%,"47,367",6,4,4,76,Oil & Gas Midstream,
BABA,USA,135.00,2025-08-29,67.96,4.35,21.30%,2.19,5.027,5.668,"1,267,207",46.05%,40.31%  (  -4.45%),26.31%,"2,660,381",9,5,5,85,Internet Retail,
ASO,USA,53.55,2025-09-02,52.91,2.08,10.21%,0.60,9.669,7.990,"7,307",43.84%,46.79%  (  -2.65%),34.76%,"35,296",7,4,4,65,Specialty Retail,
SIG,Bermuda,88.05,2025-09-02,58.23,3.43,23.53%,0.54,12.269,10.946,"8,412",46.63%,66.35%  (  -6.22%),65.23%,"30,231",8,4,4,85,Luxury Goods,
ZS,USA,277.05,2025-09-02,48.87,7.68,18.67%,16.94,9.207,10.444,"13,330",26.89%,54.45%  (  -0.43%),58.95%,"134,884",5,5,5,95,Software - Infrastructure,
DLTR,USA,109.17,2025-09-03,39.83,2.66,29.30%,0.93,12.226,7.465,"9,139",16.98%,42.38%  (  +0.74%),26.55%,"230,049",7,4,4,65,Discount Stores,
RH,USA,225.67,2025-09-04,52.24,12.62,-17.47%,1.29,14.108,16.672,"5,843",67.79%,88.16%  (  +0.25%),55.34%,"88,956",4,4,4,80,Specialty Retail,
ORCL,USA,226.13,2025-09-15,38.47,7.67,23.97%,11.07,8.764,9.784,"171,130",34.64%,53.15%  (  +1.08%),73.39%,"945,081",8,4,4,85,Software - Infrastructure,"MSFT, 0.86(6M)"
MU,USA,119.01,2025-09-23,52.10,4.23,18.82%,3.94,10.313,12.106,"166,452",42.31%,54.26%  (  +2.01%),34.78%,"1,723,415",8,5,5,88,Semiconductors,
JEF,USA,64.85,2025-09-24,68.48,1.53,4.87%,1.48,7.531,9.613,583,28.79%,32.42%  (  +0.10%),12.68%,"48,069",7,4,4,68,Capital Markets,
CTAS,USA,210.03,2025-09-24,36.08,3.55,-0.19%,8.19,5.779,5.159,"1,368",16.14%,25.56%  (  +0.16%),40.82%,"35,404",6,4,4,90,Specialty Business Services,
KMX,USA,61.35,2025-09-25,56.29,1.72,-15.37%,0.34,10.141,13.453,"2,331",32.34%,42.77%  (  +2.73%),41.86%,"65,694",4,4,4,85,Auto & Truck Dealerships,
ACN,Ireland,259.97,2025-09-25,50.19,5.61,-19.03%,2.36,5.945,8.148,"15,850",28.27%,36.40%  (  +0.46%),66.06%,"123,062",9,4,4,95,Information Technology Services,
COST,USA,943.32,2025-09-25,40.88,14.53,-3.28%,1.56,3.594,5.536,"33,068",16.31%,25.10%  (  +0.20%),31.73%,"279,583",4,4,4,92,Discount Stores,
JBL,USA,204.83,2025-09-25,39.57,5.77,22.48%,0.77,9.055,12.243,"3,990",33.72%,38.30%  (  +2.13%),34.94%,"34,876",9,5,5,80,Electronic Components,
CCL,Panama,31.89,2025-09-26,63.75,0.84,29.47%,1.60,5.606,0.000,"29,608",32.45%,42.98%  (  +2.81%),20.60%,"1,355,259",10,5,5,95,Travel Services,"NCLH, 0.95(12M)
RCL, 0.94(12M)"
UEC,USA,10.69,2025-09-26,63.38,0.58,55.57%,71.07,0.000,15.908,"14,750",55.99%,73.26%  (  +5.41%),68.40%,"249,442",10,5,5,0,Uranium,
NKE,USA,77.37,2025-09-30,56.10,1.79,9.87%,2.46,8.696,0.000,"187,280",24.35%,34.89%  (  +4.56%),33.91%,"1,456,978",8,4,4,55,Footwear & Accessories,"UA, 0.88(6M)"
STZ,USA,161.94,2025-10-01,42.15,3.97,-13.68%,2.84,5.315,0.000,"17,927",26.63%,34.62%  (  +2.97%),45.95%,"135,346",8,4,4,65,Beverages - Brewers,
LEVI,USA,22.37,2025-10-01,71.52,0.51,25.65%,1.40,11.735,0.000,570,25.19%,35.73%  (  +2.42%),16.34%,"56,697",10,4,5,85,Apparel Manufacturing,
PEP,USA,148.65,2025-10-09,57.82,2.44,2.63%,2.22,3.516,0.000,"36,437",20.75%,21.43%  (  +0.25%),30.68%,"506,771",7,4,4,65,Beverages - Non-Alcoholic,"KO, 0.89(6M)"
PGR,USA,247.06,2025-10-09,48.79,4.12,-5.00%,1.76,0.959,0.000,"2,640",18.77%,22.54%  (  -0.03%),6.52%,"56,087",5,4,4,78,Insurance - Property & Casualty,
DAL,USA,61.78,2025-10-09,64.04,1.80,12.24%,0.65,7.592,0.000,"27,023",39.92%,43.33%  (  -0.91%),21.44%,"996,390",6,5,5,96,Airlines,"UAL, 0.94(6M)"
08:08:57 PM,,,,,,,,,,,,,,,,,,,,
